date_time,record_id,n_flows,n_packets,n_bytes,n_dest_ip,tcp_udp_ratio,dir_ratio_packets,avg_duration,avg_ttl,connection_count,error_rate
2023-12-31 23:33:29,switch-9995,189,481,64479,1,0.6703723901422083,0.6988582222369482,2.308943500383445,142,168,0.0405607621624903
2024-01-01 00:48:15,switch-9995,234,477,55490,1,0.8012225525324126,0.7502494828910019,3.471267767344301,152,238,0.0115691925371092
2024-01-01 01:30:46,switch-9995,182,428,51652,1,0.5588900414630551,0.0723391719969561,24.839804141777087,222,191,0.0235085736527405
2024-01-01 02:05:45,switch-9995,274,583,79937,1,0.0116255660487262,0.5325982998122399,23.511938583647805,145,325,0.0505389580105898
2024-01-01 05:39:17,switch-9995,136,283,45663,1,0.131968360165695,0.9137958992826802,18.632237543390254,72,139,0.0342383454705935
2024-01-01 06:01:51,switch-9995,173,480,49280,1,0.6192509920192041,0.8558275001523126,7.548902273789258,221,156,0.014213548827132
2024-01-01 07:00:20,switch-9995,160,354,43040,1,0.985102714022686,0.0545195142846176,23.21871795308292,236,149,0.0497938263749995
2024-01-01 08:42:08,switch-9995,299,578,82459,2,0.2623705592302593,0.6037238824423637,2.7842047473562275,195,284,0.025854613961461
2024-01-01 08:53:19,switch-9995,228,376,57681,1,0.6302189807122112,0.4840548299454064,3.3922632744869827,61,270,0.0275101791997731
2024-01-01 11:58:10,switch-9995,315,680,75696,1,0.0387422032589813,0.6471104445147243,12.70970638750114,210,366,0.0391754101294945
2024-01-01 12:27:26,switch-9995,289,755,88856,2,0.3841219356393547,0.6644383150237015,54.37440460594298,62,241,0.0317626847359844
2024-01-01 14:31:55,switch-9995,240,503,65542,2,0.9629357476680608,0.3635817004690392,1.407688494904511,100,200,0.0416144597737569
2024-01-01 15:05:36,switch-9995,293,724,85420,2,0.3895271809332175,0.3681193872743297,8.7297300364483,213,348,0.0084867541177204
2024-01-01 16:41:17,switch-9995,284,751,84461,2,0.9553482061739872,0.9019139653525452,40.56155407655272,34,267,0.0456572529054294
2024-01-01 17:44:08,switch-9995,102,221,29982,1,0.1861400869655617,0.5071648734245443,11.377660984667193,82,99,0.0195308627564012
2024-01-01 19:54:34,switch-9995,343,773,96944,2,0.0985566396012774,0.4901255079611539,1.0445156837059606,134,385,0.0421455231856759
2024-01-01 21:46:32,switch-9995,113,326,35070,1,0.2426031895906322,0.2399742751772376,9.3622264130233,153,135,0.0473584853719836
2024-01-01 22:28:02,switch-9995,204,550,68080,2,0.6681140420041614,0.7319667049274524,24.4289139922317,203,234,0.0167579433647121
2024-01-02 00:09:50,switch-9995,113,214,28511,1,0.2785419238326296,0.1354663605986563,1.4889371326442211,232,118,0.015233015850445
2024-01-02 00:20:15,switch-9995,127,206,29028,1,0.1420116355563072,0.5974241507503025,6.246287318372207,44,112,0.0075401853240326
2024-01-02 02:23:36,switch-9995,127,360,46319,1,0.4593730744449529,0.2701832938552944,14.098395775497645,254,108,0.0081062459642637
2024-01-02 02:40:29,switch-9995,200,408,74204,1,0.0349931681243603,0.1111007780652273,0.0851238949665351,111,188,0.018495666188637
2024-01-02 05:26:27,switch-9995,180,294,37661,1,0.3687694502863654,0.2933715053532832,5.280862508482024,221,148,0.0348403274696241
2024-01-02 06:03:42,switch-9995,337,719,74049,2,0.4088475436603062,0.0157182638307264,3.051407114831183,36,284,0.028008596003765
2024-01-02 06:28:37,switch-9995,114,220,27079,1,0.3890039247676207,0.6558507430779043,31.905743672378115,103,115,0.0322271153544907
2024-01-02 09:06:39,switch-9995,328,544,71879,2,0.2326946436404119,0.6777341495565522,2.1981138445091384,101,330,0.0330533028122869
2024-01-02 09:44:57,switch-9995,240,570,75842,2,0.5710673449956073,0.143860323411138,36.15630490836482,80,251,0.0498498429239445
2024-01-02 10:58:13,switch-9995,287,506,73887,1,0.714511033775504,0.2553234651884473,7.581399920522465,191,282,0.0221800450990079
2024-01-02 11:40:55,switch-9995,346,641,84273,2,0.6480397949902234,0.7662642833627195,8.633815245537356,135,301,0.0006176417396224
2024-01-02 13:09:49,switch-9995,380,675,70107,2,0.6585529649717377,0.8501717420547006,0.9514695715272146,246,401,0.0044588945181075
2024-01-02 13:23:59,switch-9995,299,578,59262,2,0.1279381826733104,0.1176421582366381,1.978074249565756,251,330,0.0257024102840205
2024-01-02 14:44:08,switch-9995,312,622,71502,2,0.4703182425092257,0.22715588794592,3.507993847134714,47,269,0.0453966188382687
2024-01-02 15:50:28,switch-9995,362,698,81388,2,0.4588754234534703,0.7772366265111142,0.5430157315849717,237,413,0.01950990674405
2024-01-02 17:22:04,switch-9995,229,405,53171,1,0.7960932742123557,0.8130002195358984,27.81884461330968,227,247,0.019536547271199
2024-01-02 19:19:30,switch-9995,112,299,31733,1,0.0426183739644624,0.5832127851852047,8.234358426093436,76,129,0.003067825363493
2024-01-02 20:07:34,switch-9995,150,353,43942,1,0.9336157155929392,0.4453527420934592,2.5429678711531176,58,157,0.008696721180164
2024-01-02 20:15:24,switch-9995,140,253,36477,1,0.5311983552833296,0.536185218313364,2.081501276889496,55,140,0.046799223753209
2024-01-02 22:22:58,switch-9995,121,301,26281,1,0.2548116679554344,0.413888786275021,1.087501443639605,224,112,0.0335406730793536
2024-01-02 23:25:25,switch-9995,214,441,55263,1,0.8679444200029691,0.980619294390304,4.27143813698513,81,201,0.0330372836492639
2024-01-02 23:34:30,switch-9995,256,463,60250,1,0.397922848635392,0.0177682352716724,1.8280949821922217,59,219,0.0364314377165483
2024-01-03 00:54:48,switch-9995,162,267,37511,1,0.3939028708171377,0.1821233105548322,6.793125169714632,228,174,0.020536751409675
2024-01-03 03:28:08,switch-9995,100,239,26657,1,0.7180508327465756,0.6881954875946581,13.301553823327003,229,83,0.0496483507258202
2024-01-03 03:42:58,switch-9995,187,460,55283,1,0.362590456103332,0.3244535048152001,0.1152092607390656,152,216,0.0406531964110579
2024-01-03 06:17:28,switch-9995,85,186,26063,1,0.4663260436834446,0.1398279278039287,9.125446110337291,155,97,0.0366734261779668
2024-01-03 07:32:26,switch-9995,146,308,40882,1,0.3428665567016673,0.336455639007255,24.879322947821212,70,140,0.0308222506267276
2024-01-03 09:06:07,switch-9995,712,1888,246133,1,0.1108144210889502,0.956155305499878,0.1106709778451907,59,810,0.1436640995485497
2024-01-03 09:29:53,switch-9995,341,521,82240,2,0.7061187757300329,0.9603751281407316,3.793059554820696,91,382,0.0412812238077668
2024-01-03 10:23:05,switch-9995,282,668,64483,1,0.8218374537447073,0.4268265796335234,3.6783180648559664,44,286,0.0052038190245825
2024-01-03 11:22:13,switch-9995,366,625,102395,2,0.0855240449219648,0.8868410557120912,14.896229880822826,92,338,0.0074895594748062
2024-01-03 13:03:05,switch-9995,220,408,65798,1,0.508564980981627,0.603055147341948,19.97414930596072,69,205,0.0129818835418638
2024-01-03 15:52:21,switch-9995,235,547,64531,1,0.1380013226387657,0.8773242483591976,16.744307805668843,178,239,0.0496608421499184
2024-01-03 15:58:03,switch-9995,287,708,63280,2,0.3405769851593401,0.5479356462527623,17.517801368643013,59,235,0.0240426963769935
2024-01-03 18:19:41,switch-9995,128,270,43939,1,0.1493497706410397,0.4938412534669926,0.8185755284818047,83,139,0.0103992418540052
2024-01-03 18:34:40,switch-9995,179,379,48698,1,0.3074966156415204,0.0297009380111256,12.558655471469493,207,185,0.0180680602471516
2024-01-03 19:40:22,switch-9995,135,306,38945,1,0.6938184637147901,0.6591883870571608,32.16708364388434,219,140,0.0120252029918828
2024-01-03 21:14:01,switch-9995,194,386,46108,1,0.8862584249214351,0.7760398050531526,8.575289129908732,131,205,0.0102821818798086
2024-01-03 21:15:48,switch-9995,153,338,46798,1,0.3278986790264437,0.2970925098420085,16.561592961612355,99,177,0.0035143604652336
2024-01-03 22:58:31,switch-9995,136,303,34098,1,0.6765443693047443,0.0301027106983885,6.045713641138676,193,156,0.0366347478895292
2024-01-04 00:09:49,switch-9995,108,290,27630,1,0.5546706912201397,0.4495899879983213,0.7148059831805603,190,91,0.0016314389877971
2024-01-04 00:59:04,switch-9995,260,545,77550,2,0.3005691415301109,0.7634090656520347,15.56318653038943,71,282,0.0335616513636888
