date_time,summary,record_id
2011-12-22 00:00:00,"Activision Blizzard is pursuing a $400 million legal claim against Electronic Arts, alleging contract interference involving former Infinity Ward employees, which has been ordered to proceed to trial. Activision gained an advantage in the case, as the court found sufficient evidence against EA. The potential outcome could result in EA paying $400 million if Activision prevails. Both companies are major players in the gaming industry with valuable franchises, with Activision's Call of Duty being highly profitable. Currently, Zacks rates Activision as a 'Buy' and EA as a 'Hold,' reflecting their differing financial outlooks amid ongoing legal challenges.",EA
2011-12-23 00:00:00,"The article discusses ongoing legal disputes between major gaming companies Electronic Arts (EA) and Activision Blizzard (ATVI), with Activision seeking $400 million in a contract interference case. It highlights Activision's strong position due to the success of the Call of Duty franchise, which has boosted its revenue, whereas EA faces potential financial impacts from legal liabilities despite its positive product pipeline. Additionally, Jacobs Engineering Group announced winning multiple contracts, including a $12 million project for the U.S. Army and expansion work for Honeywell, reflecting its growth in infrastructure and engineering sectors. The overall tone suggests balanced market prospects for both gaming and engineering firms, with ratings indicating short-term opportunities and long-term neutrality.",EA
2011-12-27 00:00:00,"Electronic Arts (EA) invested an estimated $100-300 million in marketing for its game, Star Wars: The Old Republic. Analysts project initial subscription revenue exceeding $120 million in the first month, with ongoing monthly income of around $22.5 million from 1.5 million subscribers paying $15. each. EA's revenue potential is compared to Activision Blizzard's War of Warcraft, which generates approximately $1 billion annually from over 10 million subscribers. Despite strong digital gaming growth and recent acquisitions, EA faces macroeconomic challenges, increased competition, and declining video game sales. Consequently, financial analysts recommend a neutral stance on EA in the short to medium term.",EA
2011-12-28 00:00:00,"The article reports on Electronic Arts' successful release of ""Star Wars: The Old Republic,"" with expectations of over 2 million initial subscribers paying $60 for the first month and $15 for subsequent months, generating significant revenue. Time Warner Cable expanded its Spanish language channel offerings on iPads and is offering live streaming of the Super Bowl on smartphones and tablets, aiming to capitalize on rising demand for online TV and mobile streaming. Comcast announced plans to broadcast the Super Bowl on mobile devices, reflecting the trend toward mobile content consumption. Both cable companies face headwinds from rising programming costs, subscriber losses, and intense online streaming competition, which may impact profitability. Overall, the companies are diversifying and innovating in response to changing consumer preferences, with mixed prospects for future financial performance.",EA
2012-01-11 00:00:00,"Activision Blizzard's successful release of Call of Duty: Modern Warfare 3 has significantly boosted its revenue prospects, with expectations to sell over 25 million units and reach a preliminary quarterly revenue of $2.17 billion. The company's strategy includes expanding its online offerings through Call of Duty Elite, generating additional revenue via downloadable content and digital sales, which now constitute 62% of its third-quarter revenue. Activision's franchise sales and online content upgrades are expected to support top-line growth in upcoming quarters, despite competitive pressures from Electronic Arts and Take-Two Interactive. Challenges include macroeconomic headwinds in North America and Europe, stiff competition, and limited presence in social and mobile gaming sectors. Overall, the company's long-term outlook remains neutral, with a short-term 'Hold' rating reflected in its Zacks #3 Rank.",EA
2012-01-13 00:00:00,"Acxiom Corporation announced Warren C. Jenson as its new CFO amid ongoing leadership transitions. The company recently sold its background screening unit, AISS, for $74 million to fund technological upgrades and other corporate purposes. Acxiom has expanded its share repurchase program by $50 million and plans to retire approximately $25 million of debt. The firm is also pursuing small acquisitions of specific technologies or capabilities. Due to management changes and strategic adjustments, a neutral investment stance is recommended, supported by a Zacks #3 Rank.",EA
2012-01-16 00:00:00,"Electronic Arts (EA) reported a 30% increase in digital segment revenue, reaching between $1.15 billion and $1.2 billion in fiscal 2012, driven by growth in free-to-play, mobile, and downloadable games. The company's strong portfolio of popular titles like Battlefield and Need for Speed contributed to 25 million active players worldwide. Market research indicates significant growth potential in the social gaming sector, with virtual goods revenue expected to double by 2014 and social media advertising spending rising by 41% in 2012. Despite facing competition from companies like Zynga and IGT, EA's diversified offerings and focus on digital expansion bolster its long-term market position. Analysts recommend a neutral outlook for EA over the next 3 to 6 months, with a short-term hold rating.",EA
2012-01-30 00:00:00,"Electronic Arts (EA) reported a wider non-GAAP loss of 8 cents per share in Q2 2012, primarily due to higher marketing expenses and fewer title releases, but exceeded earnings expectations. For Q3 2012, EA forecasts revenues between $1.55 billion and $1.65 billion, with EPS estimates around 85-95 cents, and raised its full-year revenue guidance to $4.05-$4.20 billion. The company expects digital revenues to drive growth, despite concerns over slowing sales in titles like Star Wars: The Old Republic. Analysts have revised their estimates slightly upward for both the current quarter and FY12, reflecting positive outlooks on digital segment growth. Overall, EA maintains a cautious stance due to macroeconomic challenges and intense competition, resulting in a neutral to hold recommendation on its stock.",EA
2012-02-02 00:00:00,"In today's session, investors showed activity in various stocks through options trading. United Parcel Service (UPS) saw increased call options buying, with over 6,000 March 80 calls purchased, indicating bullish sentiment. Electronic Arts (EA) experienced significant put options buying, with more than 13,000 June 17 puts traded, suggesting bearish expectations. Bank of America (BAC) had a combined options trade where an investor sold 26,500 January 5 puts and an equal number of January 12.50 calls, with the stock rising slightly. Overall, these options trades reflect varying investor outlooks on these companies' stock movements.",EA
2012-02-03 00:00:00,"Electronic Arts (EA) has experienced significant growth in digital revenue, which surged 79% year-over-year to $377 million in the third quarter, accounting for 23% of its total revenue. Its online platform, Origin, now hosts 21 publishers and has attracted 9.3 million users, with digital downloads showing a 442% annual growth driven by downloadable content (DLC). Approximately 40% of sales for ""Star Wars: The Old Republic"" were through Origin, highlighting the shift toward digital channels. EA's focus on digital formats and social gaming positions it well for long-term market share gains, despite macroeconomic challenges and fierce competition from firms like Activision Blizzard and Zynga. Currently, EA holds a Zacks #3 Rank, indicating a hold recommendation for the next 6-12 months.",EA
