date_time,summary,record_id
2010-04-28,"Confidence in the U.S. economy has risen to its highest level since September 2008, with the Consumer Confidence Index reaching 57.9 in April. This increase suggests an improving economic outlook, although levels still remain below the healthy threshold of 90. Investors are encouraged by rising corporate profits, strong manufacturing, and increased demand for goods, exemplified by companies like Caterpillar and UPS. Consumer spending patterns, highlighted by Apple's significant iPhone demand, are expected to drive stock performance, particularly in sectors like consumer discretionary and online travel. However, certain stocks such as Harley Davidson may take longer to recover as consumer confidence and employment improve.",EXPE
2010-05-26,"The article discusses potential investment opportunities in the travel and entertainment sectors amid lowered consumer spending on travel in 2010. It highlights key stocks such as Priceline (PCLN), Starwood Hotels (HOT), Home Inns & Hotels (HMIN), Marriott (MAR), Regal Entertainment (RGC), and IMAX (IMAX), emphasizing their strong fundamentals and growth prospects. Priceline benefits from its business model catering to cash-conscious consumers, while Marriott's expansion in China presents long-term growth potential. Hoteliers like HOT and HMIN are recommended as good buys, with HMIN showing consistent earnings surprises. In entertainment, IMAX and Regal are favored for their significant market presence and growing revenue.",EXPE
2010-07-29,"The Dow Jones Industrial Average ended a four-session winning streak due to weak durable goods data but is expected to rise based on futures and jobless claims reports. The S&P 500 found support around 1,105, with resistance near 1,115, while the VIX approached its 200-day trendline, indicating market volatility. Key earnings reports include Motorola, Colgate-Palmolive, and Potash Corp., with Potash exceeding profit expectations amid strong demand for fertilizers. Economic indicators such as weekly jobless claims and upcoming GDP figures are set to influence the markets. Overseas markets showed mixed performance, with US dollar weakness, modest commodity gains, and positive European economic sentiment.",EXPE
2010-07-30,"The article discusses the ongoing earnings reports from S&P companies, noting generally healthy profits but slower job growth and increased debt repayment for some firms. It emphasizes the importance of maintaining dividend payouts and investing in innovation, while cautioning against heavy taxation by Washington and calling for incentives to promote growth. Market movements showed gains for companies like MetLife, Eastman Chemical, and Expedia, while Genworth Financial and Coinstar declined after earnings results. The upcoming week will feature reports from major companies such as Clorox, Mastercard, and Time Warner. Additionally, it highlights tools on Dividend.com Premium, including the ""Monthly Dividend Income Generator"" and a list of the Best Dividend Stocks.",EXPE
2010-09-09,"Priceline.com’s stock has increased by $7 billion and 81% over three months, driven by a +60% increase in international bookings. Meanwhile, Hertz and Avis have seen their shares decline by approximately 6% due to a bidding war for Dollar Thrifty, with Hertz offering $41 per share and Avis competing with a $48 offer. Industry conditions are improving, with rising demand for rental cars, but Hertz and Avis remain cautious amid ongoing takeover negotiations. Share valuations show Priceline trading at about 20 times EBITDA and the other online travel companies over 15 times projected 2011 EBITDA, indicating a valuation disparity. The outcome of Dollar Thrifty’s sale is expected to impact the sector’s valuation and could trigger a broader rally once resolved.",EXPE
2010-09-18,"The article highlights the biggest dividend stock winners and losers from the past week. Expedia Inc. experienced an 11.21% increase, while Oracle Corporation rose by 9.70%, and Best Buy Co. Inc. increased by 9.65%. Texas Instruments and BlackRock also saw notable gains, with 8.52% and 9.19% increases, respectively. Conversely, some stocks declined, such as FedEx by 2.23%, Entergy by 4.26%, Cliffs Natural Resources by 6.97%, and Time Warner Cable by 8.59%. The article promotes a list of the best dividend stocks and notes that views expressed are those of the author and not necessarily Nasdaq, Inc.",EXPE
2010-09-20,"Expedia, Inc. (EXPE) was downgraded from ""Positive"" to ""Neutral"" by Susquehanna analysts, citing the stock's alignment with the firm's price target and its full valuation. The firm highlighted positives such as expansion in Europe, strong U.S. travel trends, potential regulatory challenges to Google's acquisition of ITA, and valuation support from TripAdvisor. Negatives include tougher booking comparisons in the second half, the risk of regulatory approval favoring direct traffic to suppliers, and economic uncertainty. Following the downgrade, Expedia's shares dropped 57 cents, or 2%, in premarket trading, with the stock price at $28.76 and technical support around $22-$24. The stock currently holds a 0.97% dividend yield and is not recommended for investment at this time.",EXPE
2010-10-26,"The article analyzes recent stock market trends, highlighting stocks that have experienced rapid gains of at least 40% over three months and now exhibit high projected P/E ratios above 40, signaling potential overvaluation. It discusses specific stocks like Amazon, athenahealth, Netflix, and Travelzoo, cautioning that high momentum and lofty valuations may lead to future declines, similar to historical cases like Walmart in 1999. The piece also points out that some smaller biotech stocks, such as Cleveland BioLabs and Depomed, could have significant upside but remain speculative. Overall, it emphasizes the risk of overexuberance in a market that may soon reverse, making these richly-priced stocks especially vulnerable.",EXPE
2010-11-08,"Shares of Priceline.com Inc. (PCLN) are trading lower, down $1.61 to $387.26 before its third-quarter earnings report, with analysts expecting earnings of $4.97 per share on revenue of $973.63 million. In Q2, Priceline reported earnings of $3.09 per share and revenue of $767.4 million, surpassing estimates. The stock has risen 31.16% since the start of Q3 and 77.3% year-to-date, with a forward P/E ratio of 34.29x for 2010 estimates. Analyst ratings are predominantly buy-side, with an average target price of $383. Both Soleil and Deutsche Bank analysts are optimistic, raising their price targets and citing strong growth in Priceline’s booking platforms.",EXPE
2010-12-01,"Expedia, Inc. (EXPE) received a ""Buy"" rating from Jefferies & Co., with a $36 price target indicating a 37% potential upside from the previous close of $26.33. The analysts highlighted Expedia’s strong distribution platform, growth opportunities across product categories and geographies, and robust free cash flow of over $500 million annually, along with an attractive valuation at 7x FY11 EBITDA. The stock rose 52 cents (+2%) in premarket trading following the endorsement. Expedia offers a dividend yield of 1.06%, with technical support around $22-$24 and resistance at $29-$30. Despite the positive outlook, it is not currently recommended by Dividend.com, which assigns it a DARS™ Rating of 3.4 out of 5 stars.",EXPE
2011-01-03,"Expedia, Inc. (EXPE) received a downgrade from Soleil Securities from ""Buy"" to ""Hold"" due to anticipated headwinds in 2023, including concerns over the AMR Corp controversy, Google's ongoing threats to OTAs through its GOOG-ITA and Place pages, and broader risks to airline ticket comparison and hotel search. Despite a slight rise of 16 cents in premarket trading, the company’s stock remains supported in the $22-$24 range with resistance around $28. Expedia has a dividend yield of 1.12%, based on its recent stock price of $25.09, but the stock is not currently recommended, holding a Dividend.com DARS™ Rating of 3.4 out of 5 stars. The article emphasizes potential volatility and challenges for the company amid competitive and regulatory pressures.",EXPE
2011-01-20,"The article provides a valuation estimate of Priceline (PCLN) at $452 per share, with a significant portion of its value derived from hotel bookings, which account for over 90%. Priceline's revenue primarily comes from hotel bookings, with smaller contributions from air tickets, advertising, and cash reserves. The company's growth prospects are linked to increasing international market penetration and share gains in hotel bookings. However, heightened competition from firms like Expedia, Orbitz, and Travelocity presents downside risks, especially if Priceline's market share in hotel bookings only reaches 2.5% rather than the projected 3%, which could result in a 12% decrease in its stock value. Overall, market share in hotel bookings is a crucial factor influencing Priceline's valuation and growth outlook.",EXPE
2011-01-21,"The article discusses Expedia's financial outlook, estimating its stock value at $38.57, with hotel bookings accounting for 57%, air tickets 10%, and car rentals and cruises 6%. A significant portion of Expedia's value—over 22%—comes from advertising revenue generated by TripAdvisor.com, which offers user-generated travel reviews. The company faces competitive challenges as TripAdvisor's page views per visitor are expected to increase slightly, but it also faces competition from social networking platforms like Facebook and Twitter. Maintaining its market position and advertising revenue stream is crucial for Expedia's financial health amid shifting consumer behaviors. The analysis emphasizes the importance of advertising income and the competitive landscape in determining Expedia's valuation.",EXPE
2011-02-01,"U.S. airlines generated approximately $8 billion in ancillary fees last year, constituting about 6% of their revenue, as they enhance their websites with user-friendly features to attract bookings from third-party distributors. Online travel agencies like Expedia, which rely partly on airline ticket bookings for revenue, face increased competition from airlines offering more add-on services directly on their sites. Despite reduced commissions from airlines and efforts to lower distribution costs, online travel agencies continue to focus on booking airline tickets to upsell other travel products such as hotels and car rentals. The market share of online travel agencies is projected to grow from under 40% today to around 45% in five years, but this could fluctuate based on whether airlines decide to offer additional services through third-party channels. These dynamics influence the valuation and stock price estimates for online travel agencies, exemplified by Expedia's $38.57 target price.",EXPE
2011-02-10,"Priceline is the second largest online travel agency globally, primarily earning revenue from hotel bookings, which account for over 90% of its estimated stock value, while air ticket bookings contribute less than 3%. The company's proprietary Name Your Own Price service allows flexible travelers to bid for discounted hotel and air services, benefiting both consumers and suppliers. Despite increasing competition from airline websites expanding their own offerings, Priceline’s focus on hotel bookings and international markets provides a competitive edge. The article suggests that forming partnerships with airlines to offer hotel bookings on their sites could significantly boost Priceline’s market share and stock value—potentially by 29% if hotel market share increases from 2% to 4%. Overall, Priceline’s strategic positioning and potential collaborations could drive meaningful growth in its stock valuation.",EXPE
