date_time,record_id,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone
2021-01-04 04:30:00,AUS_AGR,1.9,2,1,2,3.51758793969849
2021-01-06 02:15:00,AUS_AGR,1.9,1,1,1,4.54545454545454
2021-01-07 18:00:00,AUS_AGR,2.8,10,1,10,6.86813186813187
2021-01-08 01:00:00,AUS_AGR,7.0,1,1,1,2.68456375838927
2021-01-19 06:00:00,AUS_AGR,0.0,2,1,2,6.43939393939394
2021-01-20 07:00:00,AUS_AGR,-2.0,6,1,6,-0.85653104925053
2021-01-22 17:30:00,AUS_AGR,-2.0,6,1,6,-1.53256704980842
2021-01-22 18:45:00,AUS_AGR,0.0,3,1,2,3.57439733998338
2021-01-25 19:30:00,AUS_AGR,0.4,6,1,2,-3.2608695652174
2021-01-25 22:15:00,AUS_AGR,3.4,1,1,1,-2.1875
2021-01-26 00:30:00,AUS_AGR,3.4,1,1,1,-2.1015761821366
2021-01-26 12:45:00,AUS_AGR,1.9,1,1,1,0.88823094004441
2021-01-26 18:00:00,AUS_AGR,0.4,2,1,2,-0.625
2021-01-27 23:00:00,AUS_AGR,3.4,1,1,1,-1.02585145670907
2021-02-01 02:30:00,AUS_AGR,7.0,1,1,1,0.5449591280654
2021-02-03 15:00:00,AUS_AGR,3.4,2,1,2,3.71747211895911
2021-02-04 21:45:00,AUS_AGR,0.0,8,1,8,0.82417582417583
2021-02-05 14:45:00,AUS_AGR,-4.4,6,1,6,-3.26530612244898
2021-02-08 13:00:00,AUS_AGR,-2.0,5,1,5,-3.88257575757576
2021-02-10 02:30:00,AUS_AGR,0.0,2,1,2,-1.18483412322275
2021-02-11 05:15:00,AUS_AGR,-5.0,4,2,4,-6.98529411764706
2021-02-12 01:15:00,AUS_AGR,-2.0,3,1,3,-1.6781836130306
2021-02-12 18:00:00,AUS_AGR,2.8,10,1,10,3.98406374501992
2021-02-12 21:15:00,AUS_AGR,-0.4,10,1,10,-2.32067510548523
2021-02-15 16:30:00,AUS_AGR,1.0,2,1,2,-4.27807486631016
2021-02-17 00:15:00,AUS_AGR,3.0,2,1,2,-2.25563909774436
2021-02-17 21:00:00,AUS_AGR,3.0,10,1,10,-2.4074074074074
2021-02-18 21:30:00,AUS_AGR,-4.0,1,1,1,-0.97799511002445
2021-02-22 22:00:00,AUS_AGR,1.9,1,1,1,-9.59488272921105
2021-02-22 22:15:00,AUS_AGR,-2.0,2,1,2,-4.56692913385827
2021-02-23 00:15:00,AUS_AGR,1.9,1,1,1,-9.32203389830506
2021-02-23 20:00:00,AUS_AGR,3.4,10,1,10,-1.13378684807256
2021-02-23 20:30:00,AUS_AGR,3.4,10,1,10,4.38871473354232
2021-02-24 21:45:00,AUS_AGR,2.8,1,1,1,-0.750469043151973
2021-02-25 13:30:00,AUS_AGR,0.0,2,1,1,-2.58992805755396
2021-03-02 06:15:00,AUS_AGR,-0.4,2,1,2,-3.78378378378379
2021-03-04 06:15:00,AUS_AGR,3.0,2,1,2,-6.10820244328097
2021-03-04 09:30:00,AUS_AGR,-4.0,8,1,8,-0.8695652173913
2021-03-04 22:15:00,AUS_AGR,-4.0,4,1,4,-0.93998553868402
2021-03-05 00:45:00,AUS_AGR,2.8,1,1,1,-0.897666068222617
2021-03-06 09:45:00,AUS_AGR,3.5,1,1,1,9.50080515297903
2021-03-08 04:45:00,AUS_AGR,0.0,1,1,1,-3.71069182389937
2021-03-09 01:00:00,AUS_AGR,3.0,2,1,2,-0.93023255813954
2021-03-09 01:30:00,AUS_AGR,0.0,2,1,2,-1.84135977337111
