delta,interval_type,date_time (start),date_time (end)
,base,,
336.0,low,2015-01-05 17:05:26+00:00,2015-01-19 17:05:26+00:00
168.0,base,2015-01-19 17:05:26+00:00,2015-01-26 17:05:26+00:00
168.0,base,2015-01-26 17:05:26+00:00,2015-02-02 17:05:26+00:00
168.0,base,2015-02-02 17:05:26+00:00,2015-02-09 17:05:26+00:00
168.0,base,2015-02-09 17:05:26+00:00,2015-02-16 17:05:26+00:00
168.0,base,2015-02-16 17:05:26+00:00,2015-02-23 17:05:26+00:00
336.0,low,2015-02-23 17:05:26+00:00,2015-03-09 17:05:26+00:00
168.0,base,2015-03-09 17:05:26+00:00,2015-03-16 17:05:26+00:00
168.0,base,2015-03-16 17:05:26+00:00,2015-03-23 17:05:26+00:00
168.0,base,2015-03-23 17:05:26+00:00,2015-03-30 17:05:26+00:00
168.0,base,2015-03-30 17:05:26+00:00,2015-04-06 17:05:26+00:00
336.0,low,2015-04-06 17:05:26+00:00,2015-04-20 17:05:26+00:00
168.0,base,2015-04-20 17:05:26+00:00,2015-04-27 17:05:26+00:00
336.0,low,2015-04-27 17:05:26+00:00,2015-05-11 17:05:26+00:00
336.0,low,2015-05-11 17:05:26+00:00,2015-05-25 17:05:26+00:00
336.0,low,2015-05-25 17:05:26+00:00,2015-06-08 17:05:26+00:00
168.0,base,2015-06-08 17:05:26+00:00,2015-06-15 17:05:26+00:00
336.0,low,2015-06-15 17:05:26+00:00,2015-06-29 17:05:26+00:00
168.0,base,2015-06-29 17:05:26+00:00,2015-07-06 17:05:26+00:00
336.0,low,2015-07-06 17:05:26+00:00,2015-07-20 17:05:26+00:00
336.0,low,2015-07-20 17:05:26+00:00,2015-08-03 17:05:26+00:00
336.0,low,2015-08-03 17:05:26+00:00,2015-08-17 17:05:26+00:00
336.0,low,2015-08-17 17:05:26+00:00,2015-08-31 17:05:26+00:00
168.0,base,2015-08-31 17:05:26+00:00,2015-09-07 17:05:26+00:00
336.0,low,2015-09-07 17:05:26+00:00,2015-09-21 17:05:26+00:00
168.0,base,2015-09-21 17:05:26+00:00,2015-09-28 17:05:26+00:00
168.0,base,2015-09-28 17:05:26+00:00,2015-10-05 17:05:26+00:00
168.0,base,2015-10-05 17:05:26+00:00,2015-10-12 17:05:26+00:00
336.0,low,2015-10-12 17:05:26+00:00,2015-10-26 17:05:26+00:00
168.0,base,2015-10-26 17:05:26+00:00,2015-11-02 17:05:26+00:00
336.0,low,2015-11-02 17:05:26+00:00,2015-11-16 17:05:26+00:00
336.0,low,2015-11-16 17:05:26+00:00,2015-11-30 17:05:26+00:00
336.0,low,2015-11-30 17:05:26+00:00,2015-12-14 17:05:26+00:00
336.0,low,2015-12-14 17:05:26+00:00,2015-12-28 17:05:26+00:00
336.0,low,2015-12-28 17:05:26+00:00,2016-01-11 17:05:26+00:00
336.0,low,2016-01-11 17:05:26+00:00,2016-01-25 17:05:26+00:00
336.0,low,2016-01-25 17:05:26+00:00,2016-02-08 17:05:26+00:00
336.0,low,2016-02-08 17:05:26+00:00,2016-02-22 17:05:26+00:00
336.0,low,2016-02-22 17:05:26+00:00,2016-03-07 17:05:26+00:00
336.0,low,2016-03-07 17:05:26+00:00,2016-03-21 17:05:26+00:00
336.0,low,2016-03-21 17:05:26+00:00,2016-04-04 17:05:26+00:00
168.0,base,2016-04-04 17:05:26+00:00,2016-04-11 17:05:26+00:00
336.0,low,2016-04-11 17:05:26+00:00,2016-04-25 17:05:26+00:00
336.0,low,2016-04-25 17:05:26+00:00,2016-05-09 17:05:26+00:00
168.0,base,2016-05-09 17:05:26+00:00,2016-05-16 17:05:26+00:00
336.0,low,2016-05-16 17:05:26+00:00,2016-05-30 17:05:26+00:00
168.0,base,2016-05-30 17:05:26+00:00,2016-06-06 17:05:26+00:00
336.0,low,2016-06-06 17:05:26+00:00,2016-06-20 17:05:26+00:00
336.0,low,2016-06-20 17:05:26+00:00,2016-07-04 17:05:26+00:00
168.0,base,2016-07-04 17:05:26+00:00,2016-07-11 17:05:26+00:00
168.0,base,2016-07-11 17:05:26+00:00,2016-07-18 17:05:26+00:00
336.0,low,2016-07-18 17:05:26+00:00,2016-08-01 17:05:26+00:00
336.0,low,2016-08-01 17:05:26+00:00,2016-08-15 17:05:26+00:00
336.0,low,2016-08-15 17:05:26+00:00,2016-08-29 17:05:26+00:00
336.0,low,2016-08-29 17:05:26+00:00,2016-09-12 17:05:26+00:00
336.0,low,2016-09-12 17:05:26+00:00,2016-09-26 17:05:26+00:00
168.0,base,2016-09-26 17:05:26+00:00,2016-10-03 17:05:26+00:00
168.0,base,2016-10-03 17:05:26+00:00,2016-10-10 17:05:26+00:00
168.0,base,2016-10-10 17:05:26+00:00,2016-10-17 17:05:26+00:00
24.0,high,2016-10-17 17:05:26+00:00,2016-10-18 17:05:26+00:00
24.0,high,2016-10-18 17:05:26+00:00,2016-10-19 17:05:26+00:00
24.0,high,2016-10-19 17:05:26+00:00,2016-10-20 17:05:26+00:00
24.0,high,2016-10-20 17:05:26+00:00,2016-10-21 17:05:26+00:00
24.0,high,2016-10-21 17:05:26+00:00,2016-10-22 17:05:26+00:00
24.0,high,2016-10-22 17:05:26+00:00,2016-10-23 17:05:26+00:00
24.0,high,2016-10-23 17:05:26+00:00,2016-10-24 17:05:26+00:00
24.0,high,2016-10-24 17:05:26+00:00,2016-10-25 17:05:26+00:00
24.0,high,2016-10-25 17:05:26+00:00,2016-10-26 17:05:26+00:00
24.0,high,2016-10-26 17:05:26+00:00,2016-10-27 17:05:26+00:00
168.0,base,2016-10-27 17:05:26+00:00,2016-11-03 17:05:26+00:00
168.0,base,2016-11-03 17:05:26+00:00,2016-11-10 17:05:26+00:00
168.0,base,2016-11-10 17:05:26+00:00,2016-11-17 17:05:26+00:00
168.0,base,2016-11-17 17:05:26+00:00,2016-11-24 17:05:26+00:00
168.0,base,2016-11-24 17:05:26+00:00,2016-12-01 17:05:26+00:00
336.0,low,2016-12-01 17:05:26+00:00,2016-12-15 17:05:26+00:00
336.0,low,2016-12-15 17:05:26+00:00,2016-12-29 17:05:26+00:00
168.0,base,2016-12-29 17:05:26+00:00,2017-01-05 17:05:26+00:00
168.0,base,2017-01-05 17:05:26+00:00,2017-01-12 17:05:26+00:00
168.0,base,2017-01-12 17:05:26+00:00,2017-01-19 17:05:26+00:00
168.0,base,2017-01-19 17:05:26+00:00,2017-01-26 17:05:26+00:00
168.0,base,2017-01-26 17:05:26+00:00,2017-02-02 17:05:26+00:00
168.0,base,2017-02-02 17:05:26+00:00,2017-02-09 17:05:26+00:00
336.0,low,2017-02-09 17:05:26+00:00,2017-02-23 17:05:26+00:00
168.0,base,2017-02-23 17:05:26+00:00,2017-03-02 17:05:26+00:00
336.0,low,2017-03-02 17:05:26+00:00,2017-03-16 17:05:26+00:00
336.0,low,2017-03-16 17:05:26+00:00,2017-03-30 17:05:26+00:00
168.0,base,2017-03-30 17:05:26+00:00,2017-04-06 17:05:26+00:00
