date_time,record_id,open_issues,new_issues,closed_issues,avg_age_open_issues_hr,issue_comment_volume,open_prs,new_prs,merged_prs,avg_age_open_prs_hr,pr_comment_volume
2019-09-26 09:21:44,huggingface/transformers,0,0,0,0.0,0,0,0,0,0.0,0
2019-10-03 09:21:44,huggingface/transformers,-6,47,53,0.0,197,15,29,14,80.17919191919192,14
2019-10-10 09:21:44,huggingface/transformers,12,55,37,31.005625,287,13,13,15,207.77035185185184,15
2019-10-17 09:21:44,huggingface/transformers,9,44,47,164.09805555555556,221,14,16,15,295.60125,8
2019-10-24 09:21:44,huggingface/transformers,23,47,33,332.0980555555555,198,34,23,3,310.5445679012345,17
2019-10-31 09:21:44,huggingface/transformers,29,51,45,422.7652314814815,174,37,10,7,440.23220833333335,70
2019-11-07 09:21:44,huggingface/transformers,38,56,47,590.7652314814815,261,46,22,13,539.7199516908213,14
2019-11-21 09:21:44,huggingface/transformers,59,97,76,926.7652314814816,506,75,41,12,696.7779690346084,4
2019-11-28 09:21:44,huggingface/transformers,61,62,60,1094.7652314814816,309,74,16,17,793.1384908789386,7
2019-12-05 09:21:44,huggingface/transformers,63,69,67,1084.576984126984,298,76,17,15,947.7044281045752,64
2019-12-06 09:21:44,huggingface/transformers,55,10,18,1108.576984126984,90,77,7,6,957.8103784219004,9
2019-12-07 09:21:44,huggingface/transformers,56,11,10,1132.576984126984,50,73,2,6,981.8103784219004,5
2019-12-08 09:21:44,huggingface/transformers,58,4,2,1156.576984126984,20,72,0,1,1005.8103784219004,6
2019-12-09 09:21:44,huggingface/transformers,57,6,7,1180.576984126984,33,74,2,0,1015.1666111111116,0
2019-12-10 09:21:44,huggingface/transformers,66,14,5,1204.5769841269844,66,73,2,3,1039.1666111111117,9
2019-12-11 09:21:44,huggingface/transformers,69,12,9,1228.5769841269844,50,74,5,4,1048.3696048513305,13
2019-12-12 09:21:44,huggingface/transformers,72,10,7,1252.5769841269844,79,72,5,7,1057.6085339506171,9
2019-12-19 09:21:44,huggingface/transformers,65,47,54,1420.5769841269844,305,85,22,9,1126.4166315049224,49
2019-12-26 09:21:44,huggingface/transformers,80,65,50,1588.5769841269844,258,82,35,38,1171.1307039141411,61
2020-01-09 09:21:44,huggingface/transformers,104,104,80,1924.576984126984,409,107,42,17,1280.90678197065,17
2020-01-16 09:21:44,huggingface/transformers,108,59,55,1513.4845,211,109,15,13,1387.0129554554553,36
2020-01-23 09:21:44,huggingface/transformers,127,57,38,1404.1957175925925,223,116,18,11,1426.140963114754,11
2020-01-30 09:21:44,huggingface/transformers,129,44,42,1457.992393162393,259,121,17,12,1534.8309908136482,1
