date_time,record_id,open_issues,new_issues,closed_issues,avg_age_open_issues_hr,issue_comment_volume,open_prs,new_prs,merged_prs,avg_age_open_prs_hr,pr_comment_volume
2017-01-18 17:21:06,pytorch/pytorch,0,0,0,0.0,0,0,0,0,0.0,0
2017-01-19 17:21:06,pytorch/pytorch,9,19,10,6.745277777777778,74,1,11,10,3.622777777777778,5
2017-01-20 17:21:06,pytorch/pytorch,12,9,6,30.745277777777776,66,4,7,4,18.112569444444443,0
2017-01-21 17:21:06,pytorch/pytorch,10,3,5,54.74527777777778,26,4,8,8,42.11256944444444,2
2017-01-22 17:21:06,pytorch/pytorch,16,7,1,40.17527777777777,27,6,2,0,55.54405555555555,11
2017-01-23 17:21:06,pytorch/pytorch,17,7,6,64.17527777777778,29,7,3,2,68.1350462962963,14
2017-01-24 17:21:06,pytorch/pytorch,19,9,7,88.17527777777778,59,8,7,6,82.15853174603176,14
2017-01-25 17:21:06,pytorch/pytorch,21,9,7,112.17527777777778,53,11,9,6,106.15853174603174,10
2017-02-01 17:21:06,pytorch/pytorch,26,44,39,178.5764583333333,231,9,33,35,242.83194444444445,23
2017-02-15 17:21:06,pytorch/pytorch,25,46,47,439.3805555555557,273,17,36,28,386.9756423611111,81
2017-02-22 17:21:06,pytorch/pytorch,31,47,41,607.3805555555556,158,30,30,17,347.58641865079375,39
2017-03-01 17:21:06,pytorch/pytorch,27,27,31,665.6901851851852,175,41,34,23,436.6146650326797,130
2017-03-08 17:21:06,pytorch/pytorch,39,41,29,723.0212301587301,178,44,31,28,532.3496180555555,136
2017-03-15 17:21:06,pytorch/pytorch,42,24,21,785.4702777777778,158,47,23,20,628.186925925926,18
2017-03-22 17:21:06,pytorch/pytorch,51,39,30,953.4702777777778,127,53,16,10,715.6983442265795,15
2017-03-29 17:21:06,pytorch/pytorch,45,31,37,1121.470277777778,215,61,40,32,745.9675448028673,105
2017-04-05 17:21:06,pytorch/pytorch,46,33,32,1151.784475308642,188,69,20,12,842.4955923202614,91
2017-04-12 17:21:06,pytorch/pytorch,50,26,22,1191.903277777778,196,72,23,20,926.1072555555556,44
2017-04-26 17:21:06,pytorch/pytorch,56,73,67,1209.5585256410254,389,90,45,27,1062.0167216117218,75
2017-05-03 17:21:06,pytorch/pytorch,70,44,30,1078.6161928104575,249,100,53,43,1108.7359286492374,127
2017-05-17 17:21:06,pytorch/pytorch,85,71,56,1112.2602657004832,437,116,50,34,1283.9135090218422,156
2017-05-31 17:21:06,pytorch/pytorch,102,65,48,1258.5143930041154,365,128,43,31,1477.2014807692308,59
2017-06-07 17:21:06,pytorch/pytorch,94,24,32,1330.0296360153257,214,137,36,27,1501.846952214452,89
2017-06-21 17:21:06,pytorch/pytorch,122,68,40,1485.371616161616,381,150,48,35,1708.164727598566,267
2017-07-05 17:21:06,pytorch/pytorch,155,75,42,1680.2638040123454,418,162,46,34,1945.731605691057,75
2017-07-12 17:21:06,pytorch/pytorch,169,46,32,1801.776696696697,248,174,33,21,1984.67356984127,52
2017-07-19 17:21:06,pytorch/pytorch,142,39,66,1919.8755116959069,371,198,45,21,1924.525893965031,81
2017-07-26 17:21:06,pytorch/pytorch,140,32,34,2037.4942450142453,177,204,33,27,2023.4340699891063,78
