date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2018-10-29,0f727c1018c74fbb7142e8c7a77840d6,,,1356.0,,,,1425.0,,84.0
2018-10-30,0f727c1018c74fbb7142e8c7a77840d6,,,1162.0,,230.0,,300.0,20,268.0
2018-10-31,0f727c1018c74fbb7142e8c7a77840d6,,,1132.0,880.0,389.0,,270.0,81,291.0
2018-11-01,0f727c1018c74fbb7142e8c7a77840d6,,,1129.0,660.0,300.0,80.0,240.0,64,306.0
2018-11-02,0f727c1018c74fbb7142e8c7a77840d6,7.0,,1138.0,920.0,130.0,70.0,345.0,98,278.0
2018-11-03,0f727c1018c74fbb7142e8c7a77840d6,,,1196.0,1300.0,,,390.0,103,238.0
2018-11-04,0f727c1018c74fbb7142e8c7a77840d6,,6.0,1146.0,1180.0,,,225.0,67,282.0
2018-11-05,0f727c1018c74fbb7142e8c7a77840d6,,,1245.0,791.0,450.0,30.0,255.0,69,185.0
2018-11-06,0f727c1018c74fbb7142e8c7a77840d6,,3.0,1193.0,620.0,540.0,130.0,270.0,49,241.0
2018-11-07,0f727c1018c74fbb7142e8c7a77840d6,,3.0,1161.0,920.0,150.0,100.0,390.0,88,266.0
2018-11-08,0f727c1018c74fbb7142e8c7a77840d6,,,1074.0,650.0,340.0,185.0,285.0,100,356.0
2018-11-09,0f727c1018c74fbb7142e8c7a77840d6,,3.0,986.0,550.0,350.0,40.0,285.0,85,441.0
2018-11-10,0f727c1018c74fbb7142e8c7a77840d6,,,1229.0,1270.0,,,240.0,52,208.0
2018-11-11,0f727c1018c74fbb7142e8c7a77840d6,,21.0,1254.0,800.0,240.0,,540.0,40,164.0
2018-11-12,0f727c1018c74fbb7142e8c7a77840d6,,23.0,1232.0,758.0,440.0,100.0,330.0,48,178.0
2018-11-13,0f727c1018c74fbb7142e8c7a77840d6,,,1116.0,850.0,250.0,109.0,270.0,87,317.0
2018-11-14,0f727c1018c74fbb7142e8c7a77840d6,,,1236.0,1260.0,,,300.0,56,199.0
2018-11-15,0f727c1018c74fbb7142e8c7a77840d6,,,1336.0,910.0,,,345.0,43,104.0
2018-11-16,0f727c1018c74fbb7142e8c7a77840d6,31.0,4.0,1148.0,920.0,130.0,,420.0,84,253.0
2018-11-17,0f727c1018c74fbb7142e8c7a77840d6,,,1128.0,970.0,240.0,,540.0,92,305.0
2018-11-18,0f727c1018c74fbb7142e8c7a77840d6,,,1271.0,1330.0,,,270.0,108,162.0
2018-11-19,0f727c1018c74fbb7142e8c7a77840d6,,,1128.0,,190.0,,300.0,99,301.0
2018-11-20,0f727c1018c74fbb7142e8c7a77840d6,108.0,261.0,831.0,180.0,,,60.0,150,227.0
2018-11-21,0f727c1018c74fbb7142e8c7a77840d6,,66.0,1114.0,1002.0,,,390.0,79,260.0
2018-11-22,0f727c1018c74fbb7142e8c7a77840d6,23.0,187.0,780.0,295.0,,,285.0,88,437.0
2018-11-23,0f727c1018c74fbb7142e8c7a77840d6,,56.0,902.0,,,,435.0,102,479.0
2018-11-24,0f727c1018c74fbb7142e8c7a77840d6,,80.0,1099.0,,,,465.0,79,261.0
2018-11-25,0f727c1018c74fbb7142e8c7a77840d6,7.0,191.0,954.0,94.0,,,495.0,90,286.0
2018-11-26,0f727c1018c74fbb7142e8c7a77840d6,,45.0,1109.0,,,,465.0,81,285.0
