date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2018-10-07,20b8c420e5a7abcb07f11aab23e42923,,,1299.0,,,,1155.0,,141.0
2018-10-08,20b8c420e5a7abcb07f11aab23e42923,,,1124.0,270.0,120.0,,210.0,105,316.0
2018-10-09,20b8c420e5a7abcb07f11aab23e42923,,,1126.0,890.0,199.0,,495.0,101,313.0
2018-10-10,20b8c420e5a7abcb07f11aab23e42923,,,1054.0,140.0,575.0,,315.0,151,386.0
2018-10-11,20b8c420e5a7abcb07f11aab23e42923,,1.0,1103.0,705.0,446.0,,405.0,119,336.0
2018-10-12,20b8c420e5a7abcb07f11aab23e42923,,,1125.0,900.0,350.0,,210.0,121,314.0
2018-10-13,20b8c420e5a7abcb07f11aab23e42923,,,1124.0,150.0,185.0,110.0,390.0,152,316.0
2018-10-14,20b8c420e5a7abcb07f11aab23e42923,,,1148.0,1100.0,230.0,,600.0,134,292.0
2018-10-15,20b8c420e5a7abcb07f11aab23e42923,,,1148.0,340.0,350.0,,345.0,134,292.0
2018-10-16,20b8c420e5a7abcb07f11aab23e42923,,,1188.0,751.0,350.0,,390.0,119,252.0
2018-10-17,20b8c420e5a7abcb07f11aab23e42923,,91.0,994.0,258.0,271.0,,390.0,124,354.0
2018-10-18,20b8c420e5a7abcb07f11aab23e42923,,,1075.0,145.0,460.0,,270.0,141,364.0
2018-10-19,20b8c420e5a7abcb07f11aab23e42923,,,1081.0,925.0,344.0,,435.0,102,359.0
2018-10-20,20b8c420e5a7abcb07f11aab23e42923,,,1183.0,510.0,30.0,,435.0,110,257.0
2018-10-21,20b8c420e5a7abcb07f11aab23e42923,,,1182.0,1080.0,300.0,,285.0,122,257.0
2018-10-22,20b8c420e5a7abcb07f11aab23e42923,39.0,,1102.0,190.0,440.0,,360.0,175,299.0
2018-10-23,20b8c420e5a7abcb07f11aab23e42923,2.0,,1157.0,800.0,210.0,,405.0,118,281.0
2018-10-24,20b8c420e5a7abcb07f11aab23e42923,,,1063.0,945.0,390.0,,360.0,181,377.0
2018-10-25,20b8c420e5a7abcb07f11aab23e42923,63.0,184.0,950.0,592.0,200.0,,225.0,166,242.0
2018-10-26,20b8c420e5a7abcb07f11aab23e42923,,93.0,1037.0,,,,390.0,98,310.0
2018-10-27,20b8c420e5a7abcb07f11aab23e42923,,94.0,1096.0,,,,360.0,89,250.0
2018-10-28,20b8c420e5a7abcb07f11aab23e42923,,192.0,840.0,362.0,,,90.0,219,408.0
2018-10-29,20b8c420e5a7abcb07f11aab23e42923,,,1088.0,734.0,480.0,,330.0,199,352.0
2018-10-30,20b8c420e5a7abcb07f11aab23e42923,,,1091.0,865.0,250.0,,420.0,189,349.0
2018-10-31,20b8c420e5a7abcb07f11aab23e42923,,,1130.0,990.0,277.0,,345.0,187,309.0
2018-11-01,20b8c420e5a7abcb07f11aab23e42923,,,1185.0,920.0,259.0,,480.0,140,255.0
2018-11-02,20b8c420e5a7abcb07f11aab23e42923,,2.0,1211.0,1204.0,160.0,,270.0,209,227.0
2018-11-03,20b8c420e5a7abcb07f11aab23e42923,,,1175.0,1040.0,260.0,,510.0,142,265.0
2018-11-04,20b8c420e5a7abcb07f11aab23e42923,,,1181.0,1330.0,50.0,,435.0,173,259.0
2018-11-05,20b8c420e5a7abcb07f11aab23e42923,,,1112.0,1071.0,150.0,,225.0,147,328.0
2018-11-06,20b8c420e5a7abcb07f11aab23e42923,,,1135.0,970.0,150.0,,390.0,169,305.0
2018-11-07,20b8c420e5a7abcb07f11aab23e42923,9.0,3.0,1175.0,1060.0,230.0,,465.0,173,253.0
2018-11-08,20b8c420e5a7abcb07f11aab23e42923,7.0,,1120.0,900.0,262.0,,420.0,140,313.0
2018-11-09,20b8c420e5a7abcb07f11aab23e42923,,,1162.0,1120.0,170.0,,435.0,162,278.0
2018-11-10,20b8c420e5a7abcb07f11aab23e42923,,,1177.0,1042.0,250.0,,630.0,177,260.0
2018-11-11,20b8c420e5a7abcb07f11aab23e42923,,,1135.0,1331.0,50.0,,330.0,128,305.0
2018-11-12,20b8c420e5a7abcb07f11aab23e42923,,,1138.0,991.0,330.0,,420.0,136,302.0
2018-11-13,20b8c420e5a7abcb07f11aab23e42923,,,1094.0,810.0,210.0,,420.0,118,346.0
2018-11-14,20b8c420e5a7abcb07f11aab23e42923,,,1169.0,1060.0,70.0,,510.0,95,271.0
2018-11-15,20b8c420e5a7abcb07f11aab23e42923,,,1154.0,1260.0,,,525.0,118,285.0
2018-11-16,20b8c420e5a7abcb07f11aab23e42923,,,1106.0,933.0,261.0,,510.0,157,334.0
2018-11-17,20b8c420e5a7abcb07f11aab23e42923,,,1116.0,900.0,354.0,,540.0,143,324.0
2018-11-18,20b8c420e5a7abcb07f11aab23e42923,,,1136.0,826.0,490.0,,525.0,139,304.0
2018-11-19,20b8c420e5a7abcb07f11aab23e42923,,,1086.0,,250.0,,480.0,139,354.0
2018-11-20,20b8c420e5a7abcb07f11aab23e42923,,193.0,833.0,217.0,,,285.0,152,413.0
2018-11-21,20b8c420e5a7abcb07f11aab23e42923,,65.0,1057.0,1040.0,,,285.0,103,318.0
2018-11-22,20b8c420e5a7abcb07f11aab23e42923,,23.0,1168.0,1231.0,,,420.0,120,249.0
2018-11-23,20b8c420e5a7abcb07f11aab23e42923,,14.0,1202.0,1022.0,,,600.0,79,224.0
2018-11-24,20b8c420e5a7abcb07f11aab23e42923,,107.0,782.0,731.0,,,405.0,93,550.0
2018-11-25,20b8c420e5a7abcb07f11aab23e42923,2.0,258.0,896.0,645.0,,,435.0,62,285.0
2018-11-26,20b8c420e5a7abcb07f11aab23e42923,,28.0,1141.0,,,,540.0,53,271.0
2018-11-27,20b8c420e5a7abcb07f11aab23e42923,,64.0,1052.0,,,,465.0,88,324.0
2018-11-28,20b8c420e5a7abcb07f11aab23e42923,31.0,257.0,903.0,320.0,,,525.0,81,248.0
2018-11-29,20b8c420e5a7abcb07f11aab23e42923,,109.0,1121.0,1213.0,,,540.0,103,210.0
2018-11-30,20b8c420e5a7abcb07f11aab23e42923,85.0,296.0,546.0,532.0,,,210.0,188,513.0
2018-12-01,20b8c420e5a7abcb07f11aab23e42923,34.0,90.0,1127.0,1112.0,,,555.0,98,189.0
2018-12-02,20b8c420e5a7abcb07f11aab23e42923,4.0,33.0,993.0,1190.0,,,480.0,117,410.0
2018-12-03,20b8c420e5a7abcb07f11aab23e42923,,159.0,606.0,530.0,,,240.0,160,675.0
