date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2017-09-08,3569e2f520db9014b4acc4227a6421c1,1.0,9.0,1143.0,,,,870.0,57,69.0
2017-09-09,3569e2f520db9014b4acc4227a6421c1,2.0,14.0,1183.0,,,,195.0,80,42.0
2017-09-10,3569e2f520db9014b4acc4227a6421c1,,10.0,1122.0,,,,420.0,67,89.0
2017-09-11,3569e2f520db9014b4acc4227a6421c1,,3.0,1167.0,732.0,390.0,,210.0,71,87.0
2017-09-12,3569e2f520db9014b4acc4227a6421c1,,8.0,1171.0,862.0,341.0,,180.0,77,64.0
2017-09-13,3569e2f520db9014b4acc4227a6421c1,1.0,4.0,1259.0,955.0,290.0,128.0,435.0,53,63.0
2017-09-14,3569e2f520db9014b4acc4227a6421c1,,2.0,1244.0,935.0,266.0,86.0,285.0,83,63.0
2017-09-15,3569e2f520db9014b4acc4227a6421c1,,5.0,1230.0,873.0,404.0,,315.0,56,57.0
2017-09-16,3569e2f520db9014b4acc4227a6421c1,,2.0,1165.0,974.0,,307.0,210.0,60,82.0
2017-09-17,3569e2f520db9014b4acc4227a6421c1,2.0,3.0,1235.0,956.0,156.0,170.0,240.0,44,55.0
2017-09-18,3569e2f520db9014b4acc4227a6421c1,,17.0,1134.0,780.0,360.0,,450.0,63,83.0
2017-09-19,3569e2f520db9014b4acc4227a6421c1,,10.0,1123.0,935.0,204.0,61.0,210.0,70,110.0
2017-09-20,3569e2f520db9014b4acc4227a6421c1,,1.0,1161.0,1016.0,216.0,101.0,390.0,65,71.0
2017-09-21,3569e2f520db9014b4acc4227a6421c1,,1.0,1209.0,883.0,301.0,129.0,315.0,48,58.0
2017-09-22,3569e2f520db9014b4acc4227a6421c1,,6.0,1108.0,225.0,307.0,233.0,165.0,70,108.0
2017-09-23,3569e2f520db9014b4acc4227a6421c1,24.0,73.0,1103.0,472.0,,,360.0,22,37.0
2017-09-24,3569e2f520db9014b4acc4227a6421c1,5.0,29.0,1171.0,576.0,,,900.0,42,34.0
2017-09-25,3569e2f520db9014b4acc4227a6421c1,,3.0,1246.0,778.0,256.0,,270.0,85,64.0
2017-09-26,3569e2f520db9014b4acc4227a6421c1,,2.0,1078.0,852.0,81.0,,225.0,50,58.0
2017-09-27,3569e2f520db9014b4acc4227a6421c1,,3.0,1073.0,594.0,398.0,,255.0,84,117.0
2017-09-28,3569e2f520db9014b4acc4227a6421c1,,18.0,1207.0,852.0,180.0,51.0,210.0,77,80.0
2017-09-29,3569e2f520db9014b4acc4227a6421c1,,6.0,1126.0,225.0,72.0,,390.0,58,90.0
2017-09-30,3569e2f520db9014b4acc4227a6421c1,,9.0,1299.0,954.0,236.0,,255.0,75,43.0
2017-10-01,3569e2f520db9014b4acc4227a6421c1,,1.0,1297.0,1380.0,,,270.0,51,22.0
2017-10-02,3569e2f520db9014b4acc4227a6421c1,,1.0,1184.0,908.0,318.0,,180.0,63,67.0
2017-10-03,3569e2f520db9014b4acc4227a6421c1,,3.0,1229.0,770.0,357.0,,270.0,64,72.0
2017-10-04,3569e2f520db9014b4acc4227a6421c1,,3.0,1202.0,215.0,337.0,,360.0,62,99.0
2017-10-05,3569e2f520db9014b4acc4227a6421c1,,17.0,1163.0,913.0,204.0,61.0,240.0,68,80.0
2017-10-06,3569e2f520db9014b4acc4227a6421c1,14.0,26.0,1110.0,753.0,215.0,,330.0,82,113.0
2017-10-07,3569e2f520db9014b4acc4227a6421c1,,4.0,1236.0,,,,495.0,49,53.0
2017-10-08,3569e2f520db9014b4acc4227a6421c1,2.0,57.0,1139.0,1114.0,114.0,,195.0,78,64.0
2017-10-09,3569e2f520db9014b4acc4227a6421c1,1.0,18.0,1159.0,267.0,,,255.0,59,64.0
2017-10-10,3569e2f520db9014b4acc4227a6421c1,1.0,1.0,1318.0,,,,255.0,63,57.0
