date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2017-09-25,46b53cdf4d639d54e894d92b6dff817f,,,1422.0,,,,1425.0,,18.0
2017-09-26,46b53cdf4d639d54e894d92b6dff817f,,,1282.0,134.0,,,525.0,15,157.0
2017-09-27,46b53cdf4d639d54e894d92b6dff817f,3.0,25.0,1158.0,660.0,230.0,110.0,195.0,69,254.0
2017-09-28,46b53cdf4d639d54e894d92b6dff817f,,,1223.0,1064.0,,150.0,390.0,74,216.0
2017-09-29,46b53cdf4d639d54e894d92b6dff817f,,24.0,1194.0,766.0,234.0,120.0,330.0,57,222.0
2017-09-30,46b53cdf4d639d54e894d92b6dff817f,,6.0,1223.0,1090.0,,,420.0,79,207.0
2017-10-01,46b53cdf4d639d54e894d92b6dff817f,,92.0,1004.0,890.0,54.0,24.0,120.0,102,343.0
2017-10-02,46b53cdf4d639d54e894d92b6dff817f,2.0,6.0,1229.0,847.0,180.0,110.0,375.0,82,202.0
2017-10-03,46b53cdf4d639d54e894d92b6dff817f,,4.0,1269.0,1023.0,138.0,80.0,465.0,66,166.0
2017-10-04,46b53cdf4d639d54e894d92b6dff817f,,3.0,1221.0,680.0,230.0,110.0,510.0,62,213.0
2017-10-05,46b53cdf4d639d54e894d92b6dff817f,,29.0,1184.0,1070.0,50.0,100.0,315.0,82,224.0
2017-10-06,46b53cdf4d639d54e894d92b6dff817f,,54.0,1041.0,779.0,150.0,40.0,510.0,64,304.0
2017-10-07,46b53cdf4d639d54e894d92b6dff817f,,104.0,1039.0,1021.0,,,240.0,50,295.0
2017-10-08,46b53cdf4d639d54e894d92b6dff817f,,200.0,1158.0,1225.0,90.0,,270.0,40,82.0
2017-10-09,46b53cdf4d639d54e894d92b6dff817f,,75.0,1190.0,921.0,240.0,60.0,465.0,49,172.0
2017-10-10,46b53cdf4d639d54e894d92b6dff817f,,9.0,1267.0,992.0,140.0,60.0,405.0,77,164.0
2017-10-11,46b53cdf4d639d54e894d92b6dff817f,2.0,,1214.0,854.0,260.0,100.0,435.0,72,224.0
2017-10-12,46b53cdf4d639d54e894d92b6dff817f,,4.0,1272.0,1170.0,60.0,100.0,420.0,67,159.0
2017-10-13,46b53cdf4d639d54e894d92b6dff817f,,,1192.0,790.0,160.0,,495.0,37,244.0
2017-10-14,46b53cdf4d639d54e894d92b6dff817f,,14.0,1181.0,988.0,,,480.0,71,244.0
2017-10-15,46b53cdf4d639d54e894d92b6dff817f,,118.0,988.0,879.0,,60.0,375.0,63,333.0
2017-10-16,46b53cdf4d639d54e894d92b6dff817f,,110.0,1159.0,807.0,220.0,180.0,120.0,51,169.0
2017-10-17,46b53cdf4d639d54e894d92b6dff817f,,14.0,1205.0,1017.0,138.0,109.0,465.0,52,216.0
2017-10-18,46b53cdf4d639d54e894d92b6dff817f,,,1259.0,845.0,220.0,110.0,495.0,50,181.0
2017-10-19,46b53cdf4d639d54e894d92b6dff817f,,,1243.0,249.0,130.0,110.0,510.0,68,197.0
2017-10-20,46b53cdf4d639d54e894d92b6dff817f,,,1198.0,718.0,260.0,107.0,405.0,68,240.0
2017-10-21,46b53cdf4d639d54e894d92b6dff817f,28.0,40.0,1245.0,790.0,,,465.0,74,126.0
2017-10-22,46b53cdf4d639d54e894d92b6dff817f,8.0,31.0,1212.0,400.0,60.0,,465.0,97,172.0
2017-10-23,46b53cdf4d639d54e894d92b6dff817f,,,1225.0,763.0,370.0,170.0,255.0,77,213.0
2017-10-24,46b53cdf4d639d54e894d92b6dff817f,,,1294.0,909.0,110.0,110.0,570.0,54,146.0
2017-10-25,46b53cdf4d639d54e894d92b6dff817f,,,1250.0,314.0,190.0,100.0,465.0,55,188.0
2017-10-26,46b53cdf4d639d54e894d92b6dff817f,,,1260.0,1122.0,40.0,90.0,600.0,64,155.0
2017-10-27,46b53cdf4d639d54e894d92b6dff817f,,,1219.0,260.0,190.0,190.0,510.0,65,215.0
2017-10-28,46b53cdf4d639d54e894d92b6dff817f,,76.0,890.0,700.0,,,375.0,43,474.0
2017-10-29,46b53cdf4d639d54e894d92b6dff817f,,,1285.0,500.0,219.0,,570.0,63,147.0
2017-10-30,46b53cdf4d639d54e894d92b6dff817f,,,1223.0,250.0,140.0,215.0,390.0,51,214.0
2017-10-31,46b53cdf4d639d54e894d92b6dff817f,,,1296.0,931.0,169.0,108.0,465.0,78,140.0
2017-11-01,46b53cdf4d639d54e894d92b6dff817f,,,1268.0,700.0,200.0,50.0,330.0,56,166.0
2017-11-02,46b53cdf4d639d54e894d92b6dff817f,,,1269.0,994.0,50.0,120.0,465.0,79,171.0
2017-11-03,46b53cdf4d639d54e894d92b6dff817f,,,1287.0,630.0,453.0,280.0,450.0,47,152.0
2017-11-04,46b53cdf4d639d54e894d92b6dff817f,,,1283.0,1220.0,70.0,,390.0,78,151.0
2017-11-05,46b53cdf4d639d54e894d92b6dff817f,,,1287.0,1070.0,94.0,,480.0,62,142.0
2017-11-06,46b53cdf4d639d54e894d92b6dff817f,,,1299.0,871.0,181.0,234.0,240.0,49,119.0
2017-11-07,46b53cdf4d639d54e894d92b6dff817f,,,1284.0,800.0,50.0,143.0,510.0,34,154.0
2017-11-08,46b53cdf4d639d54e894d92b6dff817f,,,1185.0,823.0,210.0,90.0,405.0,63,254.0
2017-11-09,46b53cdf4d639d54e894d92b6dff817f,,,1319.0,960.0,60.0,190.0,390.0,52,118.0
2017-11-10,46b53cdf4d639d54e894d92b6dff817f,,,1293.0,801.0,235.0,242.0,390.0,52,145.0
2017-11-11,46b53cdf4d639d54e894d92b6dff817f,,,1276.0,746.0,,,285.0,72,144.0
2017-11-12,46b53cdf4d639d54e894d92b6dff817f,,,1185.0,914.0,,,420.0,69,253.0
2017-11-13,46b53cdf4d639d54e894d92b6dff817f,,,1243.0,556.0,460.0,150.0,405.0,68,197.0
2017-11-14,46b53cdf4d639d54e894d92b6dff817f,,,1274.0,1029.0,143.0,100.0,420.0,67,163.0
2017-11-15,46b53cdf4d639d54e894d92b6dff817f,,,1239.0,870.0,124.0,129.0,525.0,62,199.0
2017-11-16,46b53cdf4d639d54e894d92b6dff817f,,,1285.0,970.0,100.0,150.0,390.0,81,148.0
2017-11-17,46b53cdf4d639d54e894d92b6dff817f,,164.0,1125.0,600.0,120.0,120.0,210.0,85,146.0
2017-11-18,46b53cdf4d639d54e894d92b6dff817f,1.0,103.0,1056.0,,,,345.0,142,278.0
2017-11-19,46b53cdf4d639d54e894d92b6dff817f,,55.0,1209.0,,,,420.0,99,174.0
2017-11-20,46b53cdf4d639d54e894d92b6dff817f,1.0,52.0,1253.0,902.0,,,525.0,86,134.0
2017-11-21,46b53cdf4d639d54e894d92b6dff817f,,60.0,1181.0,340.0,,,330.0,72,198.0
2017-11-22,46b53cdf4d639d54e894d92b6dff817f,,206.0,1012.0,425.0,,,465.0,75,222.0
2017-11-23,46b53cdf4d639d54e894d92b6dff817f,,119.0,1042.0,,,,300.0,58,278.0
2017-11-24,46b53cdf4d639d54e894d92b6dff817f,,72.0,1252.0,1092.0,,,435.0,70,116.0
2017-11-25,46b53cdf4d639d54e894d92b6dff817f,,66.0,1236.0,1220.0,,,555.0,49,138.0
2017-11-26,46b53cdf4d639d54e894d92b6dff817f,,63.0,1250.0,1114.0,,,465.0,64,112.0
2017-11-27,46b53cdf4d639d54e894d92b6dff817f,,175.0,1082.0,,,160.0,330.0,82,183.0
2017-11-28,46b53cdf4d639d54e894d92b6dff817f,,,1255.0,,,150.0,525.0,61,184.0
2017-11-29,46b53cdf4d639d54e894d92b6dff817f,,,1241.0,,,130.0,465.0,72,197.0
2017-11-30,46b53cdf4d639d54e894d92b6dff817f,,,1221.0,,110.0,258.0,480.0,67,218.0
2017-12-01,46b53cdf4d639d54e894d92b6dff817f,,,1228.0,,76.0,90.0,525.0,82,211.0
2017-12-02,46b53cdf4d639d54e894d92b6dff817f,,309.0,970.0,,,,480.0,62,160.0
2017-12-03,46b53cdf4d639d54e894d92b6dff817f,,,1322.0,,,50.0,495.0,73,117.0
2017-12-04,46b53cdf4d639d54e894d92b6dff817f,,,1251.0,,,223.0,570.0,57,187.0
2017-12-05,46b53cdf4d639d54e894d92b6dff817f,,,1287.0,,,140.0,510.0,63,143.0
2017-12-06,46b53cdf4d639d54e894d92b6dff817f,,,1217.0,,,173.0,495.0,75,222.0
2017-12-07,46b53cdf4d639d54e894d92b6dff817f,,4.0,1245.0,,,240.0,510.0,72,189.0
2017-12-08,46b53cdf4d639d54e894d92b6dff817f,,,1221.0,,,217.0,465.0,58,218.0
