date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2017-09-26,6683f5d8f1730b0fce6c1fd8b46ab76f,,,1435.0,,,,1425.0,,5.0
2017-09-27,6683f5d8f1730b0fce6c1fd8b46ab76f,,17.0,1322.0,130.0,,,675.0,9,101.0
2017-09-28,6683f5d8f1730b0fce6c1fd8b46ab76f,,34.0,1329.0,1103.0,180.0,,570.0,72,76.0
2017-09-29,6683f5d8f1730b0fce6c1fd8b46ab76f,,30.0,1248.0,760.0,314.0,70.0,420.0,67,161.0
2017-09-30,6683f5d8f1730b0fce6c1fd8b46ab76f,,8.0,1335.0,1067.0,230.0,,615.0,78,95.0
2017-10-01,6683f5d8f1730b0fce6c1fd8b46ab76f,,9.0,1391.0,1270.0,120.0,,600.0,74,41.0
2017-10-02,6683f5d8f1730b0fce6c1fd8b46ab76f,,64.0,1271.0,1110.0,259.0,,105.0,50,104.0
2017-10-03,6683f5d8f1730b0fce6c1fd8b46ab76f,,37.0,1299.0,1204.0,70.0,,120.0,55,104.0
2017-10-04,6683f5d8f1730b0fce6c1fd8b46ab76f,,14.0,1350.0,1180.0,176.0,,225.0,43,73.0
2017-10-05,6683f5d8f1730b0fce6c1fd8b46ab76f,,9.0,1349.0,1051.0,210.0,,225.0,60,82.0
2017-10-06,6683f5d8f1730b0fce6c1fd8b46ab76f,,98.0,1167.0,780.0,462.0,30.0,165.0,49,155.0
2017-10-07,6683f5d8f1730b0fce6c1fd8b46ab76f,,52.0,1187.0,590.0,350.0,370.0,510.0,38,200.0
2017-10-08,6683f5d8f1730b0fce6c1fd8b46ab76f,,9.0,1333.0,1216.0,120.0,,180.0,72,98.0
2017-10-09,6683f5d8f1730b0fce6c1fd8b46ab76f,,20.0,1311.0,960.0,395.0,,300.0,43,109.0
2017-10-10,6683f5d8f1730b0fce6c1fd8b46ab76f,,35.0,1328.0,1200.0,160.0,,330.0,51,77.0
2017-10-11,6683f5d8f1730b0fce6c1fd8b46ab76f,,24.0,1352.0,1130.0,230.0,,300.0,68,57.0
2017-10-12,6683f5d8f1730b0fce6c1fd8b46ab76f,,396.0,983.0,640.0,180.0,,210.0,70,62.0
2017-10-13,6683f5d8f1730b0fce6c1fd8b46ab76f,,232.0,1092.0,,,,375.0,34,117.0
2017-10-14,6683f5d8f1730b0fce6c1fd8b46ab76f,,261.0,1017.0,,,,525.0,36,162.0
2017-10-15,6683f5d8f1730b0fce6c1fd8b46ab76f,,350.0,1039.0,501.0,,,435.0,42,50.0
2017-10-16,6683f5d8f1730b0fce6c1fd8b46ab76f,,31.0,1311.0,1270.0,67.0,,285.0,46,96.0
2017-10-17,6683f5d8f1730b0fce6c1fd8b46ab76f,,16.0,1376.0,1190.0,107.0,,135.0,43,48.0
2017-10-18,6683f5d8f1730b0fce6c1fd8b46ab76f,,26.0,1344.0,492.0,207.0,,480.0,48,67.0
2017-10-19,6683f5d8f1730b0fce6c1fd8b46ab76f,,32.0,1357.0,1150.0,215.0,,150.0,62,49.0
2017-10-20,6683f5d8f1730b0fce6c1fd8b46ab76f,,63.0,1310.0,960.0,339.0,,90.0,66,65.0
2017-10-21,6683f5d8f1730b0fce6c1fd8b46ab76f,,31.0,1202.0,770.0,291.0,210.0,180.0,57,207.0
2017-10-22,6683f5d8f1730b0fce6c1fd8b46ab76f,,19.0,1385.0,1300.0,120.0,,120.0,66,35.0
2017-10-23,6683f5d8f1730b0fce6c1fd8b46ab76f,,42.0,1293.0,1100.0,250.0,,165.0,46,105.0
2017-10-24,6683f5d8f1730b0fce6c1fd8b46ab76f,,18.0,1358.0,576.0,201.0,,270.0,61,64.0
2017-10-25,6683f5d8f1730b0fce6c1fd8b46ab76f,,47.0,1286.0,540.0,240.0,,390.0,54,104.0
2017-10-26,6683f5d8f1730b0fce6c1fd8b46ab76f,,79.0,1290.0,1060.0,335.0,,105.0,40,70.0
2017-10-27,6683f5d8f1730b0fce6c1fd8b46ab76f,,131.0,1022.0,603.0,384.0,,135.0,57,285.0
2017-10-28,6683f5d8f1730b0fce6c1fd8b46ab76f,,186.0,1067.0,190.0,120.0,,480.0,29,187.0
2017-10-29,6683f5d8f1730b0fce6c1fd8b46ab76f,,27.0,1369.0,1240.0,120.0,,135.0,80,44.0
2017-10-30,6683f5d8f1730b0fce6c1fd8b46ab76f,,41.0,1274.0,370.0,248.0,,135.0,41,124.0
2017-10-31,6683f5d8f1730b0fce6c1fd8b46ab76f,,51.0,1319.0,1133.0,170.0,,195.0,54,64.0
2017-11-01,6683f5d8f1730b0fce6c1fd8b46ab76f,,35.0,1341.0,1170.0,231.0,,435.0,46,63.0
2017-11-02,6683f5d8f1730b0fce6c1fd8b46ab76f,,54.0,1286.0,1140.0,190.0,,180.0,38,88.0
2017-11-03,6683f5d8f1730b0fce6c1fd8b46ab76f,,24.0,1305.0,988.0,280.0,,270.0,58,107.0
2017-11-04,6683f5d8f1730b0fce6c1fd8b46ab76f,,64.0,1137.0,720.0,180.0,250.0,375.0,37,236.0
2017-11-05,6683f5d8f1730b0fce6c1fd8b46ab76f,,13.0,1386.0,1260.0,130.0,,285.0,72,41.0
2017-11-06,6683f5d8f1730b0fce6c1fd8b46ab76f,,27.0,1313.0,1080.0,280.0,,120.0,30,100.0
2017-11-07,6683f5d8f1730b0fce6c1fd8b46ab76f,,42.0,1299.0,1080.0,70.0,,345.0,45,96.0
2017-11-08,6683f5d8f1730b0fce6c1fd8b46ab76f,,56.0,1313.0,1140.0,147.0,,165.0,49,70.0
2017-11-09,6683f5d8f1730b0fce6c1fd8b46ab76f,,43.0,1319.0,550.0,160.0,,120.0,45,77.0
2017-11-10,6683f5d8f1730b0fce6c1fd8b46ab76f,,203.0,1056.0,600.0,166.0,,120.0,33,180.0
2017-11-11,6683f5d8f1730b0fce6c1fd8b46ab76f,,130.0,1270.0,1056.0,120.0,,165.0,44,40.0
2017-11-12,6683f5d8f1730b0fce6c1fd8b46ab76f,,21.0,1388.0,1290.0,128.0,,210.0,41,30.0
2017-11-13,6683f5d8f1730b0fce6c1fd8b46ab76f,,27.0,1333.0,1280.0,,,240.0,50,80.0
2017-11-14,6683f5d8f1730b0fce6c1fd8b46ab76f,,24.0,1352.0,1200.0,200.0,,90.0,54,61.0
2017-11-15,6683f5d8f1730b0fce6c1fd8b46ab76f,,15.0,1296.0,1170.0,130.0,,480.0,37,128.0
2017-11-16,6683f5d8f1730b0fce6c1fd8b46ab76f,,6.0,1392.0,340.0,,,495.0,44,42.0
2017-11-17,6683f5d8f1730b0fce6c1fd8b46ab76f,,12.0,1336.0,990.0,317.0,,195.0,52,89.0
2017-11-18,6683f5d8f1730b0fce6c1fd8b46ab76f,,5.0,1421.0,,180.0,,195.0,39,14.0
2017-11-19,6683f5d8f1730b0fce6c1fd8b46ab76f,,7.0,1382.0,1260.0,110.0,,300.0,60,51.0
2017-11-20,6683f5d8f1730b0fce6c1fd8b46ab76f,,26.0,1375.0,,,,525.0,38,35.0
2017-11-21,6683f5d8f1730b0fce6c1fd8b46ab76f,,30.0,1369.0,,260.0,,435.0,55,40.0
2017-11-22,6683f5d8f1730b0fce6c1fd8b46ab76f,,532.0,818.0,,,,345.0,57,90.0
2017-11-23,6683f5d8f1730b0fce6c1fd8b46ab76f,,36.0,1276.0,,,,570.0,34,129.0
2017-11-24,6683f5d8f1730b0fce6c1fd8b46ab76f,,40.0,1333.0,510.0,,,570.0,42,68.0
2017-11-25,6683f5d8f1730b0fce6c1fd8b46ab76f,,150.0,1160.0,1063.0,,,540.0,39,129.0
2017-11-26,6683f5d8f1730b0fce6c1fd8b46ab76f,,5.0,1422.0,1430.0,,,675.0,44,12.0
2017-11-27,6683f5d8f1730b0fce6c1fd8b46ab76f,,17.0,1402.0,,,,630.0,50,21.0
2017-11-28,6683f5d8f1730b0fce6c1fd8b46ab76f,,1.0,1408.0,1410.0,,,660.0,36,30.0
2017-11-29,6683f5d8f1730b0fce6c1fd8b46ab76f,,85.0,1123.0,566.0,,,555.0,26,231.0
2017-11-30,6683f5d8f1730b0fce6c1fd8b46ab76f,,75.0,1113.0,1056.0,,,555.0,30,252.0
2017-12-01,6683f5d8f1730b0fce6c1fd8b46ab76f,,103.0,1092.0,828.0,,,495.0,28,245.0
2017-12-02,6683f5d8f1730b0fce6c1fd8b46ab76f,,35.0,1297.0,1250.0,,,705.0,29,108.0
2017-12-03,6683f5d8f1730b0fce6c1fd8b46ab76f,,11.0,1392.0,1411.0,,,450.0,26,38.0
2017-12-04,6683f5d8f1730b0fce6c1fd8b46ab76f,,63.0,1156.0,840.0,,,420.0,30,221.0
2017-12-05,6683f5d8f1730b0fce6c1fd8b46ab76f,,38.0,1359.0,1240.0,,,330.0,35,43.0
2017-12-06,6683f5d8f1730b0fce6c1fd8b46ab76f,,14.0,1410.0,1440.0,,,615.0,25,16.0
2017-12-07,6683f5d8f1730b0fce6c1fd8b46ab76f,,3.0,1427.0,1400.0,,,315.0,18,10.0
2017-12-08,6683f5d8f1730b0fce6c1fd8b46ab76f,,52.0,1269.0,1196.0,,,615.0,37,118.0
2017-12-09,6683f5d8f1730b0fce6c1fd8b46ab76f,,80.0,1279.0,1259.0,,,615.0,27,82.0
2017-12-10,6683f5d8f1730b0fce6c1fd8b46ab76f,,13.0,1418.0,1420.0,,,645.0,31,10.0
2017-12-11,6683f5d8f1730b0fce6c1fd8b46ab76f,,,1414.0,1430.0,,,600.0,44,25.0
