date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2017-11-01,73e13f8273906f7f43a077f95ec48e7d,2.0,7.0,1202.0,133.0,154.0,,1140.0,59,42.0
2017-11-02,73e13f8273906f7f43a077f95ec48e7d,,14.0,1187.0,779.0,235.0,72.0,540.0,55,71.0
2017-11-03,73e13f8273906f7f43a077f95ec48e7d,11.0,7.0,1203.0,865.0,123.0,61.0,510.0,71,96.0
2017-11-04,73e13f8273906f7f43a077f95ec48e7d,2.0,25.0,1208.0,737.0,102.0,,435.0,66,88.0
2017-11-05,73e13f8273906f7f43a077f95ec48e7d,4.0,26.0,1199.0,768.0,337.0,,570.0,98,88.0
2017-11-06,73e13f8273906f7f43a077f95ec48e7d,2.0,1.0,1270.0,31.0,297.0,,420.0,114,106.0
2017-11-07,73e13f8273906f7f43a077f95ec48e7d,1.0,,1132.0,625.0,430.0,72.0,510.0,92,83.0
2017-11-08,73e13f8273906f7f43a077f95ec48e7d,2.0,1.0,1182.0,153.0,317.0,,525.0,95,96.0
2017-11-09,73e13f8273906f7f43a077f95ec48e7d,28.0,28.0,1080.0,615.0,113.0,184.0,420.0,97,153.0
2017-11-10,73e13f8273906f7f43a077f95ec48e7d,1.0,1.0,1201.0,1014.0,102.0,,435.0,135,155.0
2017-11-11,73e13f8273906f7f43a077f95ec48e7d,1.0,,1253.0,31.0,,,270.0,114,75.0
2017-11-12,73e13f8273906f7f43a077f95ec48e7d,2.0,1.0,1191.0,856.0,338.0,,330.0,89,57.0
2017-11-13,73e13f8273906f7f43a077f95ec48e7d,1.0,,1272.0,932.0,225.0,113.0,525.0,72,85.0
2017-11-14,73e13f8273906f7f43a077f95ec48e7d,2.0,1.0,1176.0,779.0,297.0,40.0,435.0,47,127.0
2017-11-15,73e13f8273906f7f43a077f95ec48e7d,4.0,,1268.0,789.0,268.0,,600.0,127,113.0
