date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2018-10-16,aeeb186fafcc356f44cae870555f4a0d,,,1311.0,82.0,51.0,92.0,1380.0,38,62.0
2018-10-17,aeeb186fafcc356f44cae870555f4a0d,,,1006.0,965.0,327.0,,435.0,182,109.0
2018-10-18,aeeb186fafcc356f44cae870555f4a0d,,1.0,1070.0,1076.0,123.0,154.0,390.0,164,100.0
2018-10-19,aeeb186fafcc356f44cae870555f4a0d,,,1064.0,994.0,306.0,,360.0,157,114.0
2018-10-20,aeeb186fafcc356f44cae870555f4a0d,2.0,1.0,1045.0,922.0,82.0,123.0,240.0,167,117.0
2018-10-21,aeeb186fafcc356f44cae870555f4a0d,,1.0,1117.0,368.0,245.0,,465.0,124,71.0
2018-10-22,aeeb186fafcc356f44cae870555f4a0d,,,973.0,972.0,357.0,,375.0,167,118.0
2018-10-23,aeeb186fafcc356f44cae870555f4a0d,1.0,,1113.0,1044.0,163.0,113.0,345.0,140,105.0
2018-10-24,aeeb186fafcc356f44cae870555f4a0d,,,1083.0,1065.0,307.0,,450.0,137,63.0
2018-10-25,aeeb186fafcc356f44cae870555f4a0d,,,1169.0,944.0,287.0,92.0,450.0,146,89.0
2018-10-26,aeeb186fafcc356f44cae870555f4a0d,4.0,,1017.0,522.0,215.0,,345.0,189,154.0
2018-10-27,aeeb186fafcc356f44cae870555f4a0d,,,1352.0,1435.0,,,210.0,184,2.0
2018-10-28,aeeb186fafcc356f44cae870555f4a0d,1.0,6.0,1144.0,1075.0,184.0,31.0,405.0,130,80.0
2018-10-29,aeeb186fafcc356f44cae870555f4a0d,,,1085.0,941.0,347.0,,420.0,166,122.0
2018-10-30,aeeb186fafcc356f44cae870555f4a0d,,,1086.0,809.0,388.0,133.0,390.0,176,101.0
2018-10-31,aeeb186fafcc356f44cae870555f4a0d,,,1096.0,1035.0,255.0,,360.0,115,86.0
2018-11-01,aeeb186fafcc356f44cae870555f4a0d,,,1092.0,1199.0,,154.0,660.0,146,59.0
2018-11-02,aeeb186fafcc356f44cae870555f4a0d,,1.0,1146.0,1158.0,245.0,,405.0,142,86.0
2018-11-03,aeeb186fafcc356f44cae870555f4a0d,,,1120.0,1240.0,,113.0,300.0,182,47.0
2018-11-04,aeeb186fafcc356f44cae870555f4a0d,,,1038.0,964.0,338.0,,135.0,170,99.0
2018-11-05,aeeb186fafcc356f44cae870555f4a0d,,,1074.0,962.0,327.0,,345.0,168,101.0
2018-11-06,aeeb186fafcc356f44cae870555f4a0d,,,1022.0,952.0,409.0,,360.0,168,84.0
2018-11-07,aeeb186fafcc356f44cae870555f4a0d,,,1122.0,1168.0,235.0,,330.0,118,59.0
2018-11-08,aeeb186fafcc356f44cae870555f4a0d,,,1102.0,1085.0,51.0,153.0,375.0,144,101.0
2018-11-09,aeeb186fafcc356f44cae870555f4a0d,,,1058.0,1014.0,337.0,,240.0,174,48.0
2018-11-10,aeeb186fafcc356f44cae870555f4a0d,,,1308.0,1188.0,,154.0,285.0,134,30.0
2018-11-11,aeeb186fafcc356f44cae870555f4a0d,1.0,,1290.0,512.0,113.0,,255.0,85,68.0
2018-11-12,aeeb186fafcc356f44cae870555f4a0d,,,1150.0,1198.0,194.0,,270.0,108,73.0
2018-11-13,aeeb186fafcc356f44cae870555f4a0d,1.0,,1021.0,1312.0,61.0,,300.0,136,29.0
2018-11-14,aeeb186fafcc356f44cae870555f4a0d,1.0,,1212.0,441.0,307.0,,330.0,158,36.0
2018-11-15,aeeb186fafcc356f44cae870555f4a0d,,,1092.0,799.0,501.0,,180.0,211,108.0
2018-11-16,aeeb186fafcc356f44cae870555f4a0d,,,1176.0,902.0,205.0,,330.0,136,91.0
2018-11-17,aeeb186fafcc356f44cae870555f4a0d,,,1198.0,1250.0,,,330.0,178,80.0
2018-11-18,aeeb186fafcc356f44cae870555f4a0d,,,1259.0,276.0,194.0,,405.0,124,32.0
2018-11-19,aeeb186fafcc356f44cae870555f4a0d,,,1216.0,307.0,,113.0,240.0,138,52.0
2018-11-20,aeeb186fafcc356f44cae870555f4a0d,,1.0,1125.0,,184.0,102.0,345.0,217,95.0
2018-11-21,aeeb186fafcc356f44cae870555f4a0d,7.0,179.0,928.0,181.0,41.0,,435.0,232,72.0
2018-11-22,aeeb186fafcc356f44cae870555f4a0d,,37.0,1158.0,1158.0,,,600.0,153,42.0
2018-11-23,aeeb186fafcc356f44cae870555f4a0d,,57.0,1122.0,1210.0,,,450.0,173,16.0
2018-11-24,aeeb186fafcc356f44cae870555f4a0d,,32.0,1170.0,1292.0,,,615.0,113,8.0
2018-11-25,aeeb186fafcc356f44cae870555f4a0d,6.0,52.0,1081.0,1076.0,,,495.0,83,147.0
