date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2018-09-27,dfba04a156c13a94753a56bbbdd58969,,,1267.0,,,,900.0,,173.0
2018-09-28,dfba04a156c13a94753a56bbbdd58969,,4.0,1193.0,,327.0,,660.0,132,243.0
2018-09-29,dfba04a156c13a94753a56bbbdd58969,,,977.0,560.0,240.0,170.0,345.0,220,435.0
2018-09-30,dfba04a156c13a94753a56bbbdd58969,,3.0,1173.0,772.0,440.0,,405.0,129,264.0
2018-10-01,dfba04a156c13a94753a56bbbdd58969,,,1253.0,710.0,480.0,70.0,600.0,123,175.0
2018-10-02,dfba04a156c13a94753a56bbbdd58969,,,1273.0,150.0,440.0,,525.0,122,167.0
2018-10-03,dfba04a156c13a94753a56bbbdd58969,,,1269.0,610.0,540.0,50.0,525.0,133,171.0
2018-10-04,dfba04a156c13a94753a56bbbdd58969,,,1273.0,720.0,626.0,,540.0,96,167.0
2018-10-05,dfba04a156c13a94753a56bbbdd58969,,4.0,1075.0,550.0,350.0,50.0,480.0,117,361.0
2018-10-06,dfba04a156c13a94753a56bbbdd58969,,,1088.0,550.0,400.0,,465.0,167,352.0
2018-10-07,dfba04a156c13a94753a56bbbdd58969,,,1117.0,620.0,370.0,50.0,345.0,149,294.0
2018-10-08,dfba04a156c13a94753a56bbbdd58969,,,1189.0,770.0,330.0,70.0,480.0,69,251.0
2018-10-09,dfba04a156c13a94753a56bbbdd58969,,,1165.0,130.0,520.0,,510.0,91,275.0
2018-10-10,dfba04a156c13a94753a56bbbdd58969,,,1214.0,670.0,520.0,50.0,540.0,85,226.0
2018-10-11,dfba04a156c13a94753a56bbbdd58969,,,1269.0,650.0,570.0,,540.0,77,171.0
2018-10-12,dfba04a156c13a94753a56bbbdd58969,3.0,155.0,938.0,,170.0,50.0,495.0,158,343.0
2018-10-13,dfba04a156c13a94753a56bbbdd58969,,41.0,1138.0,670.0,250.0,,390.0,156,261.0
