date_time,record_id,n_inst,n_task,n_job,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu
2000-01-12 02:06:22,1c6afd5c227e89b8a29589f4,1,1,1,,,,,,,,
2000-01-12 02:06:22,1c6afd5c227e89b8a29589f4,,,,,,,,,,,
2000-01-13 07:17:36,1c6afd5c227e89b8a29589f4,1,1,1,,,,,,,,
2000-01-13 07:17:36,1c6afd5c227e89b8a29589f4,,,,,,,,,,,
2000-01-13 11:14:08,1c6afd5c227e89b8a29589f4,1,1,1,,,,,,,,
2000-01-13 12:56:39,1c6afd5c227e89b8a29589f4,2,2,2,,,,,,,,
2000-01-13 13:19:12,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 14:13:29,1c6afd5c227e89b8a29589f4,2,2,2,,,,,,,,
2000-01-13 15:44:23,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 16:15:17,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 16:27:10,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 16:31:01,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 16:31:01,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 16:35:05,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 16:53:26,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 17:02:28,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 17:38:35,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-13 18:04:45,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 19:44:08,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 19:44:42,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 19:45:33,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-13 19:50:24,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 20:07:01,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 20:10:05,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 20:16:32,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 20:22:20,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 20:22:34,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 20:29:46,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 20:37:32,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-13 21:15:00,1c6afd5c227e89b8a29589f4,6,6,6,,,,,,,,
2000-01-13 21:15:00,1c6afd5c227e89b8a29589f4,7,7,7,,,,,,,,
2000-01-13 21:15:03,1c6afd5c227e89b8a29589f4,8,8,8,,,,,,,,
2000-01-13 21:15:04,1c6afd5c227e89b8a29589f4,9,9,9,,,,,,,,
2000-01-13 21:21:30,1c6afd5c227e89b8a29589f4,8,8,8,,,,,,,,
2000-01-13 21:21:57,1c6afd5c227e89b8a29589f4,7,7,7,,,,,,,,
2000-01-13 21:34:06,1c6afd5c227e89b8a29589f4,6,6,6,,,,,,,,
2000-01-13 21:35:37,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-13 21:41:48,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 22:24:14,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-13 22:32:53,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 22:38:28,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-13 22:48:05,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-13 22:49:07,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-13 23:46:40,1c6afd5c227e89b8a29589f4,6,6,6,,,,,,,,
2000-01-13 23:56:17,1c6afd5c227e89b8a29589f4,7,7,7,,,,,,,,
2000-01-13 23:57:32,1c6afd5c227e89b8a29589f4,6,6,6,,,,,,,,
2000-01-14 01:10:45,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-14 02:54:57,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-14 02:56:23,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-14 02:57:07,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-14 02:57:07,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-14 03:01:08,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-14 03:27:13,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-14 03:35:15,1c6afd5c227e89b8a29589f4,6,6,6,,,,,,,,
2000-01-14 03:35:30,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-14 03:35:54,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-14 03:51:46,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-14 03:59:09,1c6afd5c227e89b8a29589f4,2,2,2,,,,,,,,
2000-01-14 04:02:40,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-14 04:20:09,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-14 04:39:06,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-14 04:42:13,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-14 04:42:13,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-14 05:07:35,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-14 05:07:35,1c6afd5c227e89b8a29589f4,3,3,3,,,,,,,,
2000-01-14 05:15:56,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
2000-01-14 06:08:49,1c6afd5c227e89b8a29589f4,5,5,5,,,,,,,,
2000-01-14 06:14:40,1c6afd5c227e89b8a29589f4,4,4,4,,,,,,,,
