date_time,record_id,n_inst,n_task,n_job,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu
2000-01-13 01:55:37,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-13 01:55:37,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-13 17:53:21,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-13 17:53:30,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:05:10,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:05:10,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:12:59,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:21:44,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:21:51,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:21:51,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:24:09,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:24:09,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:24:39,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:24:39,35fc40d2844c0b899c1ceb1e,2,1,1,,,,,,,,
2000-01-15 03:24:39,35fc40d2844c0b899c1ceb1e,3,1,1,,,,,,,,
2000-01-15 03:24:40,35fc40d2844c0b899c1ceb1e,4,1,1,,,,,,,,
2000-01-15 03:37:35,35fc40d2844c0b899c1ceb1e,3,,,,,,,,,,
2000-01-15 03:37:43,35fc40d2844c0b899c1ceb1e,2,,,,,,,,,,
2000-01-15 03:37:44,35fc40d2844c0b899c1ceb1e,1,,,,,,,,,,
2000-01-15 03:39:15,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:42:13,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:42:13,35fc40d2844c0b899c1ceb1e,2,1,1,,,,,,,,
2000-01-15 03:42:13,35fc40d2844c0b899c1ceb1e,3,1,1,,,,,,,,
2000-01-15 03:42:13,35fc40d2844c0b899c1ceb1e,2,,,,,,,,,,
2000-01-15 03:42:13,35fc40d2844c0b899c1ceb1e,1,,,,,,,,,,
2000-01-15 03:42:13,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:42:14,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:42:14,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:43:47,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:43:47,35fc40d2844c0b899c1ceb1e,2,1,1,,,,,,,,
2000-01-15 03:43:47,35fc40d2844c0b899c1ceb1e,3,1,1,,,,,,,,
2000-01-15 03:43:47,35fc40d2844c0b899c1ceb1e,2,,,,,,,,,,
2000-01-15 03:43:47,35fc40d2844c0b899c1ceb1e,1,,,,,,,,,,
2000-01-15 03:43:47,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:43:48,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:43:48,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:44:08,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:44:08,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:44:09,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:44:09,35fc40d2844c0b899c1ceb1e,2,1,1,,,,,,,,
2000-01-15 03:44:09,35fc40d2844c0b899c1ceb1e,1,,,,,,,,,,
2000-01-15 03:44:09,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:44:10,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
2000-01-15 03:44:10,35fc40d2844c0b899c1ceb1e,,,,,,,,,,,
2000-01-15 03:45:49,35fc40d2844c0b899c1ceb1e,1,1,1,,,,,,,,
