date_time,record_id,n_inst,n_task,n_job,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu
2000-01-12 16:00:51,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 12:56:39,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 14:29:06,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 15:53:35,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 16:26:50,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 16:35:05,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 16:41:07,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 16:53:25,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 17:02:54,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 17:03:00,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 17:08:29,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 17:13:17,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 17:16:09,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 17:17:16,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 17:18:16,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 17:20:39,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 17:23:04,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 17:23:04,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 17:33:16,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 17:52:34,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 18:04:57,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 18:15:14,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 18:15:59,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 18:37:21,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 18:44:32,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 19:11:26,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 19:29:27,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 19:44:42,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 19:50:20,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 19:52:10,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 19:55:04,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 19:55:11,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 20:10:05,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 20:18:04,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 20:22:20,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 20:22:34,7077ec572d50395cafcbcb7d,,,,,,,,,,,
2000-01-13 20:24:52,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 20:29:46,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 20:53:59,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 20:55:20,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 21:00:12,7077ec572d50395cafcbcb7d,3,3,3,,,,,,,,
2000-01-13 21:12:16,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 21:15:00,7077ec572d50395cafcbcb7d,3,3,3,,,,,,,,
2000-01-13 21:15:00,7077ec572d50395cafcbcb7d,4,4,4,,,,,,,,
2000-01-13 21:15:02,7077ec572d50395cafcbcb7d,5,5,5,,,,,,,,
2000-01-13 21:15:03,7077ec572d50395cafcbcb7d,6,6,6,,,,,,,,
2000-01-13 21:15:04,7077ec572d50395cafcbcb7d,7,7,6,,,,,,,,
2000-01-13 21:21:48,7077ec572d50395cafcbcb7d,6,6,5,,,,,,,,
2000-01-13 21:22:53,7077ec572d50395cafcbcb7d,5,5,4,,,,,,,,
2000-01-13 21:26:32,7077ec572d50395cafcbcb7d,4,4,4,,,,,,,,
2000-01-13 21:35:36,7077ec572d50395cafcbcb7d,3,3,3,,,,,,,,
2000-01-13 21:35:53,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 21:41:47,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 21:44:22,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 21:44:36,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 21:44:41,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 21:44:54,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 21:48:16,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 22:05:00,7077ec572d50395cafcbcb7d,1,1,1,,,,,,,,
2000-01-13 22:09:05,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 22:35:35,7077ec572d50395cafcbcb7d,3,3,3,,,,,,,,
2000-01-13 22:41:12,7077ec572d50395cafcbcb7d,2,2,2,,,,,,,,
2000-01-13 22:41:52,7077ec572d50395cafcbcb7d,3,3,3,,,,,,,,
2000-01-13 22:41:56,7077ec572d50395cafcbcb7d,4,4,4,,,,,,,,
2000-01-13 23:12:37,7077ec572d50395cafcbcb7d,5,5,5,,,,,,,,
2000-01-13 23:32:10,7077ec572d50395cafcbcb7d,4,4,4,,,,,,,,
2000-01-13 23:39:26,7077ec572d50395cafcbcb7d,5,5,5,,,,,,,,
2000-01-13 23:46:43,7077ec572d50395cafcbcb7d,6,6,6,,,,,,,,
