delta,interval_type,date_time (start),date_time (end)
,base,,
24.0,high,2015-08-12 17:34:58+00:00,2015-08-13 17:34:58+00:00
24.0,high,2015-08-13 17:34:58+00:00,2015-08-14 17:34:58+00:00
24.0,high,2015-08-14 17:34:58+00:00,2015-08-15 17:34:58+00:00
24.0,high,2015-08-15 17:34:58+00:00,2015-08-16 17:34:58+00:00
24.0,high,2015-08-16 17:34:58+00:00,2015-08-17 17:34:58+00:00
24.0,high,2015-08-17 17:34:58+00:00,2015-08-18 17:34:58+00:00
24.0,high,2015-08-18 17:34:58+00:00,2015-08-19 17:34:58+00:00
24.0,high,2015-08-19 17:34:58+00:00,2015-08-20 17:34:58+00:00
24.0,high,2015-08-20 17:34:58+00:00,2015-08-21 17:34:58+00:00
24.0,high,2015-08-21 17:34:58+00:00,2015-08-22 17:34:58+00:00
24.0,high,2015-08-22 17:34:58+00:00,2015-08-23 17:34:58+00:00
24.0,high,2015-08-23 17:34:58+00:00,2015-08-24 17:34:58+00:00
24.0,high,2015-08-24 17:34:58+00:00,2015-08-25 17:34:58+00:00
24.0,high,2015-08-25 17:34:58+00:00,2015-08-26 17:34:58+00:00
24.0,high,2015-08-26 17:34:58+00:00,2015-08-27 17:34:58+00:00
24.0,high,2015-08-27 17:34:58+00:00,2015-08-28 17:34:58+00:00
24.0,high,2015-08-28 17:34:58+00:00,2015-08-29 17:34:58+00:00
24.0,high,2015-08-29 17:34:58+00:00,2015-08-30 17:34:58+00:00
24.0,high,2015-08-30 17:34:58+00:00,2015-08-31 17:34:58+00:00
24.0,high,2015-08-31 17:34:58+00:00,2015-09-01 17:34:58+00:00
24.0,high,2015-09-01 17:34:58+00:00,2015-09-02 17:34:58+00:00
24.0,high,2015-09-02 17:34:58+00:00,2015-09-03 17:34:58+00:00
24.0,high,2015-09-03 17:34:58+00:00,2015-09-04 17:34:58+00:00
24.0,high,2015-09-04 17:34:58+00:00,2015-09-05 17:34:58+00:00
