date_time,record_id,text
2017-01-18,pytorch/pytorch,"The discussions primarily revolve around accessing and extending PyTorch's source code, with a focus on improving distributed communication via in-process groups and exploring RDMA, MPI, or custom TCP options. Users report issues with specific functionality, such as LSTM requiring `.contiguous()` in batch_first mode, and express interest in updating legacy optimizers. There are concerns about hardware backend support, particularly the lack of official OpenCL support due to performance and development complexity, with a preference toward AMD GPUs and future HIP support once ready. Additionally, there is debate regarding the feasibility and strategic direction of supporting alternative hardware platforms outside CUDA, HIP, or MKLDNN, with some users advocating for broader hardware compatibility efforts. Overall, key themes include source code access, optimization fixes, and strategic hardware backend support."
2017-01-19,pytorch/pytorch,"The discussions highlight challenges in supporting diverse hardware backends, particularly the complexity of implementing and maintaining OpenCL and AMD GPU support, with community suggestions favoring SPIR-V and SYCL as future directions. There are technical issues with building dependencies, such as MKL libraries and pthreads on Linux, requiring environment configuration adjustments for successful compilation. Some users inquire about Windows support, with indications that adding core support requires dedicated developer effort since existing team members primarily use Linux. Additionally, there are ongoing efforts to improve build systems, dependency management, and API stability, including deprecation plans for legacy functions like `is_tensor`. Overall, the core concerns revolve around enhancing multi-platform compatibility, streamlining build processes, and expanding hardware support through community contributions."
2017-01-20,pytorch/pytorch,"The discussions cover several key technical concerns, including ensuring proper use of `super().__init__()` in `nn.Module` constructions, and considerations for supporting Windows, macOS, and variable-length sequence processing in PyTorch, emphasizing the implementation of efficient masking and input descriptor handling for cuDNN. There is ongoing dialogue about integrating cuDNN v6 support, managing CUDA compatibility across different hardware and software versions, and the challenges associated with coexisting code paths for different cuDNN versions. Additionally, questions are raised regarding image rendering issues in documentation, JavaPyPI packaging strategies to facilitate easier releases, and GPU-specific settings such as data types in convolution operations, indicating a focus on both usability and performance optimizations. Overall, the conversations highlight efforts to improve cross-platform support, library usability, and compatibility with evolving hardware capabilities."
2017-01-21,pytorch/pytorch,"The discussions primarily address issues with reopening PRs from private branches and build configuration problems, particularly relating to compatibility with specific GPU architectures and compiler setups. There is a focus on optimizing RNN performance by reducing kernel launches, with suggestions to pre-allocate buffers and perform in-place calculations, though the impact of memory allocation bottlenecks appears less significant due to improvements like the CUDA caching allocator. Masking strategies in backpropagation, especially using sentinel values versus indexing, are debated, with indexing identified as a faster and less error-prone method. Several comments highlight the importance of proper environment setup, such as setting correct compiler variables and choosing between source installation and Conda binaries for compatibility and performance. Overall, key concerns include ensuring build correctness, optimizing GPU computation, and implementing reliable sequence masking techniques."
2017-01-22,pytorch/pytorch,"The discussions highlight concerns about the lack of contiguity checks in PyTorch, with potential risks of incorrect results or internal errors when using non-contiguous inputs or weights, particularly with cuDNN modules. There is ongoing debate about the naming conventions for GPU support APIs, specifically whether to deprecate `.cuda()` in favor of a more generic `.gpu()` to better accommodate multiple backends like OpenCL and AMD's HIP. Support for Windows remains a challenge, requiring community contributions to achieve stable compilation and testing, especially with C++11 dependencies and compiler compatibility issues. Additionally, issues related to cudnn backend errors, API consistency, and kernel behavior under different hardware configurations are noted, with some uncertainties around the causes of specific errors and the best way to handle tensor device transfers across multiple backends. Unresolved questions include how to best enforce data contiguity, manage API naming transitions, and ensure robust compatibility across diverse hardware and software environments."
2017-01-23,pytorch/pytorch,"The discussions highlight several technical concerns, including the need for improved GPU memory management and workspace allocation strategies in cudnn, with suggestions to fallback to less memory-intensive algorithms upon failures (issues #552, #554, #560). Compatibility issues related to CUDA versions and compute architectures are also emphasized, especially regarding K10 GPUs requiring CUDA 8.0 (issue #553). There are questions about proper usage patterns to ensure variables and tensors are on the GPU for CUDA operations, such as moving tensors into GPU memory correctly (issue #547, #560). Some discussions focus on optimizing or fixing specific functionalities, like porting certain loss functions (issue #551) or improving the performance of initial CUDA calls (issue #537). Unresolved questions include handling of intermediate gradients, efficient workspace estimation, and support for certain hardware or libraries like libdnn and OpenCL (issues #544, #562)."
2017-01-24,pytorch/pytorch,"The discussions highlight several key technical issues: First, ensuring contiguity of tensors, weights, and auxiliary buffers is critical for CuDNN modules to prevent incorrect results or internal errors, with suggestions to improve checks and error handling. Second, there is interest in expanding support for CPU functionalities like im2col/unfold through autograd integration and clarifying the distinctions between legacy 2D softmax/logsoftmax modules versus functional APIs. Third, handling of reproducibility and consistent naming conventions is discussed, including renaming files for compatibility and clarifying API usage to avoid user confusion. Fourth, addressing resource management and error handling, such as OOM errors in CuDNN and unpredicted behavior of embedding modules on CUDA, is important. Lastly, various usability improvements are proposed, including better documentation, code style enforcement, and structural enhancements like making `output_size` a non-optional parameter in pooling modules."
2017-01-25,pytorch/pytorch,"The discussions primarily revolve around optimizing GPU computation and library support in PyTorch, including removing unnecessary `.zero()` calls on gradient inputs to improve efficiency, and supporting multi-backend GPU operations (`.cuda()`, `.cl()`, `.gpu()`) for flexibility with different hardware like AMD and NVIDIA. There are concerns about proper handling of convolutional operations, particularly the ambiguity in `MaxPool2d` with `output_size` and the need to document and possibly enforce correct usage to prevent errors. Compatibility issues are addressed regarding cuDNN versions and dynamic loader problems, with suggestions to verify installations and manage environment variables like `LIBRARY_PATH`. Additional topics include planning release timelines (notably v6), Dockerfile organization, and handling evaluation mode limitations in cuDNN’s backward pass. Overall, the discussions focus on improving robustness, flexibility, and clarity in PyTorch’s GPU and library support."
2017-01-26,pytorch/pytorch,"The discussions highlight a range of technical concerns, including the integration of optional parameters like dilation in convolution routines, which is considered minimal yet potentially beneficial. Several issues relate to improving robustness and correctness, such as asserting support for backward passes in cuDNN evaluation mode and adding device-side assertions for out-of-bounds errors in modules like Embedding. There are ongoing efforts to enhance compatibility and usability, exemplified by plans for supporting Python 3.6, resolving environment-specific bugs (e.g., UCS2 Python 2.7), and revising autograd internals to handle multiple parallel hooks. Memory management on CUDA, especially regarding memory oversubscription and consistency between PyTorch and Lua Torch, remains a concern, with reports of out-of-memory issues under certain configurations. Lastly, some feature improvements are suggested, such as replacing certain tests with `unittest` and clarifying usage patterns for functions like `torch.cat`."
2017-01-27,pytorch/pytorch,"The discussions highlight several technical concerns, including memory management and cyclic references in CUDA-based RNN implementations, which cause excessive memory allocations; resolution suggestions involve explicit garbage collection and fixing cyclic references. There are also questions about API flexibility, particularly regarding merge functions in RNN layers, weighing simplicity against the need for configurable options. Additionally, efforts are noted to improve build efficiency through tools like ccache, and there are ongoing discussions on code style preferences, such as line length limits. Overall, the conversations focus on optimizing memory usage, API design, build processes, and code consistency."
