date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2017-10-24,422875809be551a4ec179466aa8300ba,,,1372.0,,,,1200.0,,68.0
2017-10-25,422875809be551a4ec179466aa8300ba,,1.0,1308.0,240.0,110.0,,405.0,29,130.0
2017-10-26,422875809be551a4ec179466aa8300ba,,2.0,1205.0,763.0,310.0,150.0,495.0,76,230.0
2017-10-27,422875809be551a4ec179466aa8300ba,,,1220.0,470.0,230.0,,555.0,84,218.0
2017-10-28,422875809be551a4ec179466aa8300ba,,,1081.0,730.0,110.0,,195.0,119,356.0
2017-10-29,422875809be551a4ec179466aa8300ba,,,1231.0,1320.0,,,375.0,76,207.0
2017-10-30,422875809be551a4ec179466aa8300ba,,,1239.0,495.0,120.0,,315.0,83,195.0
2017-10-31,422875809be551a4ec179466aa8300ba,,,1235.0,630.0,130.0,170.0,480.0,71,202.0
2017-11-01,422875809be551a4ec179466aa8300ba,,6.0,1167.0,704.0,400.0,,420.0,83,265.0
2017-11-02,422875809be551a4ec179466aa8300ba,,,1226.0,682.0,310.0,163.0,450.0,93,211.0
2017-11-03,422875809be551a4ec179466aa8300ba,,,1153.0,786.0,190.0,140.0,435.0,94,284.0
2017-11-04,422875809be551a4ec179466aa8300ba,,,997.0,700.0,,360.0,525.0,74,435.0
2017-11-05,422875809be551a4ec179466aa8300ba,12.0,15.0,1084.0,392.0,140.0,,210.0,123,328.0
2017-11-06,422875809be551a4ec179466aa8300ba,,,1238.0,880.0,280.0,60.0,180.0,103,199.0
2017-11-07,422875809be551a4ec179466aa8300ba,,,1236.0,477.0,500.0,321.0,330.0,96,196.0
2017-11-08,422875809be551a4ec179466aa8300ba,,29.0,1151.0,747.0,250.0,120.0,330.0,106,257.0
2017-11-09,422875809be551a4ec179466aa8300ba,,,1250.0,683.0,170.0,330.0,345.0,110,184.0
2017-11-10,422875809be551a4ec179466aa8300ba,,159.0,961.0,633.0,180.0,,450.0,100,315.0
2017-11-11,422875809be551a4ec179466aa8300ba,,120.0,1034.0,710.0,137.0,210.0,300.0,90,279.0
2017-11-12,422875809be551a4ec179466aa8300ba,,7.0,1118.0,360.0,250.0,,165.0,84,311.0
2017-11-13,422875809be551a4ec179466aa8300ba,,,1251.0,120.0,640.0,,270.0,85,188.0
2017-11-14,422875809be551a4ec179466aa8300ba,,,1203.0,697.0,510.0,79.0,540.0,82,231.0
2017-11-15,422875809be551a4ec179466aa8300ba,,,1104.0,829.0,130.0,30.0,570.0,106,313.0
2017-11-16,422875809be551a4ec179466aa8300ba,,,1216.0,212.0,,160.0,465.0,87,219.0
2017-11-17,422875809be551a4ec179466aa8300ba,,,1138.0,864.0,240.0,40.0,555.0,83,301.0
2017-11-18,422875809be551a4ec179466aa8300ba,,,1206.0,510.0,280.0,,405.0,112,231.0
2017-11-19,422875809be551a4ec179466aa8300ba,,,1290.0,910.0,,,495.0,105,149.0
2017-11-20,422875809be551a4ec179466aa8300ba,,,1217.0,620.0,230.0,,450.0,99,221.0
2017-11-21,422875809be551a4ec179466aa8300ba,,,1136.0,,30.0,,210.0,96,301.0
2017-11-22,422875809be551a4ec179466aa8300ba,,79.0,1146.0,100.0,,,225.0,116,214.0
2017-11-23,422875809be551a4ec179466aa8300ba,,,1318.0,,,,465.0,92,122.0
2017-11-24,422875809be551a4ec179466aa8300ba,22.0,46.0,1210.0,580.0,,,495.0,102,162.0
2017-11-25,422875809be551a4ec179466aa8300ba,4.0,155.0,1103.0,779.0,,,330.0,105,175.0
2017-11-26,422875809be551a4ec179466aa8300ba,46.0,34.0,1238.0,1319.0,,,525.0,121,122.0
2017-11-27,422875809be551a4ec179466aa8300ba,25.0,45.0,1254.0,655.0,,,495.0,115,116.0
2017-11-28,422875809be551a4ec179466aa8300ba,,48.0,1320.0,181.0,,,510.0,86,71.0
2017-11-29,422875809be551a4ec179466aa8300ba,,8.0,1344.0,1430.0,,,285.0,105,88.0
2017-11-30,422875809be551a4ec179466aa8300ba,,66.0,1276.0,1280.0,,,450.0,113,98.0
2017-12-01,422875809be551a4ec179466aa8300ba,1.0,72.0,1269.0,1227.0,,,570.0,98,97.0
2017-12-02,422875809be551a4ec179466aa8300ba,,52.0,1140.0,570.0,,,465.0,103,248.0
2017-12-03,422875809be551a4ec179466aa8300ba,,27.0,1285.0,1331.0,,,555.0,112,128.0
2017-12-04,422875809be551a4ec179466aa8300ba,,23.0,1319.0,1309.0,,,300.0,111,97.0
2017-12-05,422875809be551a4ec179466aa8300ba,,28.0,1301.0,1290.0,,,555.0,106,111.0
2017-12-06,422875809be551a4ec179466aa8300ba,,,1342.0,,,,570.0,129,97.0
2017-12-07,422875809be551a4ec179466aa8300ba,2.0,37.0,1313.0,1240.0,,,585.0,95,89.0
2017-12-08,422875809be551a4ec179466aa8300ba,1.0,27.0,1348.0,1331.0,,,510.0,78,63.0
2017-12-09,422875809be551a4ec179466aa8300ba,62.0,190.0,883.0,420.0,,,450.0,122,304.0
2017-12-10,422875809be551a4ec179466aa8300ba,,113.0,1122.0,340.0,,,450.0,85,205.0
2017-12-11,422875809be551a4ec179466aa8300ba,,,1369.0,1440.0,,,645.0,90,70.0
2017-12-12,422875809be551a4ec179466aa8300ba,,25.0,1330.0,1327.0,,,525.0,100,85.0
2017-12-13,422875809be551a4ec179466aa8300ba,,1.0,1354.0,1440.0,,,255.0,90,85.0
2017-12-14,422875809be551a4ec179466aa8300ba,,53.0,1254.0,1220.0,,,300.0,110,134.0
2017-12-15,422875809be551a4ec179466aa8300ba,,127.0,1168.0,970.0,,,510.0,128,145.0
2017-12-16,422875809be551a4ec179466aa8300ba,,29.0,1239.0,1310.0,,,585.0,97,172.0
2017-12-17,422875809be551a4ec179466aa8300ba,97.0,48.0,1111.0,1168.0,,,345.0,114,183.0
2017-12-18,422875809be551a4ec179466aa8300ba,,14.0,1320.0,1370.0,,,525.0,105,105.0
2017-12-19,422875809be551a4ec179466aa8300ba,,32.0,1306.0,1246.0,,,555.0,110,101.0
2017-12-20,422875809be551a4ec179466aa8300ba,9.0,128.0,1043.0,1030.0,,,510.0,134,259.0
2017-12-21,422875809be551a4ec179466aa8300ba,,44.0,1255.0,1215.0,,,480.0,101,140.0
2017-12-22,422875809be551a4ec179466aa8300ba,,1.0,1345.0,1370.0,,,465.0,96,93.0
2017-12-23,422875809be551a4ec179466aa8300ba,1.0,83.0,930.0,573.0,,,255.0,140,427.0
2017-12-24,422875809be551a4ec179466aa8300ba,,4.0,1332.0,1440.0,,,450.0,122,103.0
2017-12-25,422875809be551a4ec179466aa8300ba,,,1339.0,1440.0,,,495.0,118,101.0
2017-12-26,422875809be551a4ec179466aa8300ba,133.0,69.0,1033.0,1010.0,,,480.0,122,204.0
2017-12-27,422875809be551a4ec179466aa8300ba,1.0,55.0,1280.0,960.0,,,525.0,97,104.0
2017-12-28,422875809be551a4ec179466aa8300ba,,30.0,1266.0,1130.0,,,300.0,90,144.0
2017-12-29,422875809be551a4ec179466aa8300ba,6.0,62.0,1237.0,1308.0,,,555.0,78,135.0
2017-12-30,422875809be551a4ec179466aa8300ba,,138.0,1191.0,1070.0,,,585.0,136,110.0
2017-12-31,422875809be551a4ec179466aa8300ba,,28.0,1158.0,1123.0,,,435.0,161,252.0
2018-01-01,422875809be551a4ec179466aa8300ba,,5.0,1288.0,1393.0,,,405.0,97,146.0
2018-01-02,422875809be551a4ec179466aa8300ba,,275.0,894.0,180.0,,,270.0,115,271.0
2018-01-03,422875809be551a4ec179466aa8300ba,,,1205.0,828.0,232.0,161.0,405.0,62,235.0
2018-01-04,422875809be551a4ec179466aa8300ba,,,1134.0,990.0,,80.0,420.0,98,305.0
2018-01-05,422875809be551a4ec179466aa8300ba,,,1125.0,750.0,240.0,132.0,240.0,83,313.0
2018-01-06,422875809be551a4ec179466aa8300ba,35.0,14.0,1096.0,855.0,,130.0,525.0,77,293.0
2018-01-07,422875809be551a4ec179466aa8300ba,,1.0,1153.0,340.0,322.0,,375.0,99,283.0
2018-01-08,422875809be551a4ec179466aa8300ba,,,1257.0,817.0,240.0,220.0,450.0,73,182.0
2018-01-09,422875809be551a4ec179466aa8300ba,,,1179.0,679.0,,170.0,360.0,86,260.0
2018-01-10,422875809be551a4ec179466aa8300ba,,,1170.0,760.0,210.0,,510.0,84,268.0
2018-01-11,422875809be551a4ec179466aa8300ba,,,1192.0,163.0,64.0,130.0,420.0,72,244.0
2018-01-12,422875809be551a4ec179466aa8300ba,,,1160.0,710.0,280.0,230.0,510.0,62,274.0
2018-01-13,422875809be551a4ec179466aa8300ba,,,1034.0,770.0,,186.0,405.0,76,395.0
2018-01-14,422875809be551a4ec179466aa8300ba,,,1363.0,450.0,,,690.0,17,70.0
2018-01-15,422875809be551a4ec179466aa8300ba,,,1391.0,,,,1350.0,,49.0
2018-01-16,422875809be551a4ec179466aa8300ba,,,1213.0,110.0,,,450.0,29,222.0
2018-01-17,422875809be551a4ec179466aa8300ba,,,1236.0,710.0,220.0,,585.0,99,202.0
2018-01-18,422875809be551a4ec179466aa8300ba,,,1177.0,721.0,80.0,160.0,390.0,89,261.0
2018-01-19,422875809be551a4ec179466aa8300ba,,,1175.0,662.0,230.0,131.0,585.0,90,263.0
2018-01-20,422875809be551a4ec179466aa8300ba,,,1044.0,1080.0,,,450.0,120,392.0
2018-01-21,422875809be551a4ec179466aa8300ba,,,1194.0,260.0,,80.0,150.0,93,244.0
2018-01-22,422875809be551a4ec179466aa8300ba,,,1250.0,740.0,225.0,80.0,495.0,87,183.0
2018-01-23,422875809be551a4ec179466aa8300ba,,1.0,1131.0,462.0,60.0,143.0,315.0,87,302.0
2018-01-24,422875809be551a4ec179466aa8300ba,,,1284.0,680.0,240.0,,480.0,74,155.0
2018-01-25,422875809be551a4ec179466aa8300ba,,,1207.0,600.0,320.0,160.0,435.0,95,218.0
2018-01-26,422875809be551a4ec179466aa8300ba,,,1199.0,640.0,242.0,390.0,480.0,79,236.0
2018-01-27,422875809be551a4ec179466aa8300ba,,123.0,933.0,520.0,,270.0,375.0,92,380.0
2018-01-28,422875809be551a4ec179466aa8300ba,,,1113.0,485.0,140.0,101.0,345.0,88,321.0
2018-01-29,422875809be551a4ec179466aa8300ba,,,1264.0,720.0,358.0,169.0,600.0,71,175.0
2018-01-30,422875809be551a4ec179466aa8300ba,,6.0,1256.0,535.0,60.0,130.0,405.0,82,173.0
2018-01-31,422875809be551a4ec179466aa8300ba,,,1225.0,704.0,236.0,160.0,435.0,100,209.0
2018-02-01,422875809be551a4ec179466aa8300ba,,15.0,1219.0,688.0,30.0,133.0,510.0,72,204.0
2018-02-02,422875809be551a4ec179466aa8300ba,,,1145.0,686.0,255.0,300.0,480.0,69,285.0
2018-02-03,422875809be551a4ec179466aa8300ba,11.0,2.0,1067.0,770.0,,180.0,375.0,88,348.0
2018-02-04,422875809be551a4ec179466aa8300ba,,,1135.0,110.0,150.0,60.0,435.0,99,297.0
2018-02-05,422875809be551a4ec179466aa8300ba,,,1226.0,650.0,410.0,205.0,330.0,84,210.0
2018-02-06,422875809be551a4ec179466aa8300ba,,,1232.0,765.0,190.0,310.0,360.0,58,205.0
2018-02-07,422875809be551a4ec179466aa8300ba,,,1234.0,616.0,425.0,228.0,450.0,66,196.0
2018-02-08,422875809be551a4ec179466aa8300ba,,,1260.0,150.0,90.0,218.0,495.0,46,174.0
2018-02-09,422875809be551a4ec179466aa8300ba,,,1197.0,810.0,245.0,150.0,480.0,94,241.0
2018-02-10,422875809be551a4ec179466aa8300ba,,,1261.0,840.0,,245.0,390.0,77,174.0
2018-02-11,422875809be551a4ec179466aa8300ba,,,1252.0,500.0,,322.0,405.0,64,186.0
2018-02-12,422875809be551a4ec179466aa8300ba,,,1251.0,569.0,270.0,270.0,465.0,51,185.0
2018-02-13,422875809be551a4ec179466aa8300ba,,,1279.0,670.0,60.0,90.0,480.0,52,156.0
2018-02-14,422875809be551a4ec179466aa8300ba,,,1203.0,680.0,160.0,160.0,435.0,62,234.0
2018-02-15,422875809be551a4ec179466aa8300ba,,,1262.0,570.0,90.0,120.0,435.0,53,171.0
2018-02-16,422875809be551a4ec179466aa8300ba,,,1103.0,812.0,240.0,120.0,435.0,74,328.0
2018-02-17,422875809be551a4ec179466aa8300ba,,,1147.0,741.0,,361.0,225.0,61,281.0
2018-02-18,422875809be551a4ec179466aa8300ba,,1.0,1235.0,455.0,130.0,310.0,240.0,68,202.0
2018-02-19,422875809be551a4ec179466aa8300ba,,,1224.0,630.0,245.0,205.0,375.0,63,210.0
2018-02-20,422875809be551a4ec179466aa8300ba,,,1250.0,770.0,,163.0,390.0,60,189.0
