date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2018-09-16,6ed487d275984c8c141d40ad10664f46,,11.0,1322.0,,,,1200.0,,102.0
2018-09-17,6ed487d275984c8c141d40ad10664f46,,27.0,1242.0,340.0,,,540.0,47,170.0
2018-09-18,6ed487d275984c8c141d40ad10664f46,,38.0,1203.0,770.0,120.0,,330.0,103,192.0
2018-09-19,6ed487d275984c8c141d40ad10664f46,,13.0,1211.0,869.0,220.0,80.0,450.0,103,211.0
2018-09-20,6ed487d275984c8c141d40ad10664f46,,37.0,1232.0,840.0,170.0,,405.0,152,170.0
2018-09-21,6ed487d275984c8c141d40ad10664f46,,17.0,1285.0,900.0,210.0,70.0,450.0,74,135.0
2018-09-22,6ed487d275984c8c141d40ad10664f46,,44.0,1034.0,914.0,,,495.0,96,358.0
2018-09-23,6ed487d275984c8c141d40ad10664f46,,22.0,1142.0,920.0,90.0,,315.0,138,269.0
2018-09-24,6ed487d275984c8c141d40ad10664f46,,22.0,1207.0,690.0,187.0,120.0,375.0,95,210.0
2018-09-25,6ed487d275984c8c141d40ad10664f46,,34.0,1292.0,1000.0,60.0,,540.0,111,112.0
2018-09-26,6ed487d275984c8c141d40ad10664f46,,31.0,1204.0,868.0,170.0,70.0,345.0,99,194.0
2018-09-27,6ed487d275984c8c141d40ad10664f46,,26.0,1264.0,920.0,,,465.0,128,148.0
2018-09-28,6ed487d275984c8c141d40ad10664f46,,36.0,1190.0,340.0,234.0,,375.0,169,213.0
2018-09-29,6ed487d275984c8c141d40ad10664f46,,49.0,1140.0,386.0,,70.0,480.0,140,247.0
2018-09-30,6ed487d275984c8c141d40ad10664f46,,37.0,1196.0,1197.0,,,300.0,141,202.0
2018-10-01,6ed487d275984c8c141d40ad10664f46,,25.0,1192.0,719.0,205.0,180.0,390.0,113,190.0
2018-10-02,6ed487d275984c8c141d40ad10664f46,,8.0,1275.0,820.0,170.0,110.0,405.0,89,156.0
2018-10-03,6ed487d275984c8c141d40ad10664f46,,28.0,1240.0,944.0,132.0,,465.0,110,169.0
2018-10-04,6ed487d275984c8c141d40ad10664f46,,18.0,1308.0,1090.0,,,345.0,114,113.0
2018-10-05,6ed487d275984c8c141d40ad10664f46,,11.0,700.0,,209.0,,480.0,32,728.0
2018-10-15,6ed487d275984c8c141d40ad10664f46,,,1307.0,,,,1080.0,,131.0
2018-10-16,6ed487d275984c8c141d40ad10664f46,,5.0,1214.0,,,,450.0,75,220.0
2018-10-17,6ed487d275984c8c141d40ad10664f46,,,1153.0,,,,315.0,156,285.0
2018-10-18,6ed487d275984c8c141d40ad10664f46,,1.0,1220.0,,,,195.0,140,219.0
2018-10-19,6ed487d275984c8c141d40ad10664f46,,3.0,1253.0,,,,435.0,166,182.0
2018-10-20,6ed487d275984c8c141d40ad10664f46,,4.0,1135.0,,,,645.0,159,297.0
2018-10-21,6ed487d275984c8c141d40ad10664f46,,,1161.0,,,,405.0,175,279.0
2018-10-22,6ed487d275984c8c141d40ad10664f46,,,1258.0,,,,480.0,137,176.0
2018-10-23,6ed487d275984c8c141d40ad10664f46,14.0,4.0,1266.0,,,,285.0,121,156.0
2018-10-24,6ed487d275984c8c141d40ad10664f46,,,1353.0,,,,435.0,83,87.0
2018-10-25,6ed487d275984c8c141d40ad10664f46,,8.0,1239.0,,,,525.0,114,193.0
2018-10-26,6ed487d275984c8c141d40ad10664f46,,4.0,1086.0,,,,435.0,147,346.0
2018-10-27,6ed487d275984c8c141d40ad10664f46,3.0,4.0,1135.0,,,,570.0,141,297.0
2018-10-28,6ed487d275984c8c141d40ad10664f46,,,1194.0,,,,510.0,132,245.0
2018-10-29,6ed487d275984c8c141d40ad10664f46,,4.0,1228.0,,,,465.0,112,208.0
2018-10-30,6ed487d275984c8c141d40ad10664f46,,,1249.0,,,,420.0,120,190.0
2018-10-31,6ed487d275984c8c141d40ad10664f46,,,1126.0,,,,465.0,140,313.0
2018-11-01,6ed487d275984c8c141d40ad10664f46,,5.0,1271.0,,,,495.0,118,164.0
2018-11-02,6ed487d275984c8c141d40ad10664f46,3.0,,1229.0,,,,345.0,132,208.0
2018-11-03,6ed487d275984c8c141d40ad10664f46,,,1092.0,,,,525.0,135,288.0
2018-11-04,6ed487d275984c8c141d40ad10664f46,,12.0,1219.0,,,,390.0,139,208.0
2018-11-05,6ed487d275984c8c141d40ad10664f46,,,1258.0,,,,435.0,113,182.0
2018-11-06,6ed487d275984c8c141d40ad10664f46,,,1248.0,,,,270.0,131,190.0
2018-11-07,6ed487d275984c8c141d40ad10664f46,,1.0,1229.0,,,,450.0,137,207.0
2018-11-08,6ed487d275984c8c141d40ad10664f46,,,1278.0,,,,495.0,130,159.0
2018-11-09,6ed487d275984c8c141d40ad10664f46,,21.0,1207.0,,,,405.0,167,201.0
2018-11-10,6ed487d275984c8c141d40ad10664f46,12.0,6.0,1247.0,,,,510.0,115,174.0
2018-11-11,6ed487d275984c8c141d40ad10664f46,,,1317.0,,,,315.0,113,123.0
2018-11-12,6ed487d275984c8c141d40ad10664f46,,,1263.0,,,,435.0,132,177.0
2018-11-13,6ed487d275984c8c141d40ad10664f46,37.0,34.0,1182.0,,,,480.0,143,187.0
