date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2018-10-12,7d2c632a05bbb03ca97555d61be83c41,1.0,,1285.0,539.0,214.0,,870.0,31,31.0
2018-10-13,7d2c632a05bbb03ca97555d61be83c41,2.0,9.0,1061.0,698.0,,240.0,255.0,58,154.0
2018-10-14,7d2c632a05bbb03ca97555d61be83c41,,,1282.0,1195.0,75.0,,645.0,46,67.0
2018-10-15,7d2c632a05bbb03ca97555d61be83c41,3.0,,1240.0,238.0,860.0,,570.0,58,24.0
2018-10-16,7d2c632a05bbb03ca97555d61be83c41,,,1182.0,628.0,501.0,125.0,375.0,85,97.0
2018-10-17,7d2c632a05bbb03ca97555d61be83c41,5.0,1.0,1159.0,630.0,252.0,162.0,210.0,45,70.0
2018-10-18,7d2c632a05bbb03ca97555d61be83c41,,,1233.0,200.0,420.0,,210.0,49,47.0
2018-10-19,7d2c632a05bbb03ca97555d61be83c41,2.0,,1247.0,615.0,170.0,86.0,255.0,35,49.0
2018-10-20,7d2c632a05bbb03ca97555d61be83c41,2.0,,1247.0,1065.0,55.0,160.0,570.0,43,46.0
2018-10-21,7d2c632a05bbb03ca97555d61be83c41,,,1313.0,1436.0,,,510.0,31,21.0
2018-10-22,7d2c632a05bbb03ca97555d61be83c41,,1.0,1282.0,1077.0,252.0,,675.0,60,54.0
2018-10-23,7d2c632a05bbb03ca97555d61be83c41,,1.0,1193.0,949.0,175.0,,675.0,36,52.0
2018-10-24,7d2c632a05bbb03ca97555d61be83c41,1.0,,1225.0,649.0,172.0,,585.0,53,83.0
2018-10-25,7d2c632a05bbb03ca97555d61be83c41,1.0,,1245.0,376.0,260.0,,495.0,22,38.0
2018-10-26,7d2c632a05bbb03ca97555d61be83c41,1.0,,1107.0,970.0,71.0,,195.0,55,92.0
2018-10-27,7d2c632a05bbb03ca97555d61be83c41,,,1153.0,1060.0,,135.0,540.0,25,113.0
2018-10-28,7d2c632a05bbb03ca97555d61be83c41,,,1240.0,1362.0,70.0,,360.0,12,21.0
2018-10-29,7d2c632a05bbb03ca97555d61be83c41,2.0,,1184.0,939.0,176.0,96.0,450.0,44,90.0
2018-10-30,7d2c632a05bbb03ca97555d61be83c41,5.0,1.0,1190.0,655.0,555.0,130.0,315.0,32,81.0
2018-10-31,7d2c632a05bbb03ca97555d61be83c41,,,1237.0,688.0,447.0,180.0,255.0,37,87.0
2018-11-01,7d2c632a05bbb03ca97555d61be83c41,,,1210.0,698.0,451.0,,495.0,30,60.0
2018-11-02,7d2c632a05bbb03ca97555d61be83c41,1.0,,1117.0,773.0,278.0,,240.0,45,72.0
2018-11-03,7d2c632a05bbb03ca97555d61be83c41,1.0,,1243.0,1269.0,85.0,41.0,360.0,17,35.0
2018-11-04,7d2c632a05bbb03ca97555d61be83c41,1.0,1.0,1240.0,1252.0,145.0,,105.0,30,24.0
2018-11-05,7d2c632a05bbb03ca97555d61be83c41,1.0,,1180.0,735.0,338.0,82.0,135.0,30,82.0
2018-11-06,7d2c632a05bbb03ca97555d61be83c41,5.0,,1203.0,,243.0,145.0,555.0,58,63.0
2018-11-07,7d2c632a05bbb03ca97555d61be83c41,2.0,2.0,1129.0,653.0,344.0,,315.0,64,75.0
2018-11-08,7d2c632a05bbb03ca97555d61be83c41,1.0,2.0,1156.0,750.0,244.0,,120.0,71,66.0
2018-11-09,7d2c632a05bbb03ca97555d61be83c41,,,1240.0,875.0,235.0,165.0,225.0,22,39.0
2018-11-10,7d2c632a05bbb03ca97555d61be83c41,3.0,,1225.0,799.0,110.0,,150.0,46,60.0
2018-11-11,7d2c632a05bbb03ca97555d61be83c41,,,1177.0,888.0,,215.0,735.0,39,50.0
2018-11-12,7d2c632a05bbb03ca97555d61be83c41,3.0,,1267.0,853.0,209.0,,405.0,65,39.0
2018-11-13,7d2c632a05bbb03ca97555d61be83c41,2.0,,1199.0,1437.0,,,345.0,35,61.0
2018-11-14,7d2c632a05bbb03ca97555d61be83c41,,,1241.0,1432.0,,,420.0,26,42.0
2018-11-15,7d2c632a05bbb03ca97555d61be83c41,,,1355.0,,,,1050.0,8,7.0
2018-11-16,7d2c632a05bbb03ca97555d61be83c41,,,1375.0,1445.0,,,525.0,17,
2018-11-17,7d2c632a05bbb03ca97555d61be83c41,,,1320.0,1234.0,,31.0,810.0,27,62.0
2018-11-18,7d2c632a05bbb03ca97555d61be83c41,,,1321.0,953.0,96.0,,735.0,33,37.0
2018-11-19,7d2c632a05bbb03ca97555d61be83c41,,,1303.0,,333.0,,510.0,13,55.0
2018-11-20,7d2c632a05bbb03ca97555d61be83c41,,,1370.0,,,,510.0,9,5.0
2018-11-21,7d2c632a05bbb03ca97555d61be83c41,,,1256.0,,185.0,,285.0,39,62.0
2018-11-22,7d2c632a05bbb03ca97555d61be83c41,,125.0,1074.0,242.0,,,555.0,46,65.0
2018-11-23,7d2c632a05bbb03ca97555d61be83c41,,18.0,1051.0,941.0,,,90.0,69,83.0
2018-11-24,7d2c632a05bbb03ca97555d61be83c41,,4.0,1117.0,1334.0,,,645.0,68,31.0
2018-11-25,7d2c632a05bbb03ca97555d61be83c41,,,1288.0,1430.0,,,285.0,51,19.0
2018-11-26,7d2c632a05bbb03ca97555d61be83c41,3.0,12.0,1100.0,1255.0,,,555.0,47,65.0
2018-11-27,7d2c632a05bbb03ca97555d61be83c41,,,1415.0,,,,465.0,37,3.0
2018-11-28,7d2c632a05bbb03ca97555d61be83c41,,,1199.0,,,,330.0,29,11.0
2018-11-29,7d2c632a05bbb03ca97555d61be83c41,,,1213.0,1429.0,,,555.0,47,10.0
2018-11-30,7d2c632a05bbb03ca97555d61be83c41,,,1341.0,,,,450.0,95,4.0
2018-12-01,7d2c632a05bbb03ca97555d61be83c41,,37.0,1192.0,1265.0,,,435.0,59,16.0
2018-12-02,7d2c632a05bbb03ca97555d61be83c41,,12.0,1143.0,1375.0,,,540.0,112,45.0
2018-12-03,7d2c632a05bbb03ca97555d61be83c41,,,1181.0,1435.0,,,420.0,48,
2018-12-04,7d2c632a05bbb03ca97555d61be83c41,,,1293.0,1440.0,,,585.0,38,1.0
2018-12-05,7d2c632a05bbb03ca97555d61be83c41,,,1322.0,1430.0,,,405.0,27,5.0
2018-12-06,7d2c632a05bbb03ca97555d61be83c41,,,1237.0,1437.0,,,525.0,42,26.0
2018-12-07,7d2c632a05bbb03ca97555d61be83c41,1.0,71.0,1125.0,1254.0,,,390.0,64,33.0
2018-12-08,7d2c632a05bbb03ca97555d61be83c41,,,1242.0,1443.0,,,300.0,43,11.0
2018-12-09,7d2c632a05bbb03ca97555d61be83c41,,,1184.0,1435.0,,,675.0,26,2.0
2018-12-10,7d2c632a05bbb03ca97555d61be83c41,,,1307.0,1435.0,,,570.0,25,2.0
2018-12-11,7d2c632a05bbb03ca97555d61be83c41,,,1176.0,1437.0,,,360.0,33,4.0
2018-12-12,7d2c632a05bbb03ca97555d61be83c41,,,1310.0,1439.0,,,315.0,29,1.0
2018-12-13,7d2c632a05bbb03ca97555d61be83c41,,,1211.0,,,,225.0,23,1.0
2018-12-14,7d2c632a05bbb03ca97555d61be83c41,,,1283.0,1439.0,,,360.0,33,2.0
2018-12-15,7d2c632a05bbb03ca97555d61be83c41,,,901.0,1440.0,,,240.0,21,4.0
2018-12-16,7d2c632a05bbb03ca97555d61be83c41,,,1228.0,1425.0,,,660.0,23,
2018-12-17,7d2c632a05bbb03ca97555d61be83c41,,,1328.0,,,,360.0,35,
