date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2017-09-07,8391d8b451084771d0affcc26e34d773,,,1247.0,,,,885.0,,193.0
2017-09-08,8391d8b451084771d0affcc26e34d773,,1.0,918.0,,,,315.0,32,515.0
2017-09-09,8391d8b451084771d0affcc26e34d773,,,1105.0,,,,480.0,54,335.0
2017-09-10,8391d8b451084771d0affcc26e34d773,,35.0,932.0,,,,435.0,62,473.0
2017-09-11,8391d8b451084771d0affcc26e34d773,,,1250.0,758.0,270.0,,495.0,48,190.0
2017-09-12,8391d8b451084771d0affcc26e34d773,,4.0,1252.0,1001.0,120.0,,465.0,42,180.0
2017-09-13,8391d8b451084771d0affcc26e34d773,,4.0,1149.0,805.0,140.0,80.0,315.0,48,283.0
2017-09-14,8391d8b451084771d0affcc26e34d773,,,1131.0,853.0,100.0,,285.0,58,301.0
2017-09-15,8391d8b451084771d0affcc26e34d773,1.0,,1015.0,276.0,150.0,,375.0,42,424.0
2017-09-16,8391d8b451084771d0affcc26e34d773,2.0,1.0,1122.0,1033.0,30.0,160.0,435.0,59,305.0
2017-09-17,8391d8b451084771d0affcc26e34d773,,,1165.0,767.0,449.0,,465.0,58,274.0
2017-09-18,8391d8b451084771d0affcc26e34d773,1.0,,1194.0,870.0,231.0,,390.0,56,244.0
2017-09-19,8391d8b451084771d0affcc26e34d773,,3.0,1180.0,445.0,90.0,103.0,390.0,50,240.0
2017-09-20,8391d8b451084771d0affcc26e34d773,,34.0,1147.0,855.0,210.0,,180.0,63,258.0
2017-09-21,8391d8b451084771d0affcc26e34d773,,,1184.0,905.0,,,630.0,41,252.0
2017-09-22,8391d8b451084771d0affcc26e34d773,,,1177.0,1036.0,,,195.0,41,238.0
2017-09-23,8391d8b451084771d0affcc26e34d773,,,1257.0,370.0,,110.0,735.0,33,182.0
2017-09-24,8391d8b451084771d0affcc26e34d773,,11.0,1127.0,1070.0,,,480.0,48,295.0
2017-09-25,8391d8b451084771d0affcc26e34d773,,2.0,1189.0,798.0,130.0,32.0,375.0,51,244.0
2017-09-26,8391d8b451084771d0affcc26e34d773,,10.0,1216.0,949.0,302.0,,450.0,68,214.0
2017-09-27,8391d8b451084771d0affcc26e34d773,,65.0,1115.0,665.0,220.0,,255.0,52,259.0
2017-09-28,8391d8b451084771d0affcc26e34d773,,,1275.0,938.0,199.0,104.0,555.0,25,164.0
2017-09-29,8391d8b451084771d0affcc26e34d773,,1.0,1225.0,915.0,180.0,,285.0,34,196.0
2017-09-30,8391d8b451084771d0affcc26e34d773,,,1373.0,1212.0,,,705.0,22,60.0
2017-10-01,8391d8b451084771d0affcc26e34d773,,52.0,1068.0,1097.0,60.0,,510.0,73,298.0
2017-10-02,8391d8b451084771d0affcc26e34d773,4.0,22.0,1298.0,928.0,220.0,,465.0,22,117.0
2017-10-03,8391d8b451084771d0affcc26e34d773,7.0,,1183.0,970.0,60.0,112.0,300.0,52,249.0
2017-10-04,8391d8b451084771d0affcc26e34d773,11.0,,1140.0,882.0,130.0,,435.0,46,266.0
2017-10-05,8391d8b451084771d0affcc26e34d773,38.0,,1124.0,1013.0,160.0,95.0,480.0,47,277.0
2017-10-06,8391d8b451084771d0affcc26e34d773,4.0,,930.0,660.0,271.0,,345.0,50,462.0
2017-10-07,8391d8b451084771d0affcc26e34d773,,20.0,1067.0,954.0,,44.0,450.0,46,352.0
2017-10-08,8391d8b451084771d0affcc26e34d773,21.0,,1210.0,1117.0,,,315.0,35,208.0
2017-10-09,8391d8b451084771d0affcc26e34d773,,6.0,1195.0,882.0,250.0,,255.0,50,238.0
2017-10-10,8391d8b451084771d0affcc26e34d773,7.0,1.0,1120.0,856.0,80.0,90.0,315.0,41,304.0
2017-10-11,8391d8b451084771d0affcc26e34d773,,,1135.0,1077.0,170.0,,150.0,57,290.0
2017-10-12,8391d8b451084771d0affcc26e34d773,22.0,,1269.0,1110.0,70.0,110.0,450.0,29,148.0
2017-10-13,8391d8b451084771d0affcc26e34d773,,,1045.0,1010.0,163.0,,300.0,37,392.0
2017-10-14,8391d8b451084771d0affcc26e34d773,,,1047.0,970.0,,130.0,495.0,30,389.0
2017-10-15,8391d8b451084771d0affcc26e34d773,32.0,5.0,1163.0,1034.0,160.0,,495.0,21,228.0
2017-10-16,8391d8b451084771d0affcc26e34d773,19.0,5.0,1195.0,941.0,210.0,,315.0,43,218.0
2017-10-17,8391d8b451084771d0affcc26e34d773,,,1126.0,882.0,150.0,100.0,270.0,52,312.0
2017-10-18,8391d8b451084771d0affcc26e34d773,,1.0,1231.0,1050.0,306.0,,285.0,27,208.0
2017-10-19,8391d8b451084771d0affcc26e34d773,22.0,,1251.0,1047.0,113.0,90.0,555.0,19,165.0
2017-10-20,8391d8b451084771d0affcc26e34d773,32.0,,1096.0,880.0,230.0,,300.0,55,309.0
2017-10-21,8391d8b451084771d0affcc26e34d773,,283.0,928.0,360.0,,,150.0,24,228.0
2017-10-22,8391d8b451084771d0affcc26e34d773,,,1310.0,200.0,,,660.0,31,130.0
2017-10-23,8391d8b451084771d0affcc26e34d773,,,1194.0,920.0,220.0,,285.0,35,246.0
2017-10-24,8391d8b451084771d0affcc26e34d773,30.0,,1151.0,963.0,,110.0,360.0,46,259.0
2017-10-25,8391d8b451084771d0affcc26e34d773,38.0,,1112.0,882.0,270.0,,285.0,46,288.0
2017-10-26,8391d8b451084771d0affcc26e34d773,,,1201.0,1227.0,100.0,,540.0,45,239.0
2017-10-27,8391d8b451084771d0affcc26e34d773,,,957.0,710.0,240.0,,390.0,30,475.0
2017-10-28,8391d8b451084771d0affcc26e34d773,2.0,,1160.0,1116.0,,130.0,645.0,26,278.0
2017-10-29,8391d8b451084771d0affcc26e34d773,,,1087.0,1241.0,,,540.0,38,348.0
2017-10-30,8391d8b451084771d0affcc26e34d773,,,1099.0,396.0,320.0,,360.0,33,338.0
2017-10-31,8391d8b451084771d0affcc26e34d773,29.0,6.0,1122.0,783.0,215.0,100.0,195.0,37,278.0
2017-11-01,8391d8b451084771d0affcc26e34d773,,,1070.0,809.0,320.0,,300.0,38,366.0
2017-11-02,8391d8b451084771d0affcc26e34d773,15.0,,1118.0,1153.0,110.0,,315.0,39,307.0
2017-11-03,8391d8b451084771d0affcc26e34d773,,,1138.0,354.0,110.0,,345.0,43,302.0
2017-11-04,8391d8b451084771d0affcc26e34d773,15.0,,967.0,910.0,,140.0,375.0,34,457.0
2017-11-05,8391d8b451084771d0affcc26e34d773,,,1252.0,941.0,220.0,,465.0,41,187.0
2017-11-06,8391d8b451084771d0affcc26e34d773,14.0,,1154.0,852.0,361.0,,345.0,35,269.0
2017-11-07,8391d8b451084771d0affcc26e34d773,16.0,,1097.0,967.0,50.0,99.0,315.0,57,314.0
2017-11-08,8391d8b451084771d0affcc26e34d773,,,1178.0,330.0,210.0,,285.0,46,262.0
2017-11-09,8391d8b451084771d0affcc26e34d773,,,1076.0,987.0,180.0,,300.0,64,362.0
2017-11-10,8391d8b451084771d0affcc26e34d773,,,1151.0,340.0,160.0,91.0,330.0,41,289.0
2017-11-11,8391d8b451084771d0affcc26e34d773,,,1219.0,1222.0,,114.0,495.0,47,216.0
2017-11-12,8391d8b451084771d0affcc26e34d773,,4.0,1201.0,1092.0,,140.0,300.0,42,228.0
2017-11-13,8391d8b451084771d0affcc26e34d773,,,1134.0,606.0,240.0,,120.0,28,295.0
2017-11-14,8391d8b451084771d0affcc26e34d773,,,1260.0,1325.0,80.0,,660.0,40,180.0
2017-11-15,8391d8b451084771d0affcc26e34d773,,,1085.0,1250.0,,,420.0,52,354.0
2017-11-16,8391d8b451084771d0affcc26e34d773,,,1123.0,1043.0,203.0,,360.0,62,311.0
2017-11-17,8391d8b451084771d0affcc26e34d773,5.0,2.0,1163.0,1010.0,,,315.0,44,250.0
2017-11-18,8391d8b451084771d0affcc26e34d773,,,1209.0,1237.0,,,375.0,48,231.0
2017-11-19,8391d8b451084771d0affcc26e34d773,,,1096.0,1171.0,,,585.0,45,343.0
2017-11-20,8391d8b451084771d0affcc26e34d773,,,1196.0,710.0,110.0,,375.0,36,243.0
2017-11-21,8391d8b451084771d0affcc26e34d773,,6.0,1082.0,,,,420.0,41,350.0
2017-11-22,8391d8b451084771d0affcc26e34d773,21.0,101.0,943.0,180.0,70.0,,210.0,70,375.0
2017-11-23,8391d8b451084771d0affcc26e34d773,,163.0,1030.0,194.0,,,525.0,32,235.0
2017-11-24,8391d8b451084771d0affcc26e34d773,56.0,22.0,1133.0,990.0,,,630.0,39,218.0
2017-11-25,8391d8b451084771d0affcc26e34d773,,40.0,1241.0,1370.0,,,615.0,20,159.0
2017-11-26,8391d8b451084771d0affcc26e34d773,,33.0,1139.0,1309.0,,,465.0,40,267.0
2017-11-27,8391d8b451084771d0affcc26e34d773,,43.0,1136.0,446.0,,,540.0,37,261.0
