date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2017-11-09,862f10a8c357e957a59d122077b3a5ad,1.0,2.0,1274.0,215.0,,,1320.0,42,66.0
2017-11-10,862f10a8c357e957a59d122077b3a5ad,,44.0,981.0,245.0,,,75.0,98,121.0
2017-11-11,862f10a8c357e957a59d122077b3a5ad,,60.0,1007.0,,,,180.0,80,103.0
2017-11-12,862f10a8c357e957a59d122077b3a5ad,1.0,71.0,1015.0,390.0,123.0,,75.0,117,79.0
2017-11-13,862f10a8c357e957a59d122077b3a5ad,1.0,60.0,1005.0,965.0,215.0,,60.0,171,124.0
2017-11-14,862f10a8c357e957a59d122077b3a5ad,,52.0,1109.0,1037.0,163.0,,120.0,95,101.0
2017-11-15,862f10a8c357e957a59d122077b3a5ad,1.0,62.0,972.0,1293.0,,,120.0,87,90.0
2017-11-16,862f10a8c357e957a59d122077b3a5ad,,76.0,1009.0,1115.0,123.0,,60.0,80,88.0
2017-11-17,862f10a8c357e957a59d122077b3a5ad,1.0,63.0,927.0,450.0,,,75.0,109,164.0
2017-11-18,862f10a8c357e957a59d122077b3a5ad,,205.0,873.0,729.0,41.0,,345.0,130,61.0
2017-11-19,862f10a8c357e957a59d122077b3a5ad,,,1370.0,,,,750.0,72,7.0
2017-11-20,862f10a8c357e957a59d122077b3a5ad,,124.0,1146.0,,,,705.0,82,52.0
2017-11-21,862f10a8c357e957a59d122077b3a5ad,2.0,78.0,1212.0,,,,720.0,101,15.0
2017-11-22,862f10a8c357e957a59d122077b3a5ad,,70.0,1235.0,,,,750.0,136,28.0
2017-11-23,862f10a8c357e957a59d122077b3a5ad,,29.0,1242.0,,,,525.0,63,8.0
2017-11-24,862f10a8c357e957a59d122077b3a5ad,,99.0,1100.0,,,,765.0,65,51.0
2017-11-25,862f10a8c357e957a59d122077b3a5ad,1.0,64.0,1238.0,,,,630.0,37,37.0
2017-11-26,862f10a8c357e957a59d122077b3a5ad,,25.0,1240.0,,,,690.0,58,12.0
2017-11-27,862f10a8c357e957a59d122077b3a5ad,,1.0,1219.0,,,,600.0,74,6.0
2017-11-28,862f10a8c357e957a59d122077b3a5ad,,28.0,1131.0,,,,675.0,57,21.0
2017-11-29,862f10a8c357e957a59d122077b3a5ad,1.0,89.0,1140.0,,,,735.0,52,34.0
2017-11-30,862f10a8c357e957a59d122077b3a5ad,1.0,110.0,1096.0,,,,645.0,62,49.0
2017-12-01,862f10a8c357e957a59d122077b3a5ad,1.0,4.0,1183.0,,,,570.0,73,12.0
2017-12-02,862f10a8c357e957a59d122077b3a5ad,,1.0,1263.0,,,,555.0,46,4.0
2017-12-03,862f10a8c357e957a59d122077b3a5ad,,,1261.0,,,,600.0,68,5.0
2017-12-04,862f10a8c357e957a59d122077b3a5ad,2.0,,1240.0,,,,645.0,79,7.0
2017-12-05,862f10a8c357e957a59d122077b3a5ad,1.0,80.0,1148.0,,,,630.0,74,21.0
2017-12-06,862f10a8c357e957a59d122077b3a5ad,,1.0,1302.0,,,,525.0,65,7.0
2017-12-07,862f10a8c357e957a59d122077b3a5ad,1.0,134.0,1019.0,,,,630.0,119,68.0
2017-12-08,862f10a8c357e957a59d122077b3a5ad,,81.0,1260.0,,,,615.0,53,19.0
2017-12-09,862f10a8c357e957a59d122077b3a5ad,1.0,30.0,1277.0,,,,525.0,55,15.0
2017-12-10,862f10a8c357e957a59d122077b3a5ad,2.0,183.0,1066.0,,,,570.0,57,66.0
2017-12-11,862f10a8c357e957a59d122077b3a5ad,,1.0,1346.0,,,,600.0,54,4.0
2017-12-12,862f10a8c357e957a59d122077b3a5ad,,,1243.0,,,,540.0,64,15.0
2017-12-13,862f10a8c357e957a59d122077b3a5ad,,28.0,1235.0,,,,570.0,99,11.0
2017-12-14,862f10a8c357e957a59d122077b3a5ad,1.0,90.0,1162.0,,,,570.0,112,24.0
2017-12-15,862f10a8c357e957a59d122077b3a5ad,,32.0,1256.0,,,,600.0,48,19.0
2017-12-16,862f10a8c357e957a59d122077b3a5ad,,77.0,1243.0,,,,630.0,90,26.0
2017-12-17,862f10a8c357e957a59d122077b3a5ad,,2.0,1347.0,,,,615.0,65,4.0
2017-12-18,862f10a8c357e957a59d122077b3a5ad,,36.0,1229.0,,,,570.0,88,25.0
2017-12-19,862f10a8c357e957a59d122077b3a5ad,1.0,22.0,1293.0,,,,540.0,69,14.0
2017-12-20,862f10a8c357e957a59d122077b3a5ad,,106.0,1200.0,,,,480.0,71,35.0
2017-12-21,862f10a8c357e957a59d122077b3a5ad,1.0,4.0,1296.0,,,,570.0,60,12.0
2017-12-22,862f10a8c357e957a59d122077b3a5ad,,49.0,1299.0,,,,630.0,73,19.0
2017-12-23,862f10a8c357e957a59d122077b3a5ad,2.0,2.0,1330.0,,,,570.0,52,6.0
2017-12-24,862f10a8c357e957a59d122077b3a5ad,1.0,2.0,1285.0,,,,540.0,55,12.0
2017-12-25,862f10a8c357e957a59d122077b3a5ad,,1.0,1373.0,,,,600.0,72,12.0
2017-12-26,862f10a8c357e957a59d122077b3a5ad,,,1342.0,,,,600.0,79,1.0
2017-12-27,862f10a8c357e957a59d122077b3a5ad,1.0,75.0,1213.0,,,,585.0,53,18.0
2017-12-28,862f10a8c357e957a59d122077b3a5ad,,32.0,1297.0,,,,540.0,61,6.0
2017-12-29,862f10a8c357e957a59d122077b3a5ad,1.0,45.0,1324.0,,,,480.0,52,13.0
2017-12-30,862f10a8c357e957a59d122077b3a5ad,1.0,1.0,1316.0,,,,630.0,52,25.0
2017-12-31,862f10a8c357e957a59d122077b3a5ad,1.0,104.0,1119.0,,,,540.0,74,61.0
2018-01-01,862f10a8c357e957a59d122077b3a5ad,1.0,2.0,1219.0,,,,450.0,75,20.0
2018-01-02,862f10a8c357e957a59d122077b3a5ad,2.0,232.0,984.0,,,,570.0,132,79.0
2018-01-03,862f10a8c357e957a59d122077b3a5ad,6.0,4.0,1097.0,1045.0,123.0,51.0,390.0,128,148.0
2018-01-04,862f10a8c357e957a59d122077b3a5ad,1.0,13.0,1141.0,1059.0,184.0,,285.0,83,135.0
2018-01-05,862f10a8c357e957a59d122077b3a5ad,4.0,6.0,1106.0,1119.0,154.0,,375.0,92,120.0
2018-01-06,862f10a8c357e957a59d122077b3a5ad,,3.0,1180.0,1375.0,,,510.0,84,27.0
2018-01-07,862f10a8c357e957a59d122077b3a5ad,1.0,6.0,964.0,1120.0,112.0,,240.0,115,115.0
2018-01-08,862f10a8c357e957a59d122077b3a5ad,2.0,6.0,934.0,512.0,224.0,,435.0,125,203.0
2018-01-09,862f10a8c357e957a59d122077b3a5ad,3.0,68.0,1043.0,922.0,261.0,,90.0,72,126.0
2018-01-10,862f10a8c357e957a59d122077b3a5ad,,67.0,973.0,430.0,296.0,,,136,165.0
2018-01-11,862f10a8c357e957a59d122077b3a5ad,2.0,51.0,969.0,768.0,326.0,,90.0,101,124.0
2018-01-12,862f10a8c357e957a59d122077b3a5ad,1.0,47.0,954.0,974.0,164.0,,135.0,103,151.0
2018-01-13,862f10a8c357e957a59d122077b3a5ad,,18.0,1130.0,606.0,,,360.0,70,55.0
2018-01-14,862f10a8c357e957a59d122077b3a5ad,3.0,2.0,1071.0,1293.0,,,330.0,98,102.0
2018-01-15,862f10a8c357e957a59d122077b3a5ad,2.0,2.0,1090.0,1251.0,,,390.0,95,110.0
2018-01-16,862f10a8c357e957a59d122077b3a5ad,1.0,9.0,1048.0,986.0,256.0,,345.0,82,114.0
2018-01-17,862f10a8c357e957a59d122077b3a5ad,,2.0,1055.0,964.0,194.0,,465.0,94,169.0
2018-01-18,862f10a8c357e957a59d122077b3a5ad,,6.0,1057.0,433.0,337.0,,360.0,79,152.0
2018-01-19,862f10a8c357e957a59d122077b3a5ad,1.0,45.0,977.0,1099.0,174.0,,165.0,118,136.0
2018-01-20,862f10a8c357e957a59d122077b3a5ad,,74.0,1151.0,307.0,,,75.0,87,73.0
2018-01-21,862f10a8c357e957a59d122077b3a5ad,,84.0,1035.0,1075.0,,,135.0,120,87.0
2018-01-22,862f10a8c357e957a59d122077b3a5ad,,57.0,950.0,800.0,174.0,,60.0,71,131.0
2018-01-23,862f10a8c357e957a59d122077b3a5ad,,3.0,1059.0,420.0,339.0,,360.0,113,131.0
2018-01-24,862f10a8c357e957a59d122077b3a5ad,,1.0,1085.0,851.0,407.0,,375.0,106,129.0
2018-01-25,862f10a8c357e957a59d122077b3a5ad,2.0,3.0,970.0,913.0,266.0,51.0,405.0,105,163.0
2018-01-26,862f10a8c357e957a59d122077b3a5ad,1.0,6.0,749.0,,296.0,,390.0,101,191.0
2018-01-27,862f10a8c357e957a59d122077b3a5ad,1.0,2.0,1088.0,,532.0,,360.0,88,68.0
2018-01-28,862f10a8c357e957a59d122077b3a5ad,1.0,5.0,1102.0,,,,390.0,138,87.0
2018-01-29,862f10a8c357e957a59d122077b3a5ad,1.0,3.0,1002.0,,,,405.0,129,147.0
2018-01-30,862f10a8c357e957a59d122077b3a5ad,4.0,7.0,1047.0,,,,585.0,104,151.0
2018-01-31,862f10a8c357e957a59d122077b3a5ad,,3.0,882.0,,41.0,,585.0,133,132.0
2018-02-01,862f10a8c357e957a59d122077b3a5ad,1.0,1.0,902.0,,470.0,,345.0,129,132.0
2018-02-02,862f10a8c357e957a59d122077b3a5ad,3.0,22.0,1005.0,,256.0,61.0,405.0,124,174.0
2018-02-03,862f10a8c357e957a59d122077b3a5ad,,4.0,1221.0,,246.0,,330.0,114,73.0
2018-02-04,862f10a8c357e957a59d122077b3a5ad,1.0,2.0,1144.0,,235.0,,375.0,81,86.0
2018-02-05,862f10a8c357e957a59d122077b3a5ad,6.0,7.0,762.0,,41.0,92.0,390.0,120,179.0
2018-02-06,862f10a8c357e957a59d122077b3a5ad,,1.0,820.0,,297.0,,375.0,112,142.0
2018-02-07,862f10a8c357e957a59d122077b3a5ad,,2.0,870.0,,184.0,,405.0,125,121.0
2018-02-08,862f10a8c357e957a59d122077b3a5ad,1.0,1.0,886.0,,316.0,,360.0,86,90.0
2018-02-09,862f10a8c357e957a59d122077b3a5ad,4.0,5.0,1066.0,,,82.0,480.0,109,115.0
2018-02-10,862f10a8c357e957a59d122077b3a5ad,3.0,21.0,971.0,,72.0,,450.0,103,138.0
2018-02-11,862f10a8c357e957a59d122077b3a5ad,1.0,10.0,1043.0,,,91.0,480.0,127,110.0
2018-02-12,862f10a8c357e957a59d122077b3a5ad,,2.0,1038.0,,706.0,,375.0,123,101.0
2018-02-13,862f10a8c357e957a59d122077b3a5ad,1.0,5.0,987.0,,461.0,,465.0,98,128.0
2018-02-14,862f10a8c357e957a59d122077b3a5ad,4.0,7.0,1066.0,,400.0,92.0,420.0,109,160.0
2018-02-15,862f10a8c357e957a59d122077b3a5ad,1.0,1.0,1078.0,,337.0,,495.0,115,73.0
2018-02-16,862f10a8c357e957a59d122077b3a5ad,6.0,6.0,985.0,,503.0,41.0,420.0,118,214.0
2018-02-17,862f10a8c357e957a59d122077b3a5ad,1.0,37.0,971.0,,,,420.0,142,158.0
2018-02-18,862f10a8c357e957a59d122077b3a5ad,,6.0,1026.0,,,,480.0,107,75.0
2018-02-19,862f10a8c357e957a59d122077b3a5ad,,3.0,1115.0,564.0,266.0,,525.0,116,128.0
2018-02-20,862f10a8c357e957a59d122077b3a5ad,1.0,2.0,1114.0,964.0,362.0,,465.0,118,75.0
2018-02-21,862f10a8c357e957a59d122077b3a5ad,,1.0,1058.0,964.0,287.0,,450.0,109,114.0
2018-02-22,862f10a8c357e957a59d122077b3a5ad,3.0,2.0,1071.0,348.0,276.0,113.0,390.0,108,140.0
2018-02-23,862f10a8c357e957a59d122077b3a5ad,,7.0,1101.0,1263.0,61.0,,390.0,131,94.0
2018-02-24,862f10a8c357e957a59d122077b3a5ad,,5.0,1016.0,1314.0,,,435.0,109,98.0
2018-02-25,862f10a8c357e957a59d122077b3a5ad,1.0,34.0,1088.0,1098.0,,,420.0,114,84.0
2018-02-26,862f10a8c357e957a59d122077b3a5ad,2.0,9.0,1035.0,1118.0,,61.0,345.0,123,123.0
2018-02-27,862f10a8c357e957a59d122077b3a5ad,,1.0,1039.0,1139.0,164.0,,390.0,92,81.0
2018-02-28,862f10a8c357e957a59d122077b3a5ad,4.0,1.0,1117.0,841.0,296.0,61.0,450.0,175,133.0
2018-03-01,862f10a8c357e957a59d122077b3a5ad,1.0,2.0,1117.0,1129.0,174.0,,360.0,112,74.0
2018-03-02,862f10a8c357e957a59d122077b3a5ad,2.0,7.0,1091.0,1066.0,51.0,82.0,435.0,181,133.0
2018-03-03,862f10a8c357e957a59d122077b3a5ad,1.0,1.0,1223.0,596.0,72.0,,480.0,114,71.0
2018-03-04,862f10a8c357e957a59d122077b3a5ad,,2.0,1276.0,1307.0,,,150.0,114,44.0
2018-03-05,862f10a8c357e957a59d122077b3a5ad,1.0,3.0,1105.0,1056.0,133.0,72.0,405.0,134,151.0
2018-03-06,862f10a8c357e957a59d122077b3a5ad,,4.0,1066.0,1014.0,115.0,,308.0,125,129.0
2018-03-07,862f10a8c357e957a59d122077b3a5ad,2.0,3.0,1126.0,626.0,,,390.0,78,81.0
2018-03-08,862f10a8c357e957a59d122077b3a5ad,2.0,3.0,1114.0,,,,555.0,73,86.0
2018-03-09,862f10a8c357e957a59d122077b3a5ad,,5.0,1133.0,,,,375.0,144,70.0
2018-03-10,862f10a8c357e957a59d122077b3a5ad,1.0,204.0,932.0,1436.0,,,330.0,116,99.0
