date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2017-10-09,87d88cba80cd67d705f61405fbe40da9,,,1426.0,,,,1425.0,,14.0
2017-10-10,87d88cba80cd67d705f61405fbe40da9,,5.0,1333.0,220.0,,,555.0,14,102.0
2017-10-11,87d88cba80cd67d705f61405fbe40da9,,,1330.0,1030.0,320.0,,660.0,36,110.0
2017-10-12,87d88cba80cd67d705f61405fbe40da9,,,1345.0,880.0,260.0,150.0,570.0,45,95.0
2017-10-13,87d88cba80cd67d705f61405fbe40da9,,,1050.0,570.0,274.0,182.0,375.0,19,390.0
2017-10-14,87d88cba80cd67d705f61405fbe40da9,,,1161.0,673.0,80.0,140.0,390.0,37,278.0
2017-10-15,87d88cba80cd67d705f61405fbe40da9,,,1196.0,710.0,230.0,100.0,570.0,36,173.0
2017-10-16,87d88cba80cd67d705f61405fbe40da9,,,1314.0,610.0,598.0,130.0,405.0,35,126.0
2017-10-17,87d88cba80cd67d705f61405fbe40da9,,,1342.0,910.0,200.0,180.0,495.0,30,98.0
2017-10-18,87d88cba80cd67d705f61405fbe40da9,1.0,,1292.0,830.0,336.0,,450.0,55,124.0
2017-10-19,87d88cba80cd67d705f61405fbe40da9,,,1332.0,90.0,360.0,160.0,585.0,24,107.0
2017-10-20,87d88cba80cd67d705f61405fbe40da9,54.0,332.0,934.0,55.0,,,480.0,67,120.0
2017-10-21,87d88cba80cd67d705f61405fbe40da9,,,1213.0,530.0,330.0,201.0,435.0,43,227.0
2017-10-22,87d88cba80cd67d705f61405fbe40da9,,,1371.0,860.0,230.0,150.0,435.0,35,69.0
2017-10-23,87d88cba80cd67d705f61405fbe40da9,,,1305.0,690.0,465.0,160.0,495.0,45,135.0
2017-10-24,87d88cba80cd67d705f61405fbe40da9,,,1304.0,105.0,379.0,217.0,510.0,30,136.0
2017-10-25,87d88cba80cd67d705f61405fbe40da9,,,1321.0,100.0,444.0,130.0,585.0,32,119.0
2017-10-26,87d88cba80cd67d705f61405fbe40da9,,,1343.0,840.0,341.0,120.0,480.0,32,97.0
2017-10-27,87d88cba80cd67d705f61405fbe40da9,,,1236.0,690.0,213.0,210.0,540.0,35,204.0
2017-10-28,87d88cba80cd67d705f61405fbe40da9,,,1122.0,730.0,210.0,120.0,330.0,50,312.0
2017-10-29,87d88cba80cd67d705f61405fbe40da9,,,1314.0,900.0,140.0,116.0,345.0,46,126.0
2017-10-30,87d88cba80cd67d705f61405fbe40da9,,,1325.0,220.0,510.0,,435.0,28,115.0
2017-10-31,87d88cba80cd67d705f61405fbe40da9,,,1336.0,790.0,210.0,40.0,525.0,38,104.0
2017-11-01,87d88cba80cd67d705f61405fbe40da9,,,1345.0,620.0,650.0,,510.0,41,95.0
2017-11-02,87d88cba80cd67d705f61405fbe40da9,,,1306.0,660.0,530.0,50.0,555.0,30,133.0
2017-11-03,87d88cba80cd67d705f61405fbe40da9,,,1189.0,690.0,421.0,,180.0,48,246.0
2017-11-04,87d88cba80cd67d705f61405fbe40da9,,,1315.0,880.0,,,525.0,43,125.0
2017-11-05,87d88cba80cd67d705f61405fbe40da9,,,1351.0,820.0,490.0,,435.0,42,89.0
2017-11-06,87d88cba80cd67d705f61405fbe40da9,,,1345.0,810.0,474.0,40.0,465.0,45,95.0
2017-11-07,87d88cba80cd67d705f61405fbe40da9,,,1314.0,770.0,197.0,,465.0,36,126.0
2017-11-08,87d88cba80cd67d705f61405fbe40da9,,,1318.0,600.0,409.0,,555.0,35,122.0
2017-11-09,87d88cba80cd67d705f61405fbe40da9,,,1268.0,740.0,300.0,,495.0,45,172.0
2017-11-10,87d88cba80cd67d705f61405fbe40da9,,,1345.0,870.0,276.0,100.0,315.0,39,93.0
2017-11-11,87d88cba80cd67d705f61405fbe40da9,,,1202.0,750.0,300.0,,705.0,51,236.0
2017-11-12,87d88cba80cd67d705f61405fbe40da9,,,1264.0,619.0,440.0,110.0,390.0,33,173.0
2017-11-13,87d88cba80cd67d705f61405fbe40da9,,,1301.0,590.0,560.0,150.0,465.0,35,139.0
2017-11-14,87d88cba80cd67d705f61405fbe40da9,,,1150.0,550.0,140.0,165.0,435.0,50,281.0
2017-11-15,87d88cba80cd67d705f61405fbe40da9,,,1343.0,360.0,630.0,100.0,420.0,54,97.0
2017-11-16,87d88cba80cd67d705f61405fbe40da9,,,1320.0,630.0,640.0,,465.0,60,120.0
2017-11-17,87d88cba80cd67d705f61405fbe40da9,,,1286.0,361.0,,140.0,405.0,35,154.0
2017-11-18,87d88cba80cd67d705f61405fbe40da9,,,1263.0,665.0,100.0,112.0,405.0,62,176.0
2017-11-19,87d88cba80cd67d705f61405fbe40da9,,,1326.0,320.0,460.0,120.0,555.0,41,114.0
2017-11-20,87d88cba80cd67d705f61405fbe40da9,,,1259.0,460.0,320.0,120.0,480.0,62,181.0
2017-11-21,87d88cba80cd67d705f61405fbe40da9,,10.0,1107.0,,117.0,150.0,390.0,31,321.0
2017-11-22,87d88cba80cd67d705f61405fbe40da9,2.0,427.0,833.0,174.0,,130.0,165.0,64,178.0
2017-11-23,87d88cba80cd67d705f61405fbe40da9,,186.0,1191.0,218.0,,,405.0,14,63.0
2017-11-24,87d88cba80cd67d705f61405fbe40da9,,87.0,1225.0,1187.0,,,540.0,37,128.0
2017-11-25,87d88cba80cd67d705f61405fbe40da9,1.0,260.0,1060.0,167.0,,,450.0,25,120.0
2017-11-26,87d88cba80cd67d705f61405fbe40da9,,375.0,1014.0,100.0,,,495.0,24,51.0
2017-11-27,87d88cba80cd67d705f61405fbe40da9,,,1309.0,,60.0,204.0,570.0,40,130.0
2017-11-28,87d88cba80cd67d705f61405fbe40da9,,,1315.0,,,333.0,510.0,26,125.0
2017-11-29,87d88cba80cd67d705f61405fbe40da9,,5.0,1232.0,,,289.0,480.0,39,203.0
2017-11-30,87d88cba80cd67d705f61405fbe40da9,,,1281.0,,,300.0,495.0,51,159.0
2017-12-01,87d88cba80cd67d705f61405fbe40da9,,,1318.0,,,367.0,510.0,34,122.0
2017-12-02,87d88cba80cd67d705f61405fbe40da9,,,1289.0,,,250.0,540.0,43,150.0
2017-12-03,87d88cba80cd67d705f61405fbe40da9,,33.0,1220.0,,,62.0,570.0,44,187.0
2017-12-04,87d88cba80cd67d705f61405fbe40da9,,,1341.0,,,310.0,735.0,28,99.0
2017-12-05,87d88cba80cd67d705f61405fbe40da9,,,1294.0,,,414.0,570.0,35,146.0
2017-12-06,87d88cba80cd67d705f61405fbe40da9,,,1196.0,,,213.0,510.0,52,241.0
2017-12-07,87d88cba80cd67d705f61405fbe40da9,,,1305.0,,,332.0,465.0,29,133.0
2017-12-08,87d88cba80cd67d705f61405fbe40da9,,,1296.0,,,297.0,570.0,28,143.0
2017-12-09,87d88cba80cd67d705f61405fbe40da9,,,1182.0,,,350.0,600.0,35,243.0
2017-12-10,87d88cba80cd67d705f61405fbe40da9,,336.0,1021.0,490.0,,,330.0,45,81.0
2017-12-11,87d88cba80cd67d705f61405fbe40da9,,48.0,1334.0,1320.0,,,510.0,37,58.0
2017-12-12,87d88cba80cd67d705f61405fbe40da9,,68.0,1323.0,1200.0,,,540.0,25,49.0
2017-12-13,87d88cba80cd67d705f61405fbe40da9,,89.0,1286.0,1165.0,,,600.0,26,65.0
2017-12-14,87d88cba80cd67d705f61405fbe40da9,22.0,121.0,1251.0,1220.0,,,480.0,24,47.0
2017-12-15,87d88cba80cd67d705f61405fbe40da9,,148.0,1222.0,1036.0,,,570.0,23,70.0
2017-12-16,87d88cba80cd67d705f61405fbe40da9,1.0,118.0,1220.0,909.0,,,540.0,24,101.0
2017-12-17,87d88cba80cd67d705f61405fbe40da9,,232.0,1170.0,219.0,,,405.0,18,37.0
2017-12-18,87d88cba80cd67d705f61405fbe40da9,,105.0,1292.0,532.0,,,675.0,17,42.0
2017-12-19,87d88cba80cd67d705f61405fbe40da9,17.0,133.0,1133.0,940.0,,,585.0,22,130.0
2017-12-20,87d88cba80cd67d705f61405fbe40da9,,130.0,1067.0,850.0,,,525.0,44,243.0
2017-12-21,87d88cba80cd67d705f61405fbe40da9,,130.0,1217.0,1044.0,,,570.0,26,93.0
2017-12-22,87d88cba80cd67d705f61405fbe40da9,,162.0,1166.0,766.0,,,525.0,40,111.0
2017-12-23,87d88cba80cd67d705f61405fbe40da9,,70.0,1279.0,1190.0,,,540.0,33,90.0
2017-12-24,87d88cba80cd67d705f61405fbe40da9,,75.0,1312.0,900.0,,,255.0,36,52.0
2017-12-25,87d88cba80cd67d705f61405fbe40da9,,111.0,1224.0,1076.0,,,525.0,28,105.0
2017-12-26,87d88cba80cd67d705f61405fbe40da9,,35.0,1307.0,1290.0,,,555.0,32,97.0
2017-12-27,87d88cba80cd67d705f61405fbe40da9,,67.0,1243.0,972.0,,,540.0,50,130.0
2017-12-28,87d88cba80cd67d705f61405fbe40da9,10.0,192.0,1112.0,291.0,,,615.0,27,125.0
2017-12-29,87d88cba80cd67d705f61405fbe40da9,,158.0,1132.0,927.0,,,495.0,38,146.0
2017-12-30,87d88cba80cd67d705f61405fbe40da9,,77.0,1191.0,1266.0,,,555.0,47,171.0
2017-12-31,87d88cba80cd67d705f61405fbe40da9,3.0,95.0,1264.0,840.0,,,525.0,35,78.0
2018-01-01,87d88cba80cd67d705f61405fbe40da9,,378.0,1000.0,850.0,,,495.0,51,61.0
2018-01-02,87d88cba80cd67d705f61405fbe40da9,49.0,8.0,1283.0,,,210.0,570.0,17,100.0
2018-01-03,87d88cba80cd67d705f61405fbe40da9,,,1340.0,690.0,399.0,128.0,540.0,28,100.0
2018-01-04,87d88cba80cd67d705f61405fbe40da9,,,1325.0,840.0,200.0,170.0,570.0,55,115.0
2018-01-05,87d88cba80cd67d705f61405fbe40da9,,,1211.0,660.0,403.0,267.0,495.0,60,229.0
2018-01-06,87d88cba80cd67d705f61405fbe40da9,,,1272.0,840.0,,322.0,525.0,34,167.0
2018-01-07,87d88cba80cd67d705f61405fbe40da9,,,1269.0,788.0,130.0,430.0,480.0,46,163.0
2018-01-08,87d88cba80cd67d705f61405fbe40da9,,,1331.0,840.0,288.0,180.0,345.0,45,109.0
2018-01-09,87d88cba80cd67d705f61405fbe40da9,,,1312.0,760.0,140.0,256.0,525.0,53,127.0
2018-01-10,87d88cba80cd67d705f61405fbe40da9,,,1325.0,540.0,400.0,170.0,555.0,32,115.0
2018-01-11,87d88cba80cd67d705f61405fbe40da9,,1.0,1331.0,960.0,160.0,180.0,420.0,44,108.0
2018-01-12,87d88cba80cd67d705f61405fbe40da9,,,1275.0,720.0,260.0,196.0,525.0,42,165.0
2018-01-13,87d88cba80cd67d705f61405fbe40da9,,3.0,1172.0,830.0,,250.0,555.0,47,234.0
2018-01-14,87d88cba80cd67d705f61405fbe40da9,,,848.0,,270.0,,435.0,27,592.0
2018-01-16,87d88cba80cd67d705f61405fbe40da9,,,1392.0,,,,1095.0,,48.0
2018-01-17,87d88cba80cd67d705f61405fbe40da9,,,1251.0,130.0,160.0,140.0,495.0,30,189.0
2018-01-18,87d88cba80cd67d705f61405fbe40da9,,,1297.0,910.0,200.0,220.0,480.0,44,142.0
