date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2018-11-13,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1355.0,,,,1185.0,,84.0
2018-11-14,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1247.0,,217.0,,330.0,69,192.0
2018-11-15,a7cb6ba9ef6b3878a4284b0d63afecd7,,9.0,1262.0,770.0,430.0,,375.0,149,168.0
2018-11-16,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1116.0,,150.0,,90.0,189,324.0
2018-11-17,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1215.0,723.0,360.0,,240.0,94,225.0
2018-11-18,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1275.0,,,,210.0,136,164.0
2018-11-19,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1160.0,,30.0,,150.0,145,280.0
2018-11-20,a7cb6ba9ef6b3878a4284b0d63afecd7,2.0,311.0,966.0,,,,510.0,163,160.0
2018-11-21,a7cb6ba9ef6b3878a4284b0d63afecd7,,369.0,798.0,,,,435.0,181,272.0
2018-11-22,a7cb6ba9ef6b3878a4284b0d63afecd7,,85.0,1215.0,1294.0,,,495.0,90,140.0
2018-11-23,a7cb6ba9ef6b3878a4284b0d63afecd7,9.0,51.0,1129.0,1240.0,,,420.0,96,250.0
2018-11-24,a7cb6ba9ef6b3878a4284b0d63afecd7,,5.0,1381.0,1440.0,,,555.0,57,53.0
2018-11-25,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1378.0,1440.0,,,600.0,43,62.0
2018-11-26,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1337.0,1440.0,,,555.0,46,103.0
2018-11-27,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1412.0,1440.0,,,705.0,46,28.0
2018-11-28,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1313.0,1440.0,,,285.0,85,127.0
2018-11-29,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1416.0,1440.0,,,630.0,38,24.0
2018-11-30,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1275.0,1440.0,,,240.0,66,165.0
2018-12-01,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1366.0,1430.0,,,225.0,73,74.0
2018-12-02,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1378.0,,,,615.0,60,62.0
2018-12-03,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1259.0,1400.0,,,210.0,118,180.0
2018-12-04,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1305.0,550.0,,,435.0,63,135.0
2018-12-05,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1242.0,1440.0,,,285.0,60,198.0
2018-12-06,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1302.0,1430.0,,,330.0,78,137.0
2018-12-07,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1237.0,,,,525.0,48,203.0
2018-12-08,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1326.0,1370.0,,,570.0,43,114.0
2018-12-09,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1193.0,580.0,,,660.0,35,247.0
2018-12-10,a7cb6ba9ef6b3878a4284b0d63afecd7,,6.0,1290.0,1190.0,,,255.0,48,144.0
2018-12-11,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1367.0,1435.0,,,225.0,61,73.0
2018-12-12,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1239.0,1440.0,,,285.0,113,200.0
2018-12-13,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1234.0,1390.0,,,150.0,57,206.0
2018-12-14,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1256.0,1360.0,,,420.0,68,184.0
2018-12-15,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1124.0,1050.0,,,540.0,26,315.0
2018-12-16,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1148.0,1440.0,,,270.0,34,279.0
2018-12-17,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1335.0,1440.0,,,285.0,71,105.0
2018-12-18,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1303.0,1440.0,,,105.0,83,127.0
2018-12-19,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1239.0,1441.0,,,240.0,70,200.0
2018-12-20,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1360.0,1440.0,,,150.0,56,80.0
2018-12-21,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1332.0,1440.0,,,630.0,43,108.0
2018-12-22,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1285.0,1440.0,,,255.0,44,155.0
2018-12-23,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1216.0,1440.0,,,165.0,85,224.0
2018-12-24,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1178.0,1440.0,,,405.0,45,261.0
2018-12-25,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1209.0,1430.0,,,315.0,42,230.0
2018-12-26,a7cb6ba9ef6b3878a4284b0d63afecd7,,16.0,1191.0,350.0,,,270.0,59,232.0
2018-12-27,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1215.0,1390.0,,,195.0,80,225.0
2018-12-28,a7cb6ba9ef6b3878a4284b0d63afecd7,,451.0,656.0,,,,,146,329.0
2018-12-29,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1199.0,,,,405.0,190,241.0
2018-12-30,a7cb6ba9ef6b3878a4284b0d63afecd7,34.0,19.0,1177.0,,,,360.0,111,210.0
2018-12-31,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1260.0,,,,525.0,161,180.0
2019-01-01,a7cb6ba9ef6b3878a4284b0d63afecd7,17.0,283.0,1024.0,,50.0,,285.0,113,115.0
2019-01-02,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1296.0,,70.0,,450.0,211,144.0
2019-01-03,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1227.0,420.0,350.0,,315.0,161,213.0
2019-01-04,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1111.0,480.0,70.0,,390.0,202,329.0
2019-01-05,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1241.0,750.0,280.0,,495.0,138,189.0
2019-01-06,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1204.0,757.0,420.0,,285.0,146,236.0
2019-01-07,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1189.0,910.0,330.0,,405.0,126,251.0
2019-01-08,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1193.0,1080.0,280.0,,300.0,147,247.0
2019-01-09,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1269.0,110.0,530.0,,180.0,105,171.0
2019-01-10,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1141.0,710.0,490.0,,345.0,111,299.0
2019-01-11,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1146.0,790.0,420.0,,60.0,160,294.0
2019-01-12,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1262.0,1061.0,300.0,,315.0,125,178.0
2019-01-13,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1336.0,1030.0,240.0,,435.0,110,104.0
2019-01-14,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1150.0,970.0,290.0,,75.0,157,290.0
2019-01-15,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1267.0,710.0,462.0,,270.0,123,172.0
2019-01-16,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1271.0,470.0,110.0,,120.0,58,168.0
2019-01-17,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1221.0,350.0,,,180.0,39,219.0
2019-01-18,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1190.0,740.0,410.0,,285.0,184,250.0
2019-01-19,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1104.0,1027.0,,,315.0,163,332.0
2019-01-20,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1156.0,996.0,310.0,,345.0,146,283.0
2019-01-21,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1304.0,1160.0,220.0,,315.0,78,136.0
2019-01-22,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1291.0,970.0,340.0,,180.0,69,148.0
2019-01-23,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1248.0,900.0,300.0,,75.0,131,192.0
2019-01-24,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1249.0,780.0,460.0,,300.0,131,191.0
2019-01-25,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1223.0,700.0,470.0,,360.0,125,217.0
2019-01-26,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1310.0,940.0,460.0,,435.0,109,130.0
2019-01-27,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1329.0,830.0,280.0,,195.0,99,111.0
2019-01-28,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1291.0,958.0,220.0,,135.0,99,149.0
2019-01-29,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1330.0,370.0,740.0,,360.0,97,110.0
2019-01-30,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1189.0,720.0,290.0,,330.0,124,250.0
2019-01-31,a7cb6ba9ef6b3878a4284b0d63afecd7,12.0,22.0,1239.0,620.0,350.0,,255.0,166,166.0
2019-02-01,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1124.0,610.0,488.0,,210.0,176,316.0
2019-02-02,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1317.0,1230.0,80.0,,330.0,106,122.0
2019-02-03,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1327.0,680.0,620.0,,435.0,128,112.0
2019-02-04,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1219.0,610.0,630.0,,270.0,118,221.0
2019-02-05,a7cb6ba9ef6b3878a4284b0d63afecd7,,,1251.0,798.0,437.0,,255.0,63,188.0
