date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2018-09-25,c37f9221f44e9ca35a49180dc05a7587,1.0,1.0,1265.0,482.0,108.0,,870.0,79,70.0
2018-09-26,c37f9221f44e9ca35a49180dc05a7587,3.0,1.0,1123.0,810.0,167.0,,525.0,120,122.0
2018-09-27,c37f9221f44e9ca35a49180dc05a7587,11.0,2.0,1078.0,974.0,140.0,,375.0,146,124.0
2018-09-28,c37f9221f44e9ca35a49180dc05a7587,1.0,,979.0,844.0,224.0,,435.0,87,203.0
2018-09-29,c37f9221f44e9ca35a49180dc05a7587,4.0,2.0,1107.0,924.0,45.0,105.0,495.0,204,140.0
2018-09-30,c37f9221f44e9ca35a49180dc05a7587,2.0,1.0,1238.0,1205.0,,,570.0,92,63.0
2018-10-01,c37f9221f44e9ca35a49180dc05a7587,2.0,,1151.0,796.0,414.0,,345.0,97,112.0
2018-10-02,c37f9221f44e9ca35a49180dc05a7587,1.0,,1095.0,989.0,216.0,,630.0,65,95.0
2018-10-03,c37f9221f44e9ca35a49180dc05a7587,,1.0,1132.0,763.0,446.0,,480.0,75,112.0
2018-10-04,c37f9221f44e9ca35a49180dc05a7587,1.0,1.0,1144.0,678.0,162.0,,390.0,104,102.0
2018-10-05,c37f9221f44e9ca35a49180dc05a7587,,1.0,1039.0,343.0,,,300.0,70,102.0
2018-10-06,c37f9221f44e9ca35a49180dc05a7587,2.0,31.0,960.0,936.0,105.0,,525.0,152,158.0
2018-10-07,c37f9221f44e9ca35a49180dc05a7587,,4.0,1111.0,198.0,260.0,,420.0,81,91.0
2018-10-08,c37f9221f44e9ca35a49180dc05a7587,1.0,,1044.0,783.0,381.0,,285.0,121,99.0
2018-10-09,c37f9221f44e9ca35a49180dc05a7587,,,1019.0,878.0,227.0,,555.0,111,101.0
2018-10-10,c37f9221f44e9ca35a49180dc05a7587,,,1059.0,790.0,190.0,,360.0,154,86.0
2018-10-11,c37f9221f44e9ca35a49180dc05a7587,,,1050.0,830.0,447.0,,330.0,139,103.0
