date_time,record_id,act_on_bike,act_in_vehicle,act_still,loc_home_duration,loc_study_duration,loc_workout_duration,sleep_duration,unlock_num_ep_0,act_walking
2018-10-03,fc73375dda5e5460f7088c78654a945e,,3.0,1245.0,,,,1290.0,,188.0
2018-10-04,fc73375dda5e5460f7088c78654a945e,,,1218.0,180.0,,100.0,435.0,144,222.0
2018-10-05,fc73375dda5e5460f7088c78654a945e,,78.0,1085.0,680.0,140.0,,540.0,249,273.0
2018-10-06,fc73375dda5e5460f7088c78654a945e,,157.0,683.0,540.0,,,270.0,365,597.0
2018-10-07,fc73375dda5e5460f7088c78654a945e,,,1121.0,1030.0,,,315.0,327,319.0
2018-10-08,fc73375dda5e5460f7088c78654a945e,,,1223.0,910.0,280.0,,255.0,220,216.0
2018-10-09,fc73375dda5e5460f7088c78654a945e,30.0,17.0,983.0,900.0,40.0,110.0,330.0,277,408.0
2018-10-10,fc73375dda5e5460f7088c78654a945e,,9.0,1045.0,740.0,220.0,50.0,285.0,277,385.0
2018-10-11,fc73375dda5e5460f7088c78654a945e,,,1074.0,29.0,,,330.0,225,365.0
2018-10-12,fc73375dda5e5460f7088c78654a945e,,107.0,947.0,,,,480.0,185,380.0
2018-10-13,fc73375dda5e5460f7088c78654a945e,,2.0,1012.0,30.0,,,195.0,155,422.0
2018-10-14,fc73375dda5e5460f7088c78654a945e,,6.0,1202.0,826.0,200.0,50.0,300.0,238,232.0
2018-10-15,fc73375dda5e5460f7088c78654a945e,,,1194.0,780.0,330.0,110.0,495.0,230,244.0
2018-10-16,fc73375dda5e5460f7088c78654a945e,,,1171.0,820.0,240.0,110.0,315.0,257,268.0
2018-10-17,fc73375dda5e5460f7088c78654a945e,,1.0,1189.0,290.0,270.0,,330.0,240,250.0
2018-10-18,fc73375dda5e5460f7088c78654a945e,,,1216.0,220.0,,,255.0,240,224.0
2018-10-19,fc73375dda5e5460f7088c78654a945e,,60.0,981.0,30.0,,,450.0,312,392.0
2018-10-20,fc73375dda5e5460f7088c78654a945e,,412.0,854.0,460.0,,,330.0,362,173.0
2018-10-21,fc73375dda5e5460f7088c78654a945e,,23.0,1185.0,,,,555.0,169,232.0
2018-10-22,fc73375dda5e5460f7088c78654a945e,,336.0,939.0,150.0,,,390.0,321,165.0
2018-10-23,fc73375dda5e5460f7088c78654a945e,,,1179.0,180.0,210.0,110.0,510.0,262,251.0
2018-10-24,fc73375dda5e5460f7088c78654a945e,,,1076.0,790.0,270.0,,465.0,320,362.0
2018-10-25,fc73375dda5e5460f7088c78654a945e,,72.0,1043.0,830.0,80.0,,240.0,289,319.0
2018-10-26,fc73375dda5e5460f7088c78654a945e,,77.0,918.0,350.0,160.0,,300.0,428,442.0
2018-10-27,fc73375dda5e5460f7088c78654a945e,,,977.0,810.0,,47.0,375.0,362,461.0
2018-10-28,fc73375dda5e5460f7088c78654a945e,,58.0,1003.0,800.0,160.0,,240.0,267,374.0
2018-10-29,fc73375dda5e5460f7088c78654a945e,,,1151.0,830.0,280.0,100.0,420.0,331,285.0
2018-10-30,fc73375dda5e5460f7088c78654a945e,,22.0,1126.0,80.0,111.0,100.0,435.0,163,292.0
2018-10-31,fc73375dda5e5460f7088c78654a945e,,,1130.0,690.0,210.0,,435.0,312,308.0
2018-11-01,fc73375dda5e5460f7088c78654a945e,,10.0,1149.0,990.0,,100.0,345.0,224,277.0
2018-11-02,fc73375dda5e5460f7088c78654a945e,10.0,124.0,1122.0,810.0,162.0,90.0,465.0,267,183.0
2018-11-03,fc73375dda5e5460f7088c78654a945e,,,970.0,847.0,,44.0,180.0,399,469.0
2018-11-04,fc73375dda5e5460f7088c78654a945e,,,1025.0,980.0,130.0,,495.0,262,415.0
2018-11-05,fc73375dda5e5460f7088c78654a945e,,,1210.0,900.0,210.0,70.0,540.0,186,230.0
2018-11-06,fc73375dda5e5460f7088c78654a945e,,1.0,1099.0,826.0,210.0,100.0,300.0,308,340.0
2018-11-07,fc73375dda5e5460f7088c78654a945e,,,1123.0,700.0,360.0,,360.0,202,317.0
2018-11-08,fc73375dda5e5460f7088c78654a945e,,2.0,1044.0,711.0,220.0,91.0,435.0,332,393.0
2018-11-09,fc73375dda5e5460f7088c78654a945e,2.0,46.0,1050.0,830.0,210.0,,480.0,330,341.0
2018-11-10,fc73375dda5e5460f7088c78654a945e,,46.0,862.0,740.0,149.0,,345.0,224,528.0
2018-11-11,fc73375dda5e5460f7088c78654a945e,,,1161.0,970.0,240.0,,390.0,270,275.0
2018-11-12,fc73375dda5e5460f7088c78654a945e,,,1178.0,760.0,460.0,,525.0,238,260.0
2018-11-13,fc73375dda5e5460f7088c78654a945e,,8.0,1177.0,880.0,60.0,,390.0,184,255.0
2018-11-14,fc73375dda5e5460f7088c78654a945e,,65.0,868.0,850.0,80.0,,285.0,176,506.0
2018-11-15,fc73375dda5e5460f7088c78654a945e,,,1204.0,820.0,400.0,,510.0,242,230.0
2018-11-16,fc73375dda5e5460f7088c78654a945e,,2.0,988.0,560.0,360.0,,480.0,298,445.0
2018-11-17,fc73375dda5e5460f7088c78654a945e,,4.0,1169.0,720.0,70.0,,225.0,221,264.0
2018-11-18,fc73375dda5e5460f7088c78654a945e,,,986.0,880.0,130.0,,255.0,248,454.0
2018-11-19,fc73375dda5e5460f7088c78654a945e,,,1135.0,10.0,390.0,,225.0,207,301.0
2018-11-20,fc73375dda5e5460f7088c78654a945e,12.0,241.0,898.0,210.0,50.0,,390.0,222,283.0
2018-11-21,fc73375dda5e5460f7088c78654a945e,15.0,114.0,1019.0,974.0,,,480.0,226,292.0
2018-11-22,fc73375dda5e5460f7088c78654a945e,,62.0,1242.0,1311.0,,,570.0,160,135.0
2018-11-23,fc73375dda5e5460f7088c78654a945e,,17.0,1143.0,1089.0,,,480.0,196,272.0
2018-11-24,fc73375dda5e5460f7088c78654a945e,,53.0,1084.0,991.0,,,465.0,211,301.0
2018-11-25,fc73375dda5e5460f7088c78654a945e,33.0,26.0,1271.0,1299.0,,,465.0,154,110.0
2018-11-26,fc73375dda5e5460f7088c78654a945e,31.0,164.0,766.0,232.0,,,300.0,107,477.0
2018-11-27,fc73375dda5e5460f7088c78654a945e,,41.0,926.0,,,,270.0,6,474.0
2018-11-28,fc73375dda5e5460f7088c78654a945e,,4.0,974.0,,,,420.0,5,462.0
2018-11-29,fc73375dda5e5460f7088c78654a945e,,,1124.0,,,,510.0,,316.0
2018-11-30,fc73375dda5e5460f7088c78654a945e,,378.0,873.0,,,,615.0,1,189.0
2018-12-02,fc73375dda5e5460f7088c78654a945e,,32.0,1282.0,,,,1185.0,,126.0
2018-12-03,fc73375dda5e5460f7088c78654a945e,,101.0,987.0,,,,345.0,2,351.0
2018-12-04,fc73375dda5e5460f7088c78654a945e,35.0,138.0,906.0,,,,570.0,112,360.0
2018-12-05,fc73375dda5e5460f7088c78654a945e,,60.0,1248.0,1049.0,,,225.0,225,131.0
2018-12-06,fc73375dda5e5460f7088c78654a945e,,46.0,1235.0,1170.0,,,495.0,97,159.0
2018-12-07,fc73375dda5e5460f7088c78654a945e,1.0,36.0,1175.0,1315.0,,,540.0,223,227.0
2018-12-08,fc73375dda5e5460f7088c78654a945e,,110.0,1055.0,180.0,,,480.0,160,275.0
2018-12-09,fc73375dda5e5460f7088c78654a945e,,55.0,1239.0,728.0,,,225.0,171,146.0
2018-12-10,fc73375dda5e5460f7088c78654a945e,5.0,106.0,1108.0,1043.0,,,585.0,216,220.0
2018-12-11,fc73375dda5e5460f7088c78654a945e,,42.0,1234.0,603.0,,,585.0,145,163.0
2018-12-12,fc73375dda5e5460f7088c78654a945e,16.0,98.0,1212.0,1110.0,,,540.0,168,114.0
2018-12-13,fc73375dda5e5460f7088c78654a945e,,73.0,1049.0,880.0,,,615.0,177,318.0
2018-12-14,fc73375dda5e5460f7088c78654a945e,,191.0,1025.0,379.0,,,345.0,230,224.0
2018-12-15,fc73375dda5e5460f7088c78654a945e,,55.0,1186.0,1299.0,,,525.0,180,199.0
2018-12-16,fc73375dda5e5460f7088c78654a945e,,41.0,1245.0,1308.0,,,510.0,167,154.0
2018-12-17,fc73375dda5e5460f7088c78654a945e,,51.0,1165.0,1199.0,,,450.0,186,223.0
2018-12-18,fc73375dda5e5460f7088c78654a945e,,124.0,971.0,866.0,,,450.0,247,339.0
2018-12-19,fc73375dda5e5460f7088c78654a945e,,112.0,1188.0,1124.0,,,315.0,184,139.0
2018-12-20,fc73375dda5e5460f7088c78654a945e,,57.0,1187.0,1277.0,,,585.0,230,196.0
2018-12-21,fc73375dda5e5460f7088c78654a945e,,83.0,1108.0,1177.0,,,405.0,272,248.0
2018-12-22,fc73375dda5e5460f7088c78654a945e,,114.0,1125.0,916.0,,,510.0,137,201.0
2018-12-23,fc73375dda5e5460f7088c78654a945e,,144.0,1057.0,832.0,,,510.0,195,239.0
2018-12-24,fc73375dda5e5460f7088c78654a945e,,34.0,1243.0,1269.0,,,540.0,158,163.0
2018-12-25,fc73375dda5e5460f7088c78654a945e,,,1200.0,1440.0,,,300.0,127,239.0
2018-12-26,fc73375dda5e5460f7088c78654a945e,7.0,111.0,1046.0,738.0,,,615.0,195,275.0
2018-12-27,fc73375dda5e5460f7088c78654a945e,,70.0,1220.0,1182.0,,,270.0,155,150.0
2018-12-28,fc73375dda5e5460f7088c78654a945e,19.0,153.0,1016.0,960.0,,,555.0,169,252.0
2018-12-29,fc73375dda5e5460f7088c78654a945e,24.0,202.0,1106.0,1081.0,,,450.0,166,109.0
2018-12-30,fc73375dda5e5460f7088c78654a945e,,166.0,1016.0,780.0,,,390.0,172,259.0
2018-12-31,fc73375dda5e5460f7088c78654a945e,,171.0,929.0,936.0,,,465.0,278,339.0
2019-01-01,fc73375dda5e5460f7088c78654a945e,,162.0,1024.0,199.0,,,360.0,257,254.0
2019-01-02,fc73375dda5e5460f7088c78654a945e,,289.0,902.0,610.0,60.0,,405.0,280,249.0
2019-01-03,fc73375dda5e5460f7088c78654a945e,,1.0,1138.0,150.0,200.0,,495.0,209,301.0
2019-01-04,fc73375dda5e5460f7088c78654a945e,,11.0,1139.0,680.0,220.0,58.0,495.0,189,288.0
2019-01-05,fc73375dda5e5460f7088c78654a945e,,6.0,1050.0,700.0,,50.0,285.0,236,383.0
2019-01-06,fc73375dda5e5460f7088c78654a945e,,2.0,1106.0,819.0,280.0,56.0,240.0,219,332.0
2019-01-07,fc73375dda5e5460f7088c78654a945e,,6.0,1161.0,70.0,290.0,170.0,345.0,178,273.0
2019-01-08,fc73375dda5e5460f7088c78654a945e,,,1199.0,860.0,261.0,100.0,345.0,166,241.0
2019-01-09,fc73375dda5e5460f7088c78654a945e,,4.0,1134.0,100.0,290.0,50.0,300.0,208,303.0
2019-01-10,fc73375dda5e5460f7088c78654a945e,,,1175.0,830.0,270.0,,285.0,137,265.0
2019-01-11,fc73375dda5e5460f7088c78654a945e,,14.0,1088.0,730.0,260.0,117.0,210.0,231,338.0
2019-01-12,fc73375dda5e5460f7088c78654a945e,,14.0,1014.0,636.0,140.0,49.0,120.0,236,412.0
2019-01-13,fc73375dda5e5460f7088c78654a945e,,19.0,1053.0,870.0,180.0,50.0,360.0,265,368.0
2019-01-14,fc73375dda5e5460f7088c78654a945e,,1.0,1200.0,742.0,310.0,110.0,165.0,193,238.0
2019-01-15,fc73375dda5e5460f7088c78654a945e,,,1156.0,680.0,270.0,80.0,375.0,141,284.0
2019-01-16,fc73375dda5e5460f7088c78654a945e,,5.0,1176.0,535.0,70.0,70.0,390.0,119,258.0
2019-01-17,fc73375dda5e5460f7088c78654a945e,,3.0,1221.0,180.0,150.0,,180.0,61,215.0
2019-01-18,fc73375dda5e5460f7088c78654a945e,45.0,301.0,817.0,600.0,70.0,,210.0,287,277.0
2019-01-19,fc73375dda5e5460f7088c78654a945e,,,1059.0,,,,420.0,128,381.0
2019-01-20,fc73375dda5e5460f7088c78654a945e,,,1039.0,,,,315.0,244,398.0
2019-01-21,fc73375dda5e5460f7088c78654a945e,,129.0,1030.0,170.0,110.0,,390.0,283,281.0
2019-01-22,fc73375dda5e5460f7088c78654a945e,,,1122.0,730.0,250.0,80.0,480.0,221,317.0
2019-01-23,fc73375dda5e5460f7088c78654a945e,,3.0,1184.0,700.0,340.0,176.0,390.0,264,253.0
2019-01-24,fc73375dda5e5460f7088c78654a945e,,,1222.0,580.0,600.0,,405.0,177,217.0
2019-01-25,fc73375dda5e5460f7088c78654a945e,1.0,149.0,891.0,700.0,40.0,,465.0,211,395.0
2019-01-26,fc73375dda5e5460f7088c78654a945e,2.0,6.0,968.0,670.0,97.0,,390.0,227,463.0
2019-01-27,fc73375dda5e5460f7088c78654a945e,,171.0,773.0,570.0,190.0,,330.0,178,495.0
2019-01-28,fc73375dda5e5460f7088c78654a945e,,,1149.0,780.0,380.0,,180.0,224,291.0
2019-01-29,fc73375dda5e5460f7088c78654a945e,,3.0,1213.0,772.0,230.0,90.0,330.0,111,225.0
2019-01-30,fc73375dda5e5460f7088c78654a945e,,,1204.0,610.0,500.0,90.0,225.0,240,236.0
2019-01-31,fc73375dda5e5460f7088c78654a945e,,6.0,1240.0,850.0,220.0,,210.0,212,194.0
2019-02-01,fc73375dda5e5460f7088c78654a945e,,148.0,959.0,580.0,60.0,,270.0,204,331.0
2019-02-02,fc73375dda5e5460f7088c78654a945e,,8.0,868.0,690.0,100.0,,375.0,271,564.0
2019-02-03,fc73375dda5e5460f7088c78654a945e,14.0,38.0,982.0,770.0,,,375.0,244,404.0
2019-02-04,fc73375dda5e5460f7088c78654a945e,,1.0,1099.0,760.0,70.0,180.0,510.0,303,340.0
2019-02-05,fc73375dda5e5460f7088c78654a945e,,,1209.0,750.0,280.0,100.0,165.0,184,231.0
2019-02-06,fc73375dda5e5460f7088c78654a945e,,4.0,1162.0,570.0,450.0,70.0,270.0,273,271.0
2019-02-07,fc73375dda5e5460f7088c78654a945e,,,1213.0,750.0,380.0,,375.0,244,227.0
2019-02-08,fc73375dda5e5460f7088c78654a945e,,8.0,841.0,530.0,100.0,60.0,225.0,328,590.0
2019-02-09,fc73375dda5e5460f7088c78654a945e,,,800.0,700.0,,70.0,450.0,277,622.0
2019-02-10,fc73375dda5e5460f7088c78654a945e,,1.0,1087.0,860.0,250.0,,540.0,289,350.0
